image,detection_method,pnp_rmse_px,normal_x,normal_y,normal_z,plane_d_mm,zg_point_count,zg_mean_mm,zg_median_mm,zg_std_mm,zg_rmse_mm,zg_p95_abs_mm,zg_max_abs_mm,zg_min_mm,zg_max_mm
chess 001.tif,SB,0.10131607949733734,0.045057465934504,-0.008575138566443007,-0.9989475920998696,711.7589644729868,88,-0.04306822229969756,-0.0430682222997234,0.03216182920456433,0.05375179094541627,0.09168678721319451,0.10046257262501967,-0.10046257262501967,0.01432612802557287
chess 002.tif,SB,0.10601329058408737,0.04558824662985545,-0.008149616017220392,-0.998927072176937,711.7977097908964,88,-0.02525099519748799,-0.025250995197438897,0.06708600599099487,0.07168085489366992,0.12939260328848257,0.15243694859748302,-0.15243694859748302,0.10193495820249154
chess 003.tif,classic+cornerSubPix,0.09141509979963303,0.045199690158602104,-0.008404542047246543,-0.9989426168116677,711.7196574546833,88,0.02500229695694791,0.025002296956984082,0.04108215257790646,0.04809218349750605,0.08872247890594734,0.09422241274580756,-0.04421781883195308,0.09422241274580756
chess 004.tif,SB,0.10973819345235825,0.04443527203409896,-0.007708905499858948,-0.9989825220569426,711.6330049550676,88,0.06530848357438272,0.06530848357442665,0.03616697473405128,0.07465419002439798,0.12083547583938523,0.1317899048048048,-0.0011729376559515003,0.1317899048048048
chess 005.tif,SB,0.11075316369533539,0.04397687954763658,-0.007998064208807177,-0.9990005330499901,711.8058215119303,88,-0.005626901155986791,-0.0056269011559493265,0.04297590784155464,0.04334271186053133,0.07788995922736602,0.09726671144835564,-0.09726671144835564,0.0860129091363433
chess 006.tif,SB,0.09804866462945938,0.0449819270175205,-0.008012389526723838,-0.9989556686139094,711.7119864135575,88,0.01185424811811231,0.011854248118140731,0.04005781789600519,0.04177501613447065,0.07431009032375185,0.07835955715233922,-0.054651060916171446,0.07835955715233922
chess 007.tif,SB,0.1129475012421608,0.04402527966253249,-0.007881822661449708,-0.998999325135993,711.7465620101474,88,0.014327324608643721,0.014327324608700565,0.03946941173221815,0.0419893640453009,0.07819028530886384,0.09885913265372892,-0.07020448343644148,0.09885913265372892
chess 008.tif,SB,0.0958518385887146,0.04516207402953893,-0.008515329304025335,-0.9989433798950742,711.7533104714745,88,-0.030493142327212685,-0.03049314232720235,0.03851318397399702,0.049123284385335954,0.09035015266607047,0.09502344111342609,-0.09502344111342609,0.034037156459135076
chess 009.tif,SB,0.09883973002433777,0.0439588415018198,-0.008253280743335853,-0.9989992510561705,711.762997368144,88,-0.012706032547033497,-0.012706032547043833,0.037948672335543984,0.04001930777908029,0.07228211840115363,0.09008371066408927,-0.09008371066408927,0.06467164557011529
chess 010.tif,SB,0.08564215153455734,0.044514055618116666,-0.009055048366765862,-0.9989677196744161,711.7247005895863,88,0.0006529402549362699,0.0006529402548949292,0.026474278101226024,0.02648232867324118,0.042619461507769074,0.04478063597161963,-0.043474755461716086,0.04478063597161963
