record_type,dataset,nominal_height_mm,position,directory,region,v_median_px,policy,point_count,bias_mm,mae_mm,rmse_mm,p95_abs_mm,max_abs_mm,height_difference_mae_mm,height_difference_bias_mm,height_difference_rmse_mm,measured_height_mean_mm,measured_height_median_mm,measured_height_std_mm,valid_baseline_count,valid_height_count,baseline_inlier_count,height_inlier_count,s_min,s_max,s_domain_min,s_domain_max,s_extrapolated_count,s_inside_count,correction_mean_signed_mm,correction_mean_abs_mm,correction_max_abs_mm,raw_extrapolated_correction_mean_abs_mm,raw_extrapolated_correction_max_abs_mm,within_0_2mm,center_sha256,baseline_sha256,height_sha256,worst_position_rmse_mm,worst_position_p95_abs_mm,position_bias_range_mm,position_rmse_range_mm,all_positions_within_0_2mm
position,20mm,20.0,P03_v849.0,frame_005772_measure,middle,849.0,boundary_clamp,69,-0.05074559410432884,0.05074559410432884,0.05326230704088912,0.07631655465128802,0.08411991056379264,0.05074559410432884,-0.05074559410432884,0.05326230704088912,19.949254405895665,19.947701872921385,0.016178937861202523,184,75,176,69,-0.08598635944557906,-0.07590709196283918,-0.1641225636200761,0.19495848459253196,0,75,-0.024815414417539865,0.024815414417539865,0.027795069830597766,0.0,0.0,true,519f92e25d110d30a0e4a21d00dd5872b6d06ee0a1ea8f54e532be74137e1ef4,812521678577103cbd9fdfb233673b18a1c4b703f014a27abb2538aab163134d,a196d100a1ab8a6e7a6ac0b11e95656dc768a68bfef0f025d4cf9450f23b1600,,,,,
position,20mm,20.0,P03_v849.0,frame_005772_measure,middle,849.0,fallback_c0,69,-0.05074559410432884,0.05074559410432884,0.05326230704088912,0.07631655465128802,0.08411991056379264,0.05074559410432884,-0.05074559410432884,0.05326230704088912,19.949254405895665,19.947701872921385,0.016178937861202523,184,75,176,69,-0.08598635944557906,-0.07590709196283918,-0.1641225636200761,0.19495848459253196,0,75,-0.024815414417539865,0.024815414417539865,0.027795069830597766,0.0,0.0,true,519f92e25d110d30a0e4a21d00dd5872b6d06ee0a1ea8f54e532be74137e1ef4,812521678577103cbd9fdfb233673b18a1c4b703f014a27abb2538aab163134d,a196d100a1ab8a6e7a6ac0b11e95656dc768a68bfef0f025d4cf9450f23b1600,,,,,
position,20mm,20.0,P04_v1467.5,frame_007020_measure,middle,1467.5,C0_baseline,74,-0.06258662359011818,0.06258662359011818,0.06795271921210422,0.1166435403010947,0.12073927565169029,0.06258662359011818,-0.06258662359011818,0.06795271921210422,19.937413376409882,19.93970950229822,0.026466707311411826,171,74,147,74,-0.0017199416500510779,0.008214505745280027,-0.1641225636200761,0.19495848459253196,0,74,0.0,0.0,0.0,0.0,0.0,true,e502d1d11d15c01126e6f95cf7d7b91bfb8ae20c7e926602a2fb8e79891fc2c0,a430b7b2b5e2c6a566ff0a76eb6920579435c52d7c8fb39e64a15ca695ff1f69,ac8a834676a07f6651458e2098cba677e28d2ca78f968118498238f86767622d,,,,,
position,20mm,20.0,P04_v1467.5,frame_007020_measure,middle,1467.5,raw_extrapolation,74,-0.060500247162514266,0.060500247162514266,0.0657827420090391,0.11318578434001123,0.11712205024571887,0.060500247162514266,-0.060500247162514266,0.0657827420090391,19.939499752837484,19.941126474683387,0.0258280707661738,171,74,147,74,-0.0017199416500510779,0.008214505745280027,-0.1641225636200761,0.19495848459253196,0,74,0.03355189865843082,0.03355189865843082,0.03463110718241423,0.0,0.0,true,e502d1d11d15c01126e6f95cf7d7b91bfb8ae20c7e926602a2fb8e79891fc2c0,a430b7b2b5e2c6a566ff0a76eb6920579435c52d7c8fb39e64a15ca695ff1f69,ac8a834676a07f6651458e2098cba677e28d2ca78f968118498238f86767622d,,,,,
position,20mm,20.0,P04_v1467.5,frame_007020_measure,middle,1467.5,boundary_clamp,74,-0.060500247162514266,0.060500247162514266,0.0657827420090391,0.11318578434001123,0.11712205024571887,0.060500247162514266,-0.060500247162514266,0.0657827420090391,19.939499752837484,19.941126474683387,0.0258280707661738,171,74,147,74,-0.0017199416500510779,0.008214505745280027,-0.1641225636200761,0.19495848459253196,0,74,0.03355189865843082,0.03355189865843082,0.03463110718241423,0.0,0.0,true,e502d1d11d15c01126e6f95cf7d7b91bfb8ae20c7e926602a2fb8e79891fc2c0,a430b7b2b5e2c6a566ff0a76eb6920579435c52d7c8fb39e64a15ca695ff1f69,ac8a834676a07f6651458e2098cba677e28d2ca78f968118498238f86767622d,,,,,
position,20mm,20.0,P04_v1467.5,frame_007020_measure,middle,1467.5,fallback_c0,74,-0.060500247162514266,0.060500247162514266,0.0657827420090391,0.11318578434001123,0.11712205024571887,0.060500247162514266,-0.060500247162514266,0.0657827420090391,19.939499752837484,19.941126474683387,0.0258280707661738,171,74,147,74,-0.0017199416500510779,0.008214505745280027,-0.1641225636200761,0.19495848459253196,0,74,0.03355189865843082,0.03355189865843082,0.03463110718241423,0.0,0.0,true,e502d1d11d15c01126e6f95cf7d7b91bfb8ae20c7e926602a2fb8e79891fc2c0,a430b7b2b5e2c6a566ff0a76eb6920579435c52d7c8fb39e64a15ca695ff1f69,ac8a834676a07f6651458e2098cba677e28d2ca78f968118498238f86767622d,,,,,
position,20mm,20.0,P05_v2006.5,frame_008310_measure,middle,2006.5,C0_baseline,76,-0.036839250421025385,0.036839250421025385,0.03987117047936576,0.061647806872577426,0.06721720830018185,0.036839250421025385,-0.036839250421025385,0.03987117047936576,19.963160749578975,19.963250917552266,0.015250569294673172,144,76,133,76,0.07151129719313241,0.08172630072772288,-0.1641225636200761,0.19495848459253196,0,76,0.0,0.0,0.0,0.0,0.0,true,44b50463598780aca657009f6d2892f6d9d3ef11e115840da478bbcc31404f32,768c983c2393425c1b2a744d48f2d6a5fb00b2a08057368353e31ffcfc3d2215,6ec012d1e92dab814d9b114bdddef3597d56b4ff83a57bf0a8938989cedf810c,,,,,
position,20mm,20.0,P05_v2006.5,frame_008310_measure,middle,2006.5,raw_extrapolation,76,-0.03784857708835371,0.03784857708835371,0.04078123356950303,0.062399357615644746,0.0678916434385286,0.03784857708835371,-0.03784857708835371,0.04078123356950303,19.962151422911646,19.962412434598257,0.015185329230454878,144,76,133,76,0.07151129719313241,0.08172630072772288,-0.1641225636200761,0.19495848459253196,0,76,0.0011376709299014084,0.0011376709299014084,0.0022056766762118497,0.0,0.0,true,44b50463598780aca657009f6d2892f6d9d3ef11e115840da478bbcc31404f32,768c983c2393425c1b2a744d48f2d6a5fb00b2a08057368353e31ffcfc3d2215,6ec012d1e92dab814d9b114bdddef3597d56b4ff83a57bf0a8938989cedf810c,,,,,
position,20mm,20.0,P05_v2006.5,frame_008310_measure,middle,2006.5,boundary_clamp,76,-0.03784857708835371,0.03784857708835371,0.04078123356950303,0.062399357615644746,0.0678916434385286,0.03784857708835371,-0.03784857708835371,0.04078123356950303,19.962151422911646,19.962412434598257,0.015185329230454878,144,76,133,76,0.07151129719313241,0.08172630072772288,-0.1641225636200761,0.19495848459253196,0,76,0.0011376709299014084,0.0011376709299014084,0.0022056766762118497,0.0,0.0,true,44b50463598780aca657009f6d2892f6d9d3ef11e115840da478bbcc31404f32,768c983c2393425c1b2a744d48f2d6a5fb00b2a08057368353e31ffcfc3d2215,6ec012d1e92dab814d9b114bdddef3597d56b4ff83a57bf0a8938989cedf810c,,,,,
position,20mm,20.0,P05_v2006.5,frame_008310_measure,middle,2006.5,fallback_c0,76,-0.03784857708835371,0.03784857708835371,0.04078123356950303,0.062399357615644746,0.0678916434385286,0.03784857708835371,-0.03784857708835371,0.04078123356950303,19.962151422911646,19.962412434598257,0.015185329230454878,144,76,133,76,0.07151129719313241,0.08172630072772288,-0.1641225636200761,0.19495848459253196,0,76,0.0011376709299014084,0.0011376709299014084,0.0022056766762118497,0.0,0.0,true,44b50463598780aca657009f6d2892f6d9d3ef11e115840da478bbcc31404f32,768c983c2393425c1b2a744d48f2d6a5fb00b2a08057368353e31ffcfc3d2215,6ec012d1e92dab814d9b114bdddef3597d56b4ff83a57bf0a8938989cedf810c,,,,,
