population,pose_count,pose_ids,v_grid_10px_occupied_count,v_bin_100px_occupied_count,edge_0_100_frame_count,edge_100_200_frame_count,edge_2800_2900_frame_count,edge_2900_3000_frame_count,edge_min_frame_count,edge_low_total,edge_high_total,normal_cover_max_angle_deg,normal_pairwise_diameter_deg,depth_center_span_mm,lambda_truth_span_mm,depth_bin_occupied_count,lambda_bin_occupied_count,depth_extreme_low_support,depth_extreme_high_support,lambda_extreme_low_support,lambda_extreme_high_support,strict_near_duplicate_pair_count,normal_cover_reduction_vs_curated_deg,edge_min_delta_vs_curated,edge_low_total_delta_vs_curated,edge_high_total_delta_vs_curated,depth_extreme_low_delta_vs_curated,depth_extreme_high_delta_vs_curated,lambda_extreme_low_delta_vs_curated,lambda_extreme_high_delta_vs_curated
full_36,36,001;002;003;004;005;006;007;008;009;010;011;012;013;014;015;016;017;018;025;026;027;028;029;030;031;032;033;034;035;036;049;050;051;052;053;054,300,30,11,18,15,11,11,29,26,1.2074182697257333e-06,51.01376980299323,66.2316724220816,113.94826278040796,7,8,4,7,3,15,5,4.7198949438538484,8,17,19,2,6,1,10
curated_14,14,001;006;010;013;015;017;025;027;031;049;051;052;053;054,300,30,5,7,4,3,3,12,7,4.719896151272118,51.01376980299323,66.2316724220816,113.69913951428543,7,8,2,1,2,5,1,0.0,0,0,0,0,0,0,0
robust_curated_18,18,001;005;006;010;013;015;017;025;026;027;028;031;049;050;051;052;053;054,300,30,6,9,7,6,6,15,13,3.805453726788851,51.01376980299323,66.2316724220816,113.69913951428543,7,8,3,1,3,5,1,0.914442424483267,3,3,6,1,0,1,0
