exposure_us,dynamic_range_u8_p50,intensity_coverage_fraction,peak_contrast_p50_dn,peak_contrast_p05_dn,global_fwhm_p50_px,global_fwhm_p95_px,contiguous_fwhm_p50_px,contiguous_fwhm_p95_px,interpolated_fwhm_p50_px,interpolated_fwhm_p95_px,steger_aligned_contiguous_fwhm_p50_px,steger_aligned_contiguous_fwhm_p95_px,steger_aligned_interpolated_fwhm_p50_px,steger_aligned_interpolated_fwhm_p95_px,multiple_halfmax_components_fraction,global_exceeds_contiguous_fraction,peak_saturated_fraction,peak_near_saturated_fraction,steger_success_fraction,steger_valid_fraction,steger_common_valid_fraction,steger_response_p50,steger_response_p95,centre_jitter_p50_px,centre_jitter_p95_px
200.0,16.0,0.5651666666666666,58.0,22.0,5.0,11.0,4.0,10.0,4.474999999999909,10.406801470588242,8.0,12.0,8.39565217391305,11.900150501672329,0.11884399882040696,0.11884399882040696,0.0,0.0,1.0,0.10933333333333334,0.10333333333333333,2.392801523208618,3.7350068330764765,0.032260433007325506,0.6129316467095448
250.0,19.0,0.5673,70.0,26.0,5.0,11.0,4.0,10.0,4.476973684210634,10.401839160839309,8.0,12.0,8.351851851851961,11.897087912087818,0.11775074916270051,0.11775074916270051,0.0,0.00023503143545449204,1.0,0.11616666666666667,0.11,2.8542604446411133,4.475936412811278,0.03611686131730098,1.22156838103081
300.0,24.0,0.5682666666666666,85.0,32.0,5.0,11.0,4.0,10.0,4.475788398692771,10.344627477785398,8.0,12.0,8.257882882882996,11.860886172650746,0.11919286719849835,0.11919286719849835,0.0036954481464101362,0.004164711403097138,1.0,0.11876666666666667,0.114,3.4908413887023926,5.502671623229979,0.03232744985461414,0.8668407991297044
350.0,27.0,0.5698666666666667,96.0,36.0,5.0,11.0,4.0,10.0,4.485912698412676,10.328748686974848,8.0,12.0,8.231436642453673,11.87690854920977,0.12195835283107159,0.12195835283107159,0.014506317267197005,0.01690453907346748,1.0,0.11943333333333334,0.11566666666666667,3.940772294998169,6.198377180099487,0.029047146529961397,0.9974612539644797
