row_type,group_id,region,normal_angle_to_reference_deg,plane_d_mm,plane_d_delta_to_reference_mm,pnp_rmse_px,consistent,group_left,group_right,region_left,region_right,pair_normal_angle_deg,pair_plane_d_delta_mm,pair_consistent,group_ids,group_count,max_normal_angle_to_reference_deg,max_abs_plane_d_delta_to_reference_mm,pnp_rmse_median_px,pnp_rmse_max_px,normal_threshold_deg,plane_d_threshold_mm,pnp_rmse_threshold_px
group,001,Middle,0.006056709002392634,711.6671249953084,-0.0021630283567901643,0.11174350443211072,True,,,,,,,,,,,,,,,,
group,002,Middle,0.00719747236649323,711.6659774059266,-0.0033106177386343916,0.11630565518986742,True,,,,,,,,,,,,,,,,
group,003,Middle,0.006132939935818313,711.6646333881549,-0.004654635510291882,0.11795653580923884,True,,,,,,,,,,,,,,,,
group,004,Middle,0.005512345630508946,711.6680075358978,-0.0012804877674170712,0.11177757224569106,True,,,,,,,,,,,,,,,,
group,005,Middle,0.0040673599094103825,711.6692880236652,0.0,0.1154574965168777,True,,,,,,,,,,,,,,,,
group,006,Top,0.011171842908901133,711.6748720185266,0.005583994861353858,0.11190102831659317,True,,,,,,,,,,,,,,,,
group,007,Top,0.00831559223539818,711.6697869312761,0.000498907610904098,0.10777295633411658,True,,,,,,,,,,,,,,,,
group,008,Top,0.010017631893172136,711.6725756894228,0.003287665757625291,0.10805027462884029,True,,,,,,,,,,,,,,,,
group,009,Top,0.01249957062402247,711.6768506560171,0.007562632351891807,0.11398781249099389,True,,,,,,,,,,,,,,,,
group,010,Top,0.008826546215641738,711.676453510061,0.007165486395820153,0.11194440149431023,True,,,,,,,,,,,,,,,,
group,011,Bottom,0.0032531569058212237,711.6630361090342,-0.006251914630979627,0.11293348533949603,True,,,,,,,,,,,,,,,,
group,012,Bottom,0.007117460950581616,711.6751605161771,0.005872492511912242,0.11353344970112238,True,,,,,,,,,,,,,,,,
group,013,Bottom,0.0025121476740207027,711.6692321021662,-5.592149898347998e-05,0.11098651149311538,True,,,,,,,,,,,,,,,,
