row_type,scope,group_id,valid_point_count,used_point_count,uniform_subsample_cap,valid_fraction,bias_mm,mae_mm,rmse_mm,p95_abs_mm,max_abs_mm,a_frame_mm,k_frame_mm_per_normalized_stripe,remaining_rmse_after_a_k_mm,pnp_rmse_px,board_center_x_mm,board_center_y_mm,board_center_z_mm,plane_nx,plane_ny,plane_nz,u_mean_px,u_std_px,u_range_px,v_min_px,v_max_px,lambda_truth_min_mm,lambda_truth_max_mm,quality_warnings,region,v_center_px,plane_d_mm,plane_normal_angle_deg,plane_d_delta_mm,plane_consistent,group_ids,group_count,a_frame_mean_mm,a_frame_std_mm,a_frame_range_mm,k_frame_mean_mm_per_normalized_stripe,k_frame_std_mm_per_normalized_stripe,k_frame_range_mm_per_normalized_stripe,v_center_median_px,v_center_min_px,v_center_max_px,plane_normal_angle_max_deg,plane_d_delta_abs_max_mm,same_v_pair_count,same_v_overlap_v_start_median_px,same_v_overlap_v_end_median_px,same_v_e_delta_rmse_median_mm,same_v_e_delta_rmse_p95_mm,same_v_e_delta_p95_abs_median_mm,same_v_e_delta_p95_abs_p95_mm,same_v_e_delta_max_abs_mm,region_left,region_right,common_v_start_px,common_v_end_px,overlap_point_count,left_curve_bias_mm,right_curve_bias_mm,delta_bias_mm,delta_rmse_mm,delta_p95_abs_mm,delta_max_abs_mm,group_left,group_right,e_delta_bias_mm,e_delta_rmse_mm,e_delta_p95_abs_mm,e_delta_max_abs_mm
group,fixed_pose_groups,001,900,900,900,1.0,0.10456869650329786,0.10603365267870105,0.12024760079926093,0.19691374693776986,0.2537469888519581,0.10456869650329789,0.03066164482119801,0.05671452022746418,0.11174350443211072,-84.40717245189516,102.02269757926106,707.6797396082329,0.04553373511000201,-0.00887985011668905,-0.9989233340095912,2113.432003071248,7.739249090667104,26.602623684625087,505.00203454490315,2562.007325878685,711.6678585465102,713.5602258160657,image_too_dark;dynamic_range_low;dynamic_range_low,Middle,1507.4717182509585,711.6671249953084,0.006056709002392634,-0.0021630283567901643,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,002,900,900,900,1.0,0.10272064392484581,0.10475619908127708,0.11945608570730633,0.19372187317616177,0.26159278793181784,0.1027206439248459,0.03536370115017764,0.057534977271919543,0.11630565518986742,-84.40714954291275,102.02300464467157,707.679220765393,0.04561888860273469,-0.008826909647209731,-0.9989199180458519,2113.460119757297,7.727335732191011,26.610740564864955,505.00166327571134,2562.009467463449,711.6748217502036,713.5568733993565,image_too_dark;dynamic_range_low;dynamic_range_low,Middle,1505.004612244908,711.6659774059266,0.00719747236649323,-0.0033106177386343916,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,003,900,900,900,1.0,0.09789329239966327,0.09979869608168719,0.1146433390172616,0.18844325927094585,0.25290882593355946,0.0978932923996633,0.030982871483792404,0.05698091446697375,0.11795653580923884,-84.40587288194293,102.02297860839616,707.6769205434041,0.045554073719068784,-0.008872753740799376,-0.9989224697686266,2113.4579307209888,7.726160687017048,26.630971715909254,505.0015888188287,2562.0112757238467,711.6667390973296,713.5578386405713,image_too_dark;dynamic_range_low;dynamic_range_low,Middle,1507.9729130390624,711.6646333881549,0.006132939935818313,-0.004654635510291882,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,004,900,900,900,1.0,0.10314806542274797,0.1047074234111383,0.1193192116404157,0.19522650398106972,0.2536765322836345,0.10314806542274804,0.03225101159554465,0.057074015229659346,0.11177757224569106,-84.40756809596417,102.0223297374415,707.6814607760645,0.045557118195579796,-0.008858221086581448,-0.9989224599041184,2113.4561149167134,7.73778966244598,26.6138556304727,505.00236408710055,2562.0095863820484,711.6716304870487,713.5597296466567,image_too_dark;dynamic_range_low;dynamic_range_low,Middle,1511.5310343344472,711.6680075358978,0.005512345630508946,-0.0012804877674170712,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,005,900,900,900,1.0,0.10641373702807919,0.10783751588787507,0.12209369924285257,0.1967713273775189,0.2556666459756798,0.10641373702807926,0.03362450488425671,0.05667340912834786,0.1154574965168777,-84.40418544587268,102.0210416888335,707.6876906414194,0.04548527240985265,-0.008847463240676534,-0.9989258292726274,2113.410555332163,7.7286153845332475,26.636618241261658,505.00214006760234,2562.006976716045,711.6712736237837,713.5572234815082,image_too_dark;dynamic_range_low;dynamic_range_low,Middle,1511.530087708151,711.6692880236652,0.0040673599094103825,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,006,900,900,900,1.0,0.11714495101110818,0.11935434786034067,0.13767201437769036,0.24523603477342698,0.3853188451034839,0.11714495101110815,-0.006310238044554445,0.0722307549228753,0.11190102831659317,-83.2998667168258,75.45036438401492,707.9956008329184,0.04551577909428857,-0.008584164043554377,-0.9989267370438701,2116.95495921703,8.333350738808624,28.248934644726432,225.01486751725557,2281.0000451818523,711.948626986627,713.7900030319548,image_too_dark;dynamic_range_low;dynamic_range_low,Top,1282.4972665534451,711.6748720185266,0.011171842908901133,0.005583994861353858,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,007,900,900,900,1.0,0.1141649668221218,0.11655138987731233,0.13645418776477228,0.2537519483335016,0.3902496885348228,0.11416496682212186,-0.01584761178132057,0.07416889409532405,0.10777295633411658,-83.29949419820215,75.45018825926898,707.9900798546258,0.04543258461601742,-0.008651902757246104,-0.9989299399025878,2116.9996909239608,8.343195770289498,28.20983169760666,225.0150519956222,2281.0002100842166,711.9359063286357,713.7906460784438,image_too_dark;dynamic_range_low;dynamic_range_low,Top,1279.496034953657,711.6697869312761,0.00831559223539818,0.000498907610904098,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,008,900,900,900,1.0,0.11595121788007684,0.1184623258631143,0.1377900395923191,0.2566717501052949,0.3908015654817518,0.11595121788007687,-0.012816452786126333,0.0740662952764912,0.10805027462884029,-83.30029375169086,75.45044806615884,707.9932728694765,0.04548829576378411,-0.008604522130217798,-0.9989278137820657,2116.9821245779926,8.346836662371533,28.230181857558364,225.0132544686349,2281.0000964230812,711.9439469467487,713.7892831906785,image_too_dark;dynamic_range_low;dynamic_range_low,Top,1280.9948580296605,711.6725756894228,0.010017631893172136,0.003287665757625291,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,009,900,900,900,1.0,0.12197774069370111,0.12385347817525612,0.1419226742927972,0.24827902909108843,0.3853902219051406,0.12197774069370117,-0.009711463113974384,0.0723309753957879,0.11398781249099389,-83.30272482083532,75.45041625808594,708.0025861950979,0.04543040759606081,-0.008573070349125961,-0.998930718583849,2116.9544199670486,8.323259300336929,28.22707774413766,225.01449354591193,2281.000292116824,711.9482493049369,713.7872281648495,image_too_dark;dynamic_range_low;dynamic_range_low,Top,1284.0063201171088,711.6768506560171,0.01249957062402247,0.007562632351891807,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,010,900,900,900,1.0,0.12524490123531373,0.12668647327693988,0.14552806648940456,0.2594182148636946,0.41167217186989546,0.12524490123531384,-0.012351108124990464,0.07376112591937546,0.11194440149431023,-83.30319350216052,75.44968557504912,707.9969708224462,0.04544846188633823,-0.008634707836468324,-0.9989293664382607,2116.961102630888,8.335643884884472,28.19468492208307,225.01380616302836,2281.000407446714,711.9442498573308,713.7956293616357,image_too_dark;dynamic_range_low;dynamic_range_low,Top,1282.4963049860742,711.676453510061,0.008826546215641738,0.007165486395820153,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,011,900,900,900,1.0,0.119824206307457,0.12067998042206872,0.1343098012318162,0.21957322793586512,0.29972993320427577,0.11982420630745706,0.0017250863001376355,0.06066660285888513,0.11293348533949603,-72.5108977794241,121.61931270152863,708.0502901955587,0.045498097551641796,-0.008835292338797377,-0.9989253529310733,2111.2786144934207,7.114643354673196,24.65473966555146,715.9527051158666,2772.999257337481,711.4796555667282,713.3529712335308,image_too_dark;dynamic_range_low;dynamic_range_low,Bottom,1662.511967960695,711.6630361090342,0.0032531569058212237,-0.006251914630979627,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,012,900,900,900,1.0,0.1353905479952165,0.13615965014407,0.1488653865240591,0.23810715594353268,0.3084493804039994,0.13539054799521658,-0.0053878420224255765,0.06182265553515246,0.11353344970112238,-72.51265268252087,121.61728491375385,708.0572743000083,0.04545651114621913,-0.008893912366089723,-0.9989267260000795,2111.2586320412406,7.115939941604746,24.621288647118945,715.9552838097098,2773.000140398113,711.4834095801307,713.3683735643607,image_too_dark;dynamic_range_low;dynamic_range_low,Bottom,1660.500874164777,711.6751605161771,0.007117460950581616,0.005872492511912242,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
