record_type,frame_index,filename,u,before_valid,after_valid,before_v_px,after_v_px,center_difference_px,abs_center_difference_px,before_selected_response,after_selected_response,before_valid_column_count,after_valid_column_count,before_frame_center_median_px,after_frame_center_median_px,frame_center_difference_px,before_response_median,before_response_p95,after_response_median,after_response_p95,before_accepted_frame_count,after_accepted_frame_count,paired_frame_count,before_column_center_median_px,after_column_center_median_px,column_center_difference_px,column_difference_p95_abs_px,column_difference_max_abs_px,raw_peak_y_px,before_distance_to_raw_peak_px,after_distance_to_raw_peak_px
frame_summary,1,images/multiheight/0001.tif,,,,,,,,,,37,37,891.494096904993,891.438908994198,-0.0551879107952118,3.66038846969604,4.94745035171509,4.09711170196533,5.67149152755737,,,,,,,,,,,
frame_summary,2,images/multiheight/0002.tif,,,,,,,,,,37,37,891.520619094372,891.423210680485,-0.0974084138870239,3.76377153396606,5.02104291915894,4.1874828338623,5.66947946548462,,,,,,,,,,,
frame_summary,3,images/multiheight/0003.tif,,,,,,,,,,37,37,891.481246203184,891.427862763405,-0.0533834397792816,3.88358426094055,5.03113880157471,4.19133138656616,5.52767763137817,,,,,,,,,,,
frame_summary,4,images/multiheight/0004.tif,,,,,,,,,,37,37,891.518671870232,891.464024931192,-0.0546469390392303,3.71193265914917,4.89320678710937,4.18555974960327,5.68127040863037,,,,,,,,,,,
frame_summary,5,images/multiheight/0005.tif,,,,,,,,,,37,37,891.509002447128,891.457940638065,-0.0510618090629578,3.8611319065094,5.10095167160034,4.2435097694397,5.63486289978027,,,,,,,,,,,
frame_summary,6,images/multiheight/0006.tif,,,,,,,,,,37,37,891.480841755867,891.431867361069,-0.0489743947982788,3.90882039070129,5.0194372177124,4.20503568649292,5.64750089645386,,,,,,,,,,,
frame_summary,7,images/multiheight/0007.tif,,,,,,,,,,37,37,891.520603477955,891.469053268433,-0.0515502095222473,3.72796821594238,4.9613842010498,4.17704248428345,5.73313360214233,,,,,,,,,,,
frame_summary,8,images/multiheight/0008.tif,,,,,,,,,,37,37,891.478756576777,891.424165397882,-0.054591178894043,3.83819079399109,4.93512029647827,4.14312839508057,5.77944946289062,,,,,,,,,,,
frame_summary,9,images/multiheight/0009.tif,,,,,,,,,,37,37,891.497979313135,891.442498087883,-0.0554812252521515,3.90772151947021,4.92129507064819,4.17927646636963,5.54948053359985,,,,,,,,,,,
frame_summary,10,images/multiheight/0010.tif,,,,,,,,,,37,37,891.522693157196,891.462995767593,-0.0596973896026611,3.78977084159851,4.90805940628052,4.14265871047974,5.65025367736816,,,,,,,,,,,
