frame_id,fit_group,point_count_total,point_count_in_v_domain,point_count_outside_v_domain,v_min_px,v_max_px,v_span_px,domain_v_min_px,domain_v_max_px,domain_v_span_px,occupied_v_bin_count,exclusive_v_bin_count,shared_v_bin_count,exclusive_v_coverage_rate,overlap_rate,exclusive_v_min_px,exclusive_v_max_px,exclusive_v_span_px,exclusive_bin_ids,mean_frame_count_in_occupied_bins,max_frame_count_in_occupied_bins,mean_other_pose_count_in_occupied_bins,overlapping_pose_count,mean_pairwise_overlap_rate,max_pairwise_overlap_rate,redundancy_class
001,fit_001_018,900,900,0,898.0115496512335,2733.9901017992115,1835.978552147978,898.0115496512335,2733.9901017992115,1835.978552147978,20,0,20,0.0,1.0,,,,,30.8,36,29.8,35,0.8514285714285714,1.0,HIGH
002,fit_001_018,900,900,0,871.9931775972348,2814.9996280130126,1943.0064504157779,871.9931775972348,2814.9996280130126,1943.0064504157779,20,0,20,0.0,1.0,,,,,30.4,36,29.4,35,0.84,1.0,HIGH
003,fit_001_018,900,900,0,168.99015535080898,2705.0156961347025,2536.0255407838936,168.99015535080898,2705.0156961347025,2536.0255407838936,27,0,27,0.0,1.0,,,,,29.77777777777778,36,28.77777777777778,35,0.8222222222222222,1.0,HIGH
004,fit_001_018,900,900,0,49.00791335741325,2077.718937690636,2028.7110243332227,49.00791335741325,2077.718937690636,2028.7110243332227,21,0,21,0.0,1.0,,,,,31.285714285714285,36,30.285714285714285,35,0.8653061224489796,1.0,HIGH
005,fit_001_018,900,900,0,251.018110032898,2961.036089734711,2710.0179797018127,251.018110032898,2961.036089734711,2710.0179797018127,28,0,28,0.0,1.0,,,,,29.0,36,28.0,35,0.7999999999999999,1.0,HIGH
006,fit_001_018,900,900,0,637.9855184564794,2524.995058483226,1887.0095400267464,637.9855184564794,2524.995058483226,1887.0095400267464,20,0,20,0.0,1.0,,,,,32.0,36,31.0,35,0.8857142857142857,1.0,HIGH
007,fit_001_018,900,900,0,118.97999544257927,1993.999581883192,1875.0195864406126,118.97999544257927,1993.999581883192,1875.0195864406126,19,0,19,0.0,1.0,,,,,32.421052631578945,36,31.42105263157895,35,0.8977443609022556,1.0,HIGH
008,fit_001_018,900,900,0,292.01553542811314,2626.6577991982967,2334.6422637701835,292.01553542811314,2626.6577991982967,2334.6422637701835,25,0,25,0.0,1.0,,,,,30.72,36,29.72,35,0.8491428571428571,1.0,HIGH
009,fit_001_018,900,900,0,151.0122142305479,2022.9614097596095,1871.9491955290616,151.0122142305479,2022.9614097596095,1871.9491955290616,20,0,20,0.0,1.0,,,,,32.3,36,31.3,35,0.8942857142857142,1.0,HIGH
010,fit_001_018,900,900,0,193.99108103588276,2115.98764422037,1921.996563184487,193.99108103588276,2115.98764422037,1921.996563184487,21,0,21,0.0,1.0,,,,,31.952380952380953,36,30.952380952380953,35,0.8843537414965986,1.0,HIGH
011,fit_001_018,900,900,0,165.01812493611814,2086.0225858169365,1921.0044608808184,165.01812493611814,2086.0225858169365,1921.0044608808184,20,0,20,0.0,1.0,,,,,32.3,36,31.3,35,0.8942857142857142,1.0,HIGH
012,fit_001_018,900,900,0,988.0087981158596,2860.0151409554487,1872.0063428395893,988.0087981158596,2860.0151409554487,1872.0063428395893,20,0,20,0.0,1.0,,,,,29.9,36,28.9,35,0.8257142857142857,1.0,HIGH
013,fit_001_018,900,900,0,392.99970986632326,2865.0158412224046,2472.016131356081,392.99970986632326,2865.0158412224046,2472.016131356081,26,0,26,0.0,1.0,,,,,29.96153846153846,36,28.96153846153846,35,0.8274725274725274,1.0,HIGH
014,fit_001_018,900,900,0,65.01446176523719,1918.941137762432,1853.9266759971947,65.01446176523719,1918.941137762432,1853.9266759971947,20,0,20,0.0,1.0,,,,,31.35,36,30.35,35,0.8671428571428571,1.0,HIGH
015,fit_001_018,900,900,0,36.00082319824006,1952.9916742657845,1916.9908510675443,36.00082319824006,1952.9916742657845,1916.9908510675443,20,0,20,0.0,1.0,,,,,31.35,36,30.35,35,0.8671428571428571,1.0,HIGH
016,fit_001_018,900,900,0,325.00679677088664,2842.945174958788,2517.9383781879014,325.00679677088664,2842.945174958788,2517.9383781879014,26,0,26,0.0,1.0,,,,,29.96153846153846,36,28.96153846153846,35,0.8274725274725274,1.0,HIGH
017,fit_001_018,900,900,0,201.0328943250704,2082.986326448683,1881.9534321236126,201.0328943250704,2082.986326448683,1881.9534321236126,19,0,19,0.0,1.0,,,,,33.05263157894737,36,32.05263157894737,35,0.9157894736842104,1.0,HIGH
018,fit_001_018,900,900,0,88.00166796783536,2580.9953014356247,2492.9936334677896,88.00166796783536,2580.9953014356247,2492.9936334677896,26,0,26,0.0,1.0,,,,,29.884615384615383,36,28.884615384615383,35,0.8252747252747253,1.0,HIGH
025,fit_025_036,900,900,0,9.06713542161734,2530.9922971015517,2521.9251616799343,9.06713542161734,2530.9922971015517,2521.9251616799343,26,0,26,0.0,1.0,,,,,29.884615384615383,36,28.884615384615383,35,0.8252747252747253,1.0,HIGH
026,fit_025_036,900,900,0,149.07772209990313,2999.0647167310135,2849.9869946311105,149.07772209990313,2999.0647167310135,2849.9869946311105,29,0,29,0.0,1.0,,,,,28.620689655172413,36,27.620689655172413,35,0.7891625615763547,0.9655172413793104,HIGH
027,fit_025_036,900,900,0,145.95335962554094,1933.9973773537088,1788.0440177281678,145.95335962554094,1933.9973773537088,1788.0440177281678,19,0,19,0.0,1.0,,,,,32.421052631578945,36,31.42105263157895,35,0.8977443609022556,1.0,HIGH
028,fit_025_036,900,900,0,30.039777984908785,2773.9544690458315,2743.914691060923,30.039777984908785,2773.9544690458315,2743.914691060923,28,0,28,0.0,1.0,,,,,29.107142857142858,36,28.107142857142858,35,0.8030612244897959,0.9642857142857143,HIGH
029,fit_025_036,900,900,0,65.99601519690545,2691.9946237315903,2625.998608534685,65.99601519690545,2691.9946237315903,2625.998608534685,27,0,27,0.0,1.0,,,,,29.51851851851852,36,28.51851851851852,35,0.8148148148148149,1.0,HIGH
030,fit_025_036,900,900,0,27.010582096981388,2581.0007310863452,2553.9901489893637,27.010582096981388,2581.0007310863452,2553.9901489893637,26,0,26,0.0,1.0,,,,,29.884615384615383,36,28.884615384615383,35,0.8252747252747253,1.0,HIGH
031,fit_025_036,900,900,0,432.03072659625377,2962.9942220386897,2530.963495442436,432.03072659625377,2962.9942220386897,2530.963495442436,26,0,26,0.0,1.0,,,,,29.384615384615383,36,28.384615384615383,35,0.8109890109890111,1.0,HIGH
032,fit_025_036,900,900,0,343.99603466042953,2955.0049662224865,2611.008931562057,343.99603466042953,2955.0049662224865,2611.008931562057,27,0,27,0.0,1.0,,,,,29.25925925925926,36,28.25925925925926,35,0.8074074074074075,1.0,HIGH
033,fit_025_036,900,900,0,332.9987765567695,2920.0021933105677,2587.0034167537983,332.9987765567695,2920.0021933105677,2587.0034167537983,27,0,27,0.0,1.0,,,,,29.25925925925926,36,28.25925925925926,35,0.8074074074074075,1.0,HIGH
034,fit_025_036,900,900,0,296.01275520646686,2918.994095292461,2622.9813400859944,296.01275520646686,2918.994095292461,2622.9813400859944,28,0,28,0.0,1.0,,,,,29.0,36,28.0,35,0.7999999999999999,1.0,HIGH
035,fit_025_036,900,900,0,451.99097243448784,2971.0038048937413,2519.0128324592533,451.99097243448784,2971.0038048937413,2519.0128324592533,26,0,26,0.0,1.0,,,,,29.384615384615383,36,28.384615384615383,35,0.8109890109890111,1.0,HIGH
036,fit_025_036,900,900,0,438.2555116381724,2933.971049989443,2495.715538351271,438.2555116381724,2933.971049989443,2495.715538351271,26,0,26,0.0,1.0,,,,,29.384615384615383,36,28.384615384615383,35,0.8109890109890111,1.0,HIGH
049,fit_049_054,900,900,0,952.9944963661034,2977.0046438180725,2024.0101474519693,952.9944963661034,2977.0046438180725,2024.0101474519693,21,0,21,0.0,1.0,,,,,29.0,36,28.0,35,0.8000000000000002,1.0,HIGH
