row_type,frame_id,is_frame027,source_dataset,valid_point_count,used_point_count,uniform_subsample_cap,bias_mm,mae_mm,rmse_mm,p95_abs_mm,max_abs_mm,a_frame_mm,k_frame_mm_per_normalized_stripe,remaining_rmse_after_a_k_mm,pnp_rmse_px,rvec_x,rvec_y,rvec_z,board_origin_x_mm,board_origin_y_mm,board_origin_z_mm,board_center_xc_mm,board_center_yc_mm,board_center_zc_mm,plane_nx,plane_ny,plane_nz,board_x_min_mm,board_x_max_mm,board_y_min_mm,board_y_max_mm,board_z_mean_mm,board_z_rmse_mm,board_z_p95_abs_mm,board_z_max_abs_mm,stripe_angle_board_deg,stripe_angle_to_x_deg,stripe_angle_to_y_deg,laser_intensity_mean_dn,stripe_contrast_mean_dn,fwhm_median_px,fwhm_p95_px,spearman_e_sensor_u_px_rho,spearman_e_sensor_u_px_p_value,spearman_e_sensor_u_px_n,spearman_e_sensor_v_px_rho,spearman_e_sensor_v_px_p_value,spearman_e_sensor_v_px_n,spearman_e_board_Xb_mm_rho,spearman_e_board_Xb_mm_p_value,spearman_e_board_Xb_mm_n,spearman_e_board_Yb_mm_rho,spearman_e_board_Yb_mm_p_value,spearman_e_board_Yb_mm_n,spearman_e_grid_x_mod_20_mm_rho,spearman_e_grid_x_mod_20_mm_p_value,spearman_e_grid_x_mod_20_mm_n,spearman_e_grid_y_mod_20_mm_rho,spearman_e_grid_y_mod_20_mm_p_value,spearman_e_grid_y_mod_20_mm_n,spearman_e_distance_to_grid_intersection_mm_rho,spearman_e_distance_to_grid_intersection_mm_p_value,spearman_e_distance_to_grid_intersection_mm_n,scope,predictor,outcome,frame_count,spearman_rho,spearman_p_value,loo_spearman_mean,loo_spearman_std,loo_spearman_min,loo_spearman_max,loo_spearman_sign_consistency,bootstrap_reps,bootstrap_seed,bootstrap_spearman_mean,bootstrap_spearman_ci_low,bootstrap_spearman_ci_high
frame,001,False,laser_plane,822,822,900,0.014381148136257476,0.060503744596392545,0.07687830320110613,0.1378491128957762,0.18896486340509,0.014381148136257467,-0.13242324586294638,0.036107023685503656,0.16329053695098955,-0.07216758027101713,0.6689149804769094,3.0644027226655144,70.26342851252268,86.92592310534128,640.2020869477833,-30.603767441018093,22.720130673904094,664.7667973820875,0.0440384772458224,-0.41658962535654204,-0.9080273655387072,69.25478906491465,90.59984439638995,0.16332121266194657,139.45064064946953,4.333381760035274e-14,5.732352030586308e-14,1.0332776708820239e-13,1.307450377852016e-13,98.69046223328597,81.30953776671403,8.69046223328597,98.94647201946472,103.05109489051095,2.0,4.0,0.8682601679137942,7.575428078017015e-252,822,-0.8682994036928581,6.762195856765707e-252,822,-0.8682656341319128,7.456535444473645e-252,822,0.8682994036928581,6.762195856765707e-252,822,0.24455564945471608,1.1680670822987445e-12,822,0.09752466633626654,0.005134000306874286,822,-0.28346280726316925,1.1791934037250123e-16,822,,,,,,,,,,,,,,,,
frame,002,False,laser_plane,890,890,900,0.04530581783363275,0.05677159508540685,0.06523519074227296,0.09135883624990128,0.23077165563370272,0.045305817833632786,0.028190632337988984,0.04367453493927584,0.14798432041035417,0.5615111424753477,0.0020568761146903657,-3.026432455536848,41.745660390183254,104.22043257409389,699.8353920142281,-47.018638350675865,28.14573651019441,664.7136055017394,0.3583186518603301,0.012890586071540077,-0.9335103515868092,51.644820179860076,60.2381818827535,0.1516190103968911,139.54988948818627,-3.010102092110274e-14,4.7889415186959766e-14,9.252592547906991e-14,1.1973839590409265e-13,86.46526723610177,86.46526723610177,3.5347327638982335,115.83033707865168,118.07303370786516,2.0,3.0,-0.31137661248251364,1.8398362120834093e-21,890,0.2771529367477346,3.695506279713735e-17,890,-0.2769237859567861,3.931345486574405e-17,890,-0.2771529367477346,3.695506279713735e-17,890,-0.25757014455590055,5.934924286035611e-15,890,0.08379891396789567,0.012389623419216955,890,0.11694363025867938,0.0004725328668203329,890,,,,,,,,,,,,,,,,
frame,003,False,laser_plane,900,900,900,0.061619534974514,0.07524058318197704,0.08537311120689597,0.13326322693397968,0.27568756358027713,0.06161953497451402,0.06431824759273524,0.04927988651456854,0.15082336512204414,0.23448013937848927,-0.28659944172531227,1.6183527811186593,57.649363835441775,-90.96784091055197,634.816696187931,-18.927130735447236,-0.507997397434707,664.0238389926791,0.02197336751952228,0.323978344139353,-0.9458092850297967,0.14516024762280322,199.48619709925146,45.75268137327301,77.71675603011235,1.440560652473309e-14,3.932883475720749e-14,7.692913398524599e-14,1.0520282771675866e-13,170.9149481209492,9.085051879050809,80.91494812094919,89.13888888888889,92.36555555555556,2.0,4.0,0.5317755042495937,7.669213961121147e-67,900,0.5319094797236376,7.01282637869394e-67,900,0.5319094797236376,7.01282637869394e-67,900,-0.5318549117550352,7.273139035620278e-67,900,0.16267601976463344,9.285114173213899e-07,900,-0.23830990737848648,4.357129750582575e-13,900,-0.012221364882343478,0.7142568272240419,900,,,,,,,,,,,,,,,,
frame,004,False,laser_plane,900,900,900,0.029837974835339513,0.08558981511255638,0.12070602844202004,0.23303750909452098,0.5489499161168396,0.029837974835339533,-0.13823220350221083,0.08267384311453527,0.10089911315776134,-0.0211116804177759,-0.05023735008097454,-0.029982443194688044,-153.22750676347866,-106.03239714077723,645.0542192951825,-51.264061534369986,-39.022743673010126,648.6821910619308,0.04988857843971348,-0.02185094799662327,-0.9985157313797882,133.22617674594292,140.12030796067893,0.1532909859390072,139.90593744100465,9.089407849118976e-14,1.0011181207303156e-13,1.583487880269022e-13,2.1260436540755537e-13,92.8160163486244,87.1839836513756,2.8160163486244016,80.02222222222223,85.11666666666666,3.0,4.0,0.6993205341405772,4.387396252270334e-133,900,-0.7044562112628123,7.38055503388894e-136,900,0.703224901100701,3.4566129381159223e-135,900,-0.7044562112628123,7.38055503388894e-136,900,0.6709656020151465,8.946435898218007e-119,900,-0.07873958692130074,0.018148536344580277,900,-0.28704494696907035,1.5649379123873855e-18,900,,,,,,,,,,,,,,,,
frame,005,False,laser_plane,900,900,900,0.03923327173369418,0.05089642895787216,0.06329194073461111,0.1277541344245378,0.20180756716672477,0.03923327173369418,-0.0015000053398215724,0.04965811941540762,0.1029680148290363,-0.05469928750810227,-0.009562015961434562,1.5334230839318117,111.75220270047672,-96.94473863944297,658.6379745990118,45.6177678024973,5.492914116159199,652.9140058143666,0.040556854710573104,-0.02962329196354439,-0.9987380047385942,0.17617058468286803,199.78366627107283,125.05766367363346,136.3819804906956,8.094925904725007e-15,4.734064898935768e-14,8.690809269502144e-14,1.3240556148240313e-13,3.272865514736009,3.272865514736009,86.72713448526399,78.04333333333334,82.90555555555555,3.0,4.0,0.017967067449054464,0.5903655554898544,900,-0.025795850776770508,0.4395646214688057,900,-0.025795850776770508,0.4395646214688057,900,-0.024099091480359852,0.4702496957297976,900,-0.11643611082647427,0.00046501343402155715,900,-0.024099091480359852,0.4702496957297976,900,0.08719205826180033,0.008867721912013928,900,,,,,,,,,,,,,,,,
frame,006,False,laser_plane,900,900,900,-0.006225219388691888,0.05054126732048038,0.06553434985518876,0.12159574974500628,0.3169791472541874,-0.0062252193886918935,-0.030848902094320497,0.06281698973804406,0.09617947945335815,-0.010702208691161025,-0.04294155265359206,0.12092358764145746,-102.56268616744038,-76.60523210851846,699.6916127453959,-11.810089414307015,4.961599312302738,702.9807151351829,0.04346916294687233,-0.008079919787789448,-0.9990220952355965,105.7845460023605,120.92385825798337,0.3399316663820689,139.85038376441898,-5.823911287167288e-15,4.205607078880884e-14,7.71887414503841e-14,9.947933067319745e-14,83.78730546399798,83.78730546399798,6.212694536002019,74.06111111111112,76.72666666666667,2.0,3.0,0.26710242029105385,3.6252039755467506e-16,900,-0.273173901037738,7.24170792236463e-17,900,-0.27319979407381983,7.191505361486651e-17,900,-0.273173901037738,7.24170792236463e-17,900,0.04497096909996186,0.177678947983215,900,0.01964474853261136,0.5561429203520974,900,0.5149238291240689,4.327548021642245e-62,900,,,,,,,,,,,,,,,,
frame,007,False,laser_plane,900,900,900,0.05156375625692691,0.06641313976615366,0.08073912530525672,0.1573715513079093,0.23572856509667872,0.05156375625692694,0.019294906184955458,0.061230063006854483,0.11620290816413645,-0.007506593260867957,-0.04452635610275129,-0.004110647451008108,-32.20103865645945,-113.7173168939753,703.0535602890079,67.99834695757679,-44.11409479042554,706.9873365121281,0.04449567530364612,-0.007595521861311555,-0.9989807019792358,32.70888828658792,35.300566677213325,0.18984810219035259,139.56536695673722,-1.8695734027172118e-14,4.466553643878184e-14,8.796597089755827e-14,1.1183382593331474e-13,91.09009690041461,88.90990309958539,1.0900969004146077,77.74777777777778,80.25666666666666,2.0,3.0,-0.19662924686738298,2.700378648466438e-09,900,0.1924952499941358,5.837130739669283e-09,900,-0.19538769800950373,3.4098410536986473e-09,900,0.1924952499941358,5.837130739669283e-09,900,-0.19538769800950373,3.4098410536986473e-09,900,-0.07065188969369098,0.034068520594794455,900,0.0432230821684142,0.19514924577373077,900,,,,,,,,,,,,,,,,
frame,008,False,laser_plane,900,900,900,-0.009713062927254568,0.05546446230510178,0.06761903487049702,0.1211071979681833,0.46408941219101507,-0.009713062927254582,-0.010058513266377177,0.06670017935284876,0.09554045144952464,-0.005358883397670211,-0.08234070413446053,-0.8761286731934009,-149.79428410256304,37.51528513829276,695.7888071265969,-32.349517287436214,5.623920015677143,705.2581037402056,0.06991722685470464,-0.03849552295693389,-0.9968097492005282,68.53445951978713,199.85696429260332,35.58184906633459,139.77723265817437,-2.267192841880905e-14,4.635242632486695e-14,9.092640562387862e-14,1.4714260258629868e-13,141.62522182172333,38.37477817827667,51.62522182172333,91.74222222222222,95.71666666666667,2.0,3.0,0.05459056945337793,0.10170120453201989,900,-0.05790677107831821,0.08252037147419504,900,0.05790677107831821,0.08252037147419504,900,-0.05790677107831821,0.08252037147419504,900,-0.08209954168667698,0.013750217489591493,900,0.0598852920394552,0.07254642470491326,900,0.0878096392711596,0.008395879421457891,900,,,,,,,,,,,,,,,,
frame,009,False,laser_plane,900,900,900,0.04001030957358643,0.06892405459193406,0.084914209814601,0.15506273645429472,0.18089577369312337,0.040010309573586436,0.0024896215816010477,0.07488256017106287,0.10973019581690426,0.07677854575275758,0.07057219682508299,-3.131810149256277,54.44560897553669,29.86878329959432,711.9988747048798,-44.79087890615421,-40.7517942286083,703.9457074714159,0.04879509690635312,0.04521450619733287,-0.9977848901177202,51.60804267414161,53.250077489727374,0.1999392292864606,139.8089962832495,5.754985016653745e-14,7.526637949404304e-14,1.3654084910502102e-13,1.82973986256632e-13,89.34861782144361,89.34861782144361,0.6513821785563891,91.29555555555555,94.96444444444444,2.0,3.0,-0.14671307001613582,9.906282408788845e-06,900,-0.00140474247499071,0.9664319529390784,900,0.006579909357912788,0.8437296603298673,900,0.00140474247499071,0.9664319529390784,900,0.006579909357912788,0.8437296603298673,900,0.07335719344509481,0.027762739933798884,900,-0.05158060688963814,0.12203284687701439,900,,,,,,,,,,,,,,,,
frame,010,False,laser_plane,900,900,900,-0.024089916095470773,0.0589693349810889,0.06857943969404821,0.11914271821046327,0.18373013174050357,-0.024089916095470787,-0.0192417992287628,0.06327055766781171,0.11900903660715031,-0.20013522698041808,-0.01837239289469258,-3.1186487965642646,141.11944530082184,38.68038802169745,666.9378095345887,43.156704379402754,-32.87397018746053,680.4757271159019,-0.1277110559087635,-0.012787761127510582,-0.9917289747526864,146.83535638920446,147.20281637678372,0.20536438675922408,139.85845684249446,4.996160268924557e-15,3.945939100771371e-14,7.487710293072596e-14,9.400782722547826e-14,89.87240014825224,89.87240014825224,0.12759985174776034,84.08222222222223,86.50777777777778,2.0,3.0,0.16893632378970017,3.4375297889219986e-07,900,-0.17233137324860895,1.974525517209727e-07,900,0.28831252055043693,1.0904023684910195e-18,900,0.17233137324860895,1.974525517209727e-07,900,0.28831252055043693,1.0904023684910195e-18,900,0.08857805174245072,0.007840173275331683,900,0.047920273152600605,0.15087845488872464,900,,,,,,,,,,,,,,,,
