row_type,coordinate_family,predictor,outcome,point_count,spearman_rho,spearman_p_value,binned_explained_fraction,simple_linear_r2,leave027_out_point_count,leave027_out_spearman_rho,leave027_out_spearman_p_value,leave027_out_binned_explained_fraction,leave027_out_simple_linear_r2,bin_count,loo_frame_count,loo_spearman_mean,loo_spearman_std,loo_spearman_min,loo_spearman_max,loo_ev_mean,loo_ev_std,loo_ev_min,loo_ev_max,loo_spearman_sign_consistency,bootstrap_reps,bootstrap_seed,bootstrap_spearman_mean,bootstrap_spearman_ci_low,bootstrap_spearman_ci_high,bootstrap_ev_mean,bootstrap_ev_ci_low,bootstrap_ev_ci_high,frame027_spearman_rho,frame027_spearman_p_value,frame027_point_count,frame027_binned_explained_fraction
point_relation,sensor,sensor_u_px,e_lambda_mm,26663,-0.02884480920509112,2.4677890824968927e-06,0.04202552073669241,0.00019135005326598176,25773,-0.0003776284792490146,0.9516607061446556,0.0567386864986108,0.0004317867574427092,20,30,-0.028660455370556656,0.017195509274500784,-0.07487128432598499,0.009460965655962902,0.04393783973007897,0.004930151091914178,0.03320083776497251,0.0567386864986108,0.9333333333333333,300,20260814,-0.022455063022697588,-0.1846528351299297,0.1669715104926821,0.0884477055485485,0.0386597354668583,0.15183726287398577,0.97874198309481,0.0,890,0.9533346417077136
point_relation,sensor,sensor_v_px,e_lambda_mm,26663,-2.3502454423464223e-05,0.9969381327337596,0.20964497603997923,5.7397742975751065e-05,25773,0.013894149811643502,0.025710135139262437,0.37067263128515515,5.722267954311189e-05,20,30,1.910726982971792e-05,0.01035136114700149,-0.02059703081279136,0.023585182390867224,0.21281421629731423,0.030062166053037652,0.19927944035294443,0.37067263128515515,0.5,300,20260814,0.002374720321293238,-0.08952272453053983,0.10221755670228846,0.2628242769277956,0.15048471084246912,0.4435713609067575,0.9787991090831046,0.0,890,0.9395877061350957
point_relation,board,board_Xb_mm,e_lambda_mm,26663,-0.0413771482920262,1.3897316612878661e-11,0.08593255321435045,0.0015016121588632414,25773,-0.06736187524233112,2.5915123014706965e-27,0.07529894310047991,0.0005907934540304582,20,30,-0.04124618190449133,0.011688310382652051,-0.06736187524233112,-0.01692501703706166,0.08774347141254311,0.004500325452069849,0.07529894310047991,0.09775941890743156,1.0,300,20260814,-0.034653520116724366,-0.1534456022497622,0.07029884139535482,0.11811427628705658,0.05988373360095358,0.2167141208225181,0.9786977427957699,0.0,890,0.46541906856963844
point_relation,board,board_Yb_mm,e_lambda_mm,26663,0.02730613575427965,8.219357752746156e-06,0.04936035855298837,0.004954597597964905,25773,0.010604606794530442,0.08867556912191477,0.07242398275625306,4.9691020924447216e-05,20,30,0.02725477958036405,0.022130528191128585,-0.03774312343006209,0.06823526355571805,0.05119353576433387,0.006538360679129322,0.03500435188139339,0.07242398275625306,0.8666666666666667,300,20260814,0.015384642571235565,-0.1863052510499477,0.22843425357565159,0.09233703115127503,0.03402088986221942,0.1721085102544522,0.9787991090831046,0.0,890,0.9597352703179421
point_relation,grid_phase,grid_x_mod_20_mm,e_lambda_mm,26663,0.03403103546218089,2.725521680147012e-08,0.02472321718523307,0.0016835640322236944,25773,0.057700830263592615,1.8518956476546154e-20,0.022726260554219335,0.005183263304794572,20,30,0.03404127861886922,0.009386916040229835,0.010685365301608626,0.05930909622794627,0.025422978799047254,0.0018928124244841859,0.021367505854858915,0.030621258015953945,1.0,300,20260814,0.0264262160830108,-0.07159467932655016,0.11827734179570223,0.040755218298868814,0.017578893570934992,0.08839222837522974,0.9303022770774697,0.0,890,0.9379816261154059
point_relation,grid_phase,grid_y_mod_20_mm,e_lambda_mm,26663,-0.020391854107490854,0.0008686563768191742,0.006193415733056984,0.0004610888213025799,25773,-0.025771285472675,3.5064978571645376e-05,0.012027979266449385,0.0017783906894141,20,30,-0.020335598029996536,0.007619161913592323,-0.0359429127805435,0.006960142528111058,0.006526190765020838,0.0013425679778779312,0.0031980529527245727,0.012027979266449385,0.9666666666666667,300,20260814,-0.01714107709290694,-0.09688345063136306,0.05222662628196079,0.014470133555603096,0.003806164295996314,0.03754354853731707,0.10479067202061099,0.001745475784515869,890,0.028784560409038318
point_relation,grid_boundary,distance_to_vertical_grid_line_mm,e_lambda_mm,26663,0.03973755328223956,8.53089428366375e-11,0.010392003409719242,0.00601506541004293,25773,0.020419178260767265,0.001044447689332587,0.009602262084053792,9.892306541137152e-06,10,30,0.03974048748969213,0.008194684059277283,0.018979282849185937,0.060193689652863556,0.010837855163562959,0.0010576217828018129,0.009310228642677831,0.014127839430458478,1.0,300,20260814,0.03876526210932913,-0.044027176902531114,0.12930135482576463,0.021604507175802836,0.006374448148325687,0.04902335939021731,0.7691916532224417,6.870030641497941e-175,890,0.8494734560223183
point_relation,grid_boundary,distance_to_horizontal_grid_line_mm,e_lambda_mm,26663,0.050963854473240575,8.304902494079941e-17,0.0035474661887027192,0.0011718640875524322,25773,0.053660850652917765,6.666778872169946e-18,0.007241643271136411,0.0021994692277844674,10,30,0.05094313880077027,0.009275884066252123,0.01971426474331866,0.07937873783896013,0.003726321974838846,0.0009119614778606704,0.002150160014909197,0.007241643271136411,1.0,300,20260814,0.05223485501111838,-0.0371857628867971,0.13084788937000225,0.00798946078679364,0.001239299621672041,0.02278846302804739,-0.020234591888135197,0.5465956755466317,890,0.013208765602643169
point_relation,grid_boundary,distance_to_grid_intersection_mm,e_lambda_mm,26663,0.05774016924280786,3.883474910204425e-21,0.008732611420634195,0.006423854308724275,25773,0.04457612158349791,8.100177139903796e-13,0.004525724514262475,0.0013061288090828738,15,30,0.057725917822713906,0.008095701746359795,0.03809124494040172,0.07567884244805559,0.008886110703090295,0.0014355488897558122,0.004525724514262475,0.013094263254704863,1.0,300,20260814,0.05875504666358917,-0.02077803098727239,0.13879017343511088,0.012971928924112152,0.0035506810018016365,0.030677272119061415,0.5245901037991634,4.413456719972134e-64,890,0.3470265839307586
point_relation,stripe_angle,stripe_angle_board_deg,e_lambda_mm,26663,-0.04531515919558882,1.332606399840304e-13,0.14081965548598963,1.3400439460409252e-05,25773,-0.037674641026578845,1.4472852540444219e-09,0.007215071214573321,0.0006217763080236249,18,30,-0.04524940817973946,0.023448099083644692,-0.09136548226862895,0.02867236410636682,0.14424573121918902,0.039221753245018164,0.007215071214573321,0.3043373594741996,0.9666666666666667,300,20260814,-0.04301985242315449,-0.2874311389540869,0.18391656914529436,0.1626704037293072,0.002316800604222724,0.4445203658877656,nan,nan,890,0.0
