row_type,candidate_id,omitted_frame_id,status,propagated_p95_lambda_median_mm,propagated_p95_lambda_p95_mm,propagated_p95_lambda_max_mm,propagated_to_full18_ratio,distortion_delta_l2,delta_fx,delta_fy,delta_cx,delta_cy,geometry_board_center_x_mm,geometry_board_center_y_mm,geometry_board_center_z_mm,geometry_board_tilt_deg,geometry_board_roll_deg,geometry_board_pitch_deg,geometry_apparent_bbox_area_fraction,geometry_image_center_u_norm,geometry_image_center_v_norm,geometry_normalized_radius_max,geometry_image_center_radius_norm,influence_rank
loo,loo_002,002,ok,0.3999676258808563,0.4258780939135224,0.42658272838219774,3.2680572048127186,0.0023846644078472684,4.3662927959812805,4.406564374782647,1.3124660230996597,-0.5461385114576842,-47.01844183941811,28.146845906161232,664.7154146065976,21.009646411780004,0.7910421860680197,20.99724903716937,0.2978601993802355,0.37310718406330456,0.6074609913681492,0.27196429764400903,0.16628184327270829,1
loo,loo_001,001,ok,0.32636999978546155,0.34549482431929757,0.34845047607624907,2.666705403680157,0.0034753999169755867,-3.2174674521784254,-3.272060180328481,-0.7847585677909592,-2.3362701750511405,-30.603546470712132,22.72109796840988,664.76884086507,24.765800458073528,-24.645097146391194,2.7745711932831525,0.27049805523261966,0.42216120507906785,0.5922224097974372,0.24567113716751413,0.12068078083766855,2
loo,loo_010,010,ok,0.23694220447015368,0.24613099331581026,0.24779264565830203,1.9360083875227372,0.0023944678223093738,2.4051087470243147,2.5998155637907985,-0.01269014263743884,-0.7661709531148517,43.15715156490279,-32.872711395326554,680.4707215461327,7.376196010975522,-0.7415918929848384,-7.3396352740485415,0.272618507931762,0.6209756274792281,0.3860554848873254,0.2622010600432379,0.16618801090408267,3
loo,loo_003,003,ok,0.1901673236294073,0.19761609500024094,0.2016213433611142,1.5538199891512325,0.0010713015645564,-1.9344576782386866,-1.9030568423986551,-0.2722141171425392,1.5505238767473202,-18.926544056581257,-0.5072096571501845,664.0222073552505,18.94863131526217,18.90827550335103,1.3310626341738716,0.2978517917955954,0.4542640390043909,0.49545683612245506,0.20406939718165476,0.045961053797863555,4
loo,loo_017,017,ok,0.08943348781250222,0.09738449492379032,0.09926394908887345,0.7307435284380787,0.0005550933329292158,-0.8151063638188134,-0.8157592840998404,-0.010569609164576832,-1.6576493047507483,13.229213175053886,-39.167405347291066,671.0570855806752,17.087888523497888,-17.006428168721172,1.7690197978604614,0.3057304949111458,0.5400640094144777,0.3644631199692235,0.22316207643098268,0.14133425168316582,5
loo,loo_016,016,ok,0.0848395637679431,0.09003023274522376,0.09025669486685502,0.693207474015874,0.0006118560118722573,-0.8354834937736086,-0.8380225034570685,-0.011809576607447525,-0.9679946996182025,-34.18335276551183,0.6225615792236994,668.4017811445506,17.94217622254266,-17.805748860055772,2.357894811577782,0.2785865445813465,0.41343395835296676,0.5127478886228619,0.22024505463078012,0.08749964703229829,6
loo,loo_015,015,ok,0.06214667260281317,0.06746067261325862,0.06896898379203549,0.5077883008842834,0.0036131325680523857,0.6508403847701629,0.6479890588743729,0.32735839043516535,-0.022511292335821054,-49.60919120891069,-45.89924744727934,672.642827400125,14.24653254007179,-8.42448436166039,11.652913333423202,0.3140572453219992,0.37003081452778797,0.3388376345778956,0.284150059219302,0.2070393614768896,7
loo,loo_005,005,ok,0.05119910902942593,0.05626625035600028,0.05762258037790389,0.4183379011616546,0.0006791625486717868,0.43924237278588407,0.5001260319231733,-0.7174611701220783,0.4328887705555644,45.618928074408245,5.494271478090525,652.9173572114065,2.878183093024264,-1.696895821662726,2.3261132301357716,0.3100136690978458,0.6302317485890605,0.5253369357947147,0.24051379696776304,0.13267354165782172,8
loo,loo_008,008,ok,0.04731654666110785,0.05228079826001988,0.05305187895709764,0.3866142437957049,0.0007043688538425673,-0.4413210675083974,-0.5340408286647289,0.055150020756173035,0.17543037921450377,-32.35018516370452,5.624262689561839,705.2605811694826,4.5777509829218035,-2.2113869084035027,4.012162287473505,0.5051748660672994,0.42235392255877907,0.5245415116512414,0.2215639084445116,0.08143217506696045,9
loo,loo_013,013,ok,0.030097314575957056,0.035914114951336555,0.03724836477329063,0.2459192679128761,0.0012065029221661893,-0.2787060185064547,-0.3716779580918228,0.5806460946237166,-0.016099297366281462,0.0026962118262190415,11.201614204262967,712.278195371598,2.6398612073887753,-0.5135255521914062,2.5895706614686884,0.24657875567775772,0.5050790242173455,0.5427561398130475,0.1852166657401457,0.04305675299779637,10
loo,loo_007,007,ok,0.028790354722838175,0.03530372293318379,0.036888794230441134,0.23524035470088916,0.0035800197483349823,0.18471648841568822,0.19586855306715734,-0.04385589966568659,1.1957236362181902,67.99899173141047,-44.11281611107967,706.9836039768452,2.5878392327443622,-0.4360779326569814,2.5509312087971376,0.24641252297657018,0.6770237934860316,0.35153816812688654,0.2843469318704942,0.2310375272186442,11
loo,loo_011,011,ok,0.027291811133082433,0.03166914832854502,0.032602105024562886,0.22299604826623287,0.0004966299180960819,-0.17967772604333732,-0.14573745531924942,0.52250169534409,1.1556308117112621,6.138672109800936,-33.40379576124035,678.9530751159369,12.548886333835904,12.39997745547601,1.989100751395787,0.27432437017490685,0.5210977323691953,0.3813623392509692,0.22101070858490388,0.12049899941129935,12
loo,loo_018,018,ok,0.017450287149273436,0.019540054181777292,0.020020672482286273,0.1425828815985764,0.00016676872866444164,-0.1322570079300931,-0.1357347699240563,-0.12936794529650797,0.5430452091377447,51.67407832533392,-18.29509754528121,709.1598338641405,3.0372028227948165,1.7005182316762066,2.5179903350707344,0.25971196321056533,0.6356352012265812,0.44040487497503106,0.23768922544581977,0.14815021680212576,13
loo,loo_014,014,ok,0.0137225261914665,0.017653386501845315,0.018298929841364497,0.1121240762661431,0.0007538153382089647,-0.09797858843830909,-0.13997699864376045,-0.8382497061279537,0.38718007916145325,-64.35331187904804,-47.89038306540523,709.8766875655414,2.656867499970087,-0.46967382719431344,2.6151412031196277,0.2642023816150549,0.34233722293918784,0.3391301655624852,0.28581638233746065,0.22524798534610865,14
loo,loo_004,004,ok,0.012552738602994395,0.01540631663914695,0.016385208787517057,0.10256597078651225,0.0002137715787534113,0.10212579811923206,0.1655739612015168,0.14560519055476107,0.0390284734467059,-51.262974970051516,-39.021548129862325,648.6771903892012,3.1231462100848577,-1.2557929740068732,2.860464926748272,0.30871927701937785,0.36297474818473513,0.35719877173683856,0.28831437293499246,0.19790934901743343,15
loo,loo_009,009,ok,0.009358649071884884,0.012896025101394171,0.01358892036359407,0.07646769025200528,0.0009388821689700472,-0.06819623788942408,-0.11531845870831603,-0.5808987025375245,0.06438732648621226,-44.789286670148,-40.75027795193537,703.9450965546126,3.8202510385092014,2.600871269740677,2.80201917858217,0.2530734018128569,0.3906928544694727,0.36197673346779563,0.2611508870727395,0.17606383549227764,16
