ablation_id,category,selection_rule,omitted_frame_ids,remaining_unique_frame_count,fit_rms_px,status,candidate_global_p95_abs_mm,frame_p95_median_mm,frame_p95_p95_mm,frame_p95_max_mm,delta_fx,delta_fx_pct,delta_fy,delta_fy_pct,delta_cx,delta_cx_pct,delta_cy,delta_cy_pct,delta_k1,delta_k1_pct,delta_k2,delta_k2_pct,delta_p1,delta_p1_pct,delta_p2,delta_p2_pct,delta_k3,delta_k3_pct,001_depth_mm,001_tilt_deg,001_apparent_area,002_depth_mm,002_tilt_deg,002_apparent_area,004_depth_mm,004_tilt_deg,004_apparent_area,005_depth_mm,005_tilt_deg,005_apparent_area,013_depth_mm,013_tilt_deg,013_apparent_area,014_depth_mm,014_tilt_deg,014_apparent_area,008_depth_mm,008_tilt_deg,008_apparent_area,015_depth_mm,015_tilt_deg,015_apparent_area,007_depth_mm,007_tilt_deg,007_apparent_area,006_depth_mm,006_tilt_deg,006_apparent_area,011_depth_mm,011_tilt_deg,011_apparent_area,017_depth_mm,017_tilt_deg,017_apparent_area,012_depth_mm,012_tilt_deg,012_apparent_area
high_tilt,targeted,remove two highest-tilt poses,001;002,16,0.1126090733145601,ok,0.14992795825785946,0.1442542255487723,0.15580845370263688,0.16091999281216546,1.4448579276986493,0.019663642502898107,1.4191963271996428,0.019311838409349375,0.5191447718129893,0.025076834439918053,-2.920320107204134,-0.19308712767917496,-0.0007292248189231382,1.4840596047331396,0.006650818473155878,2.926318349432934,-8.262690238126013e-05,16.10176787915332,8.299682952105976e-05,-17.349637096543773,0.0,nan,664.76884086507,24.765800458073528,0.27049805523261966,664.7154146065976,21.009646411780004,0.2978601993802355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
near_depth,targeted,remove two nearest/smallest-Z poses,004;005,16,0.12051063355573055,ok,0.07380702660245789,0.06737649915720567,0.0763640622690542,0.07859510960881266,0.589810629542626,0.008026965933050825,0.7200027223816505,0.009797500150217112,-0.6391916975339882,-0.030875596258925754,0.4797451987558361,0.031720023506027296,0.0002815184285320099,-0.572923626474026,-0.0006534204175719927,-0.28750087911025696,2.0409425301986324e-05,-3.9772497732413554,-2.1140755936350088e-05,4.4192584892560145,0.0,nan,,,,,,,648.6771903892012,3.1231462100848577,0.30871927701937785,652.9173572114065,2.878183093024264,0.3100136690978458,,,,,,,,,,,,,,,,,,,,,,,,,,,
far_depth,targeted,remove two farthest/largest-Z poses,013;014,16,0.12055729294511937,ok,0.05244138220381273,0.046622638597176545,0.054459125893287705,0.05623949036796603,-0.4129771430070832,-0.005620369135458149,-0.5553760414404678,-0.007557328160428413,-0.32494268372238366,-0.01569607231854047,0.39220860539603564,0.025932236976404118,0.0002155927036893296,-0.4387569022856571,-0.002095985369942349,-0.9222203963258762,1.4140946601701697e-05,-2.7556913451924827,-8.73755074042639e-06,1.8264954858374398,0.0,nan,,,,,,,,,,,,,712.278195371598,2.6398612073887753,0.24657875567775772,709.8766875655414,2.656867499970087,0.2642023816150549,,,,,,,,,,,,,,,,,,,,,
large_apparent_size,targeted,remove two largest apparent-board poses,008;015,16,0.12043457180964594,ok,0.027109183569041306,0.024264405572935743,0.028385828966481765,0.029163783908518325,0.2634702478417239,0.003585670718477841,0.1675385216522045,0.002279795117475322,0.40645849129805356,0.019633622153960282,0.20918329268579328,0.013830881430954253,0.0001718457280616148,-0.34972658176775423,-0.0040193353685498145,-1.7684823137160428,-2.6141572361367536e-05,5.094291544617995,2.8603171148679197e-05,-5.979199953824678,0.0,nan,,,,,,,,,,,,,,,,,,,705.2605811694826,4.5777509829218035,0.5051748660672994,672.642827400125,14.24653254007179,0.3140572453219992,,,,,,,,,,,,,,,
edge_coverage,targeted,remove two farthest image-center poses,007;014,16,0.11982969201918264,ok,0.028346657863841072,0.025149407313961092,0.03401635845710102,0.03605702026311519,0.08922797262221138,0.0012143387396546066,0.05696560288470209,0.0007751644340647856,-0.9322048389112751,-0.045029339942750095,1.711543719903375,0.11316466984500076,2.4215592396285845e-05,-0.04928162282391909,0.004005014763604681,1.7621813374985937,7.136405066285171e-05,-13.906940059149429,-3.333349986808971e-05,6.968026721096633,0.0,nan,,,,,,,,,,,,,,,,709.8766875655414,2.656867499970087,0.2642023816150549,,,,,,,706.9836039768452,2.5878392327443622,0.24641252297657018,,,,,,,,,,,,
matched_control_1,matched_control,coverage-balanced control; score=0.1542,006;011,16,0.11989683305384181,ok,0.04332814956855486,0.04219036220697773,0.04730980489919289,0.04785171483600265,-0.2848701691709721,-0.0038769107044595253,-0.2531440738193851,-0.0034446801715804247,0.4496986991339327,0.02172230259903388,1.8537539485935213,0.12256739405891157,3.6972282445757454e-05,-0.07524301072686902,-0.001182887557442558,-0.520463094674954,6.793262833355374e-05,-13.238247850566395,1.5289444001371296e-06,-0.31961016627076216,0.0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.979272331423,2.5334650585219993,0.31154206503621024,678.9530751159369,12.548886333835904,0.27432437017490685,,,,,,
matched_control_2,matched_control,coverage-balanced control; score=0.2313,013;017,16,0.11904217929805033,ok,0.1156559944701314,0.11021784444599803,0.12248835492451149,0.12440090378070749,-0.9981057005006733,-0.013583614899778131,-1.0934166384204218,-0.01487876274097681,0.6193633891002719,0.02991780715112164,-1.6946498169234019,-0.11204767065246475,0.00016270790704839277,-0.3311300245893653,-0.0019298315027670154,-0.8491137385052026,-6.832894152221283e-05,13.3154786650751,3.082435298302588e-05,-6.4435152653098235,0.0,nan,,,,,,,,,,,,,712.278195371598,2.6398612073887753,0.24657875567775772,,,,,,,,,,,,,,,,,,,671.0570855806752,17.087888523497888,0.3057304949111458,,,
matched_control_3,matched_control,coverage-balanced control; score=0.2359,012;015,16,0.12069308897091095,ok,0.07201517760383352,0.06654715556599342,0.07464096809353293,0.07686133353290074,0.6893140160518669,0.00938114684083174,0.6675169059199106,0.009083294802538458,0.49431400315688734,0.023877405863510694,-0.09435226179630263,-0.006238428169343202,0.00030932257693566667,-0.6295083893881659,-0.004826486075193592,-2.12362355432318,-2.5186177759619157e-05,4.9081107528056,4.1874546955257465e-05,-8.75344513095592,0.0,nan,,,,,,,,,,,,,,,,,,,,,,672.642827400125,14.24653254007179,0.3140572453219992,,,,,,,,,,,,,705.1615941209134,4.505920071431838,0.25096068100437513
