roi_id,height_mm,trim_px,x_start,x_end,width_px,valid_column_count,available,unavailable_reason,delta_y_median_px,sensitivity_median_px_per_mm,relative_change_vs_trim0,roi_stable,roi_sensitive
h001,1.0,0,1823,1851,29,29,true,,-1.2747329140172496,1.2747329140172496,0.0,true,false
h001,1.0,2,1825,1849,25,25,true,,-1.2854035776092587,1.2854035776092587,0.008370901445057284,true,false
h001,1.0,3,1826,1848,23,23,true,,-1.2854035776092587,1.2854035776092587,0.008370901445057284,true,false
h001,1.0,4,1827,1847,21,21,true,,-1.2854035776092587,1.2854035776092587,0.008370901445057284,true,false
h010,10.0,0,1879,1923,45,44,true,,-11.876173418535359,1.1876173418535358,0.0,true,false
h010,10.0,2,1881,1921,41,41,true,,-11.870337827472895,1.1870337827472894,0.0004913696404396054,true,false
h010,10.0,3,1882,1920,39,39,true,,-11.866923429841336,1.1866923429841336,0.0007788694529826961,true,false
h010,10.0,4,1883,1919,37,37,true,,-11.870337827472895,1.1870337827472894,0.0004913696404396054,true,false
h030,30.0,0,1949,1983,35,35,true,,-35.99173127667268,1.1997243758890894,0.0,true,false
h030,30.0,2,1951,1981,31,31,true,,-35.99173127667268,1.1997243758890894,0.0,true,false
h030,30.0,3,1952,1980,29,29,true,,-35.99173127667268,1.1997243758890894,0.0,true,false
h030,30.0,4,1953,1979,27,27,true,,-35.99173127667268,1.1997243758890894,0.0,true,false
