row_type,setting,fold,fit_max_points,selected_fit_points,fit_success,optimizer_cost,axis_unit_x,axis_unit_y,axis_unit_z,apex_x_mm,apex_y_mm,apex_z_mm,half_apex_angle_deg,axis_angle_vs_3000_deg,apex_delta_vs_3000_mm,half_angle_delta_vs_3000_deg,axis_angle_range_deg,apex_spread_mm,half_angle_range_deg,half_angle_std_deg,optimizer_cost_cv_pct,axis_angle_vs_3000_max_deg,apex_delta_vs_3000_max_mm,half_angle_delta_vs_3000_max_deg,fit_success_rate
fold,3000,0,3000,3000.0,True,1.3644924808504557,0.9585737491555808,0.008719315461269328,-0.2847109779543116,-92.3780479662429,20.29788058336845,402.59431557909664,89.27620278662543,0.0,0.0,0.0,,,,,,,,,
fold,3000,1,3000,3000.0,True,1.3925251899230355,0.9611191035387979,0.009026787315265442,-0.27598656837524255,-156.1768508550326,12.509117365452164,196.79166952330888,88.76580302554142,0.0,0.0,0.0,,,,,,,,,
fold,3000,2,3000,3000.0,True,0.9759042783671436,0.9633126020609276,0.008615707120095828,-0.2682435466165507,-213.4163820130652,22.344721426422115,12.67220199359201,88.30777935008886,0.0,0.0,0.0,,,,,,,,,
fold,3000,3,3000,3000.0,True,1.2989852395209838,0.959406852527533,0.008692474135317771,-0.2818917029935775,-109.99898942281223,20.745476819746123,345.88349737081364,89.10989553517197,0.0,0.0,0.0,,,,,,,,,
fold,3000,4,3000,3000.0,True,1.314077916859039,0.9607076277168058,0.009083096470182678,-0.27741368280108397,-142.9406981647984,11.404963910479765,239.403304165213,88.85003717616063,0.0,0.0,0.0,,,,,,,,,
fold,3000,5,3000,3000.0,True,1.3532105433596544,0.9599654600721713,0.008784994226057004,-0.27998060530128244,-126.16879453861367,18.196624893309394,293.5604484732531,89.00466890182456,0.0,0.0,0.0,,,,,,,,,
summary,3000,ALL,3000,3000.0,True,1.2831992748133854,,,,,,,,,,,0.9818345980328985,408.2814256481111,0.9684234365365683,0.30728625558336503,10.979370391447146,0.0,0.0,0.0,1.0
fold,6000,0,6000,6000.0,True,2.714350247697856,0.9588151623660458,0.00869303347261767,-0.28389772029027854,-98.42461909756015,21.00429608150671,383.13246063187995,89.22909202877327,0.048629205217645056,20.39175920043663,-0.047110757852166785,,,,,,,,,
fold,6000,1,6000,6000.0,True,2.7533171919211354,0.9610579532113421,0.008933353893397366,-0.2762024723955976,-154.74578943054104,14.894321227160459,201.47033796529493,88.77867160433517,0.013926966236540314,5.443075661114047,0.012868578793757024,,,,,,,,,
fold,6000,2,6000,6000.0,True,1.940908954768622,0.9639766521568409,0.008418950386288501,-0.2658535976263668,-230.95442753167043,27.175921082131413,-43.67300847797052,88.1659190274463,0.1425679163911476,59.20900500608564,-0.14186032264257165,,,,,,,,,
fold,6000,3,6000,6000.0,True,2.590450427126949,0.9595128822767429,0.008693238749489138,-0.28153056023284895,-112.56473410962424,20.777772873890857,337.6128048344652,89.08905293312117,0.0215653724100579,8.659586818308801,-0.02084260205080568,,,,,,,,,
fold,6000,4,6000,6000.0,True,2.599978615916647,0.9610829661305188,0.009030023496524726,-0.2761122794977007,-152.30370815610053,12.824254849155407,209.26751640681243,88.77370217916534,0.07766371593027431,31.588701250371088,-0.07633499699528556,,,,,,,,,
fold,6000,5,6000,6000.0,True,2.6769247958985947,0.9602014469592416,0.008720134908971142,-0.27917224164402177,-132.07515533087206,19.86368685617078,274.5659989828484,88.95753930890179,0.048391989143125806,19.961295169399243,-0.04712959292277219,,,,,,,,,
summary,6000,ALL,6000,6000.0,True,2.545988372221634,,,,,,,,,,,1.0754477413573604,446.95094534054834,1.0631730013269731,0.3389749676210075,10.869389566880889,0.1425679163911476,59.20900500608564,0.14186032264257165,1.0
fold,12000,0,12000,12000.0,True,5.388566087483439,0.9587861102098976,0.008740088556929143,-0.2839943762129654,-97.69456817377396,19.90062667597678,385.4583322056661,89.23439123369117,0.04283972984134862,17.946172961345024,-0.04181155293426286,,,,,,,,,
fold,12000,1,12000,12000.0,True,5.4955548439537765,0.9610159802888112,0.009009651085754458,-0.2763460001824673,-153.66010272230415,13.126791971203573,204.92324867569553,88.78688118357098,0.021447248378244365,8.534525329138786,0.021078158029567362,,,,,,,,,
fold,12000,2,12000,12000.0,True,3.847416381968484,0.9644476216865858,0.008471869573305967,-0.2641382449571079,-243.3471118925938,25.9258938936226,-83.6208178470351,88.06416598615424,0.24418011983513369,100.90103595795509,-0.24361336393462807,,,,,,,,,
fold,12000,3,12000,12000.0,True,5.155962998894157,0.9594753377290411,0.008744812192613966,-0.281656891535532,-111.58857222551116,19.582712169947698,340.72932926165356,89.09614674830402,0.014331496317305292,5.517630289801941,-0.013748786867950002,,,,,,,,,
fold,12000,4,12000,12000.0,True,5.157773158165965,0.9610895439762656,0.009110021839311632,-0.27608675441169084,-152.42383109566015,10.965905502867574,208.83032305142706,88.7719927465077,0.07912885811718287,32.012962322371884,-0.07804442965291969,,,,,,,,,
fold,12000,5,12000,12000.0,True,5.3448338481364415,0.9602254075216049,0.008783588093330833,-0.2790878272697941,-132.6339934883354,18.37726972632127,272.7258807129065,88.95241703828012,0.053276674876898855,21.81537631524267,-0.052251863544441335,,,,,,,,,
summary,12000,ALL,12000,12000.0,True,5.0650178864337105,,,,,,,,,,,1.1831346144302881,491.2089335007776,1.1702252475369335,0.37420255472159614,11.015523535424798,0.24418011983513369,100.90103595795509,0.24361336393462807,1.0
fold,all_feasible,0,27000,27000.0,True,12.116302419310294,0.9588518804391967,0.008744947614686069,-0.2837720868398316,-99.34073337989042,19.81042506696897,380.149030508232,89.2216507700622,0.056124443968770636,23.505476446187345,-0.054552016563235384,,,,,,,,,
fold,all_feasible,1,27000,27000.0,True,12.369824161404601,0.9611206633312669,0.009017241416578644,-0.275981448425253,-156.35548998206613,12.971943289263457,196.22671430541473,88.76563676364346,0.0006270442882434419,0.751860473548722,-0.00016626189795942992,,,,,,,,,
fold,all_feasible,2,27000,27000.0,True,8.665351971103474,0.9644871547374683,0.008488699718560179,-0.2639933149220092,-244.37042637266492,25.549122728346266,-86.93780520059931,88.05579646187495,0.25275301670548855,104.35791576658997,-0.25198288821391657,,,,,,,,,
fold,all_feasible,3,27000,27000.0,True,11.600055094471621,0.959526976116616,0.008752537431954397,-0.2814806835166586,-112.87914950653722,19.422831540035997,336.5653613353505,89.08593168435755,0.024774995162401794,9.842376329892058,-0.023963850814425314,,,,,,,,,
fold,all_feasible,4,27000,27000.0,True,11.625464249432541,0.961189383282652,0.009122810961452753,-0.27573854243626644,-154.90805128260715,10.68712579254909,200.81264407470624,88.75162206307408,0.09989468923802522,40.4100467511597,-0.0984151130865456,,,,,,,,,
fold,all_feasible,5,27000,27000.0,True,12.024683771496324,0.9603239140757507,0.008791478630291323,-0.27874843489735224,-135.09612964840935,18.210063596076715,264.78189602762086,88.93262738147077,0.07352581114733213,30.131421699404207,-0.07204152035379252,,,,,,,,,
summary,all_feasible,ALL,27000,27000.0,True,11.40028027786981,,,,,,,,,,,1.1784513572936286,489.1182439788112,1.1658543081872494,0.3729314409796029,10.986861409971716,0.25275301670548855,104.35791576658997,0.25198288821391657,1.0
