setting,fit_max_points,sampling_status,selected_fit_points_mean,selected_fit_points_min,selected_fit_points_max,train_point_count_per_fold,point_count,fold_count,valid_intersections,valid_rate,global_bias_mm,global_mae_mm,global_rmse_mm,global_p95_mm,global_max_abs_mm,frame_rmse_mean_mm,frame_rmse_std_mm,fold_rmse_mean_mm,fold_rmse_std_mm,worst_v_bin,worst_v_bin_rmse_mm,worst_v_bin_p95_mm,worst_v_bin_max_abs_mm,v_bias_range_mm,protocol_source,train_frame_count,heldout_frame_count,delta_global_rmse_mm_vs_3000,delta_global_p95_mm_vs_3000,delta_worst_v_bin_rmse_mm_vs_3000,delta_worst_v_bin_p95_mm_vs_3000,delta_fold_rmse_std_mm_vs_3000,delta_frame_rmse_std_mm_vs_3000
3000,3000,REUSED_EXISTING,3000.0,3000,3000,27000,32400,6,32400,1.0,9.034042849609452e-05,0.0723668422815012,0.1008931036770934,0.1905405266796094,0.6499044254956061,0.091203786004388,0.0431426446577225,0.0979706935546825,0.0241072929631512,v_0000_0100,0.2012023586343311,0.2901329624810386,0.3788079629601952,0.3159864512827905,0817 grouped_cv_model_comparison.csv,,,0.0,0.0,0.0,0.0,0.0,0.0
6000,6000,COMPUTED_MISSING,6000.0,6000,6000,27000,32400,6,32400,1.0,0.0005551871286468669,0.07234168619916725,0.10079401123126112,0.19058576875939934,0.6493886682960692,0.09112442741092827,0.04307866559119555,0.09780946467357772,0.024346279394514208,v_0000_0100,0.20107416097178077,0.28708684884753666,0.3708599055802324,0.3152130701252295,new Cone-only CV; same folds/weights/config except fit_max_points,30.0,36.0,-9.909244583226895e-05,4.524207978992556e-05,-0.00012819766255034448,-0.0030461136335019345,0.00023898643136300787,-6.397906652694935e-05
12000,12000,COMPUTED_MISSING,12000.0,12000,12000,27000,32400,6,32400,1.0,0.00021824361913567257,0.07238431621196308,0.10085253704575403,0.19056144364956254,0.6486236091932369,0.09117648576175155,0.0431054830932482,0.09786839070105152,0.02435184449177356,v_0000_0100,0.2011882527929714,0.2866081555015057,0.3690622499378833,0.3154429746130578,new Cone-only CV; same folds/weights/config except fit_max_points,30.0,36.0,-4.056663133936156e-05,2.091696995312753e-05,-1.4105841359718374e-05,-0.0035248069795328907,0.00024455152862236026,-3.716156447430147e-05
all_feasible,27000,COMPUTED_MISSING,27000.0,27000,27000,27000,32400,6,32400,1.0,0.00010496539477904777,0.07237165134955562,0.10081029664739599,0.19057754900284743,0.6482624812485938,0.09114860149470691,0.04306562847207843,0.09782434626353191,0.024353915255017837,v_0000_0100,0.20064018169886544,0.2839766806658417,0.3664254509673128,0.3150739765065038,new Cone-only CV; same folds/weights/config except fit_max_points,30.0,36.0,-8.28070296974015e-05,3.702232323801735e-05,-0.0005621769354656747,-0.006156281815196896,0.0002466222918666369,-7.70161856440757e-05
