row_v_px,yg_mm,raw_mean_z_mm,retained_trend_z_mm,bias_mm,sample_count,repeatability_sigma_mm
18.0,145.319684,0.201405,-0.0007493686948170306,0.20215436869481704,7,0.29670041841585404
19.0,145.17175550000002,0.4349425,-0.0008121007421656029,0.4357546007421656,6,0.30784108894779894
20.0,145.07318450000002,0.4394455,-0.0008539017517019479,0.44029940175170196,6,0.31913105689382015
21.0,144.971726,0.4573865,-0.0008969272635263592,0.45828342726352633,6,0.33513790028489265
22.0,144.873052,0.4623925,-0.0009387719522785179,0.4633312719522785,6,0.33289917577288575
23.0,144.776191,0.4589685,-0.000979847802018291,0.4599483478020183,6,0.3238081218242783
24.0,144.680925,0.448115,-0.001020247260018002,0.44913524726001797,6,0.3156249916260857
25.0,144.583009,0.449602,-0.0010617705036673614,0.45066377050366735,6,0.3071445604556048
26.0,144.484501,0.4538525,-0.0011035447967901457,0.45495604479679014,6,0.30895598258327994
27.0,144.442759,0.193154,-0.0011212463290873331,0.19427524632908733,7,0.30440291594443736
40.0,143.137598,0.36258650000000003,-0.0016747260280602916,0.3642612260280603,8,0.28909548755965936
41.0,143.04023899999999,0.3614435,-0.0017160130646881946,0.3631595130646882,8,0.27307057832542514
42.0,142.94673,0.3421605,-0.0017556674315986828,0.34391616743159864,8,0.25578575255865993
43.0,142.8543465,0.317541,-0.0017948445076606187,0.3193358445076606,8,0.2482966402055355
44.0,142.75971449999997,0.3035035,-0.001834975105244531,0.30533847510524453,8,0.2515211305715685
45.0,142.66340150000002,0.2973905,-0.0018758185645933456,0.29926631856459335,8,0.24895134767259247
46.0,142.56752849999998,0.289193,-0.0019164754331173484,0.2911094754331173,8,0.2391244670105329
47.0,142.471602,0.281239,-0.001957154989389351,0.2831961549893894,8,0.22144629783490558
48.0,142.37300249999998,0.2859275,-0.001998968084922309,0.2879264680849223,8,0.2135994963522353
49.0,142.27764000000002,0.275297,-0.0020394084656824504,0.27733640846568247,8,0.21868238777342294
50.0,142.181388,0.2688655,-0.002080226056757846,0.2709457260567578,8,0.22219739188094992
51.0,142.08374500000002,0.269026,-0.002121633529281776,0.2711476335292818,8,0.22548307154826344
52.0,141.9871035,0.264439,-0.002162616295644175,0.26660161629564416,8,0.23206080757098987
53.0,141.889146,0.266093,-0.0022041571382008657,0.2682971571382009,8,0.24011083010247583
54.0,141.7931385,0.2584915,-0.002244871044147452,0.26073637104414743,8,0.23822612728186277
55.0,141.698514,0.2443045,-0.002284998461205938,0.24658949846120595,8,0.22648199738847108
56.0,141.60173350000002,0.240359,-0.0023260401733061556,0.24268504017330614,8,0.2128041219820975
57.0,141.503241,0.2445585,-0.0023678078933430727,0.24692630789334308,8,0.2114114748040874
58.0,141.40346849999997,0.254865,-0.0024101184230522765,0.2572751184230523,8,0.2244366155815808
59.0,141.3040985,0.263269,-0.002452258264563731,0.2657212582645637,8,0.2351340102901808
61.0,141.104309,0.2851225,-0.002536983009110927,0.28765948300911093,8,0.2639274078854354
62.0,141.00861450000002,0.276017,-0.002577564181129824,0.2785945641811298,8,0.2839391573775407
63.0,140.91220349999998,0.270324,-0.0026184491993442097,0.27294244919934424,8,0.29993943168719794
64.0,140.81262049999998,0.2797965,-0.0026606793677776963,0.2824571793677777,8,0.30321743058379624
65.0,140.714503,0.28227349999999996,-0.0027022880615434203,0.2849757880615434,8,0.2958816460707787
66.0,140.62134350000002,0.2610085,-0.002741794215969165,0.2637502942159691,8,0.28458562030831397
67.0,140.530127,0.2304085,-0.00278047640227521,0.2331889764022752,8,0.27868131118422196
68.0,140.4335265,0.2255885,-0.0028214417817652784,0.22840994178176527,8,0.2821148095542651
69.0,140.33292699999998,0.239951,-0.0028641030174111765,0.24281510301741116,8,0.2853058466838701
70.0,140.2301165,0.26495599999999997,-0.002907701871951919,0.2678637018719519,8,0.278950356322174
71.0,140.127475,0.2891805,-0.0029512290586531237,0.29213172905865314,8,0.26235058477051004
72.0,140.0274655,0.3007885,-0.0029936400929657034,0.3037821400929657,8,0.23813045305098604
73.0,139.929335,0.303371,-0.0030352542996421664,0.3064062542996422,8,0.22504700749648948
74.0,139.815162,0.383201,-0.003083671650199571,0.3862846716501996,9,0.21275360644638774
75.0,139.712994,0.405297,-0.0031269980397290315,0.40842399803972906,9,0.22295464658223907
76.0,139.613576,0.41417,-0.0031691582366032076,0.41733915823660317,9,0.23839704027740732
77.0,139.51992,0.395263,-0.00320887494181199,0.39847187494181197,9,0.24255168066419944
78.0,139.426444,0.37546,-0.003248515314410623,0.37870851531441063,9,0.22391067549756927
79.0,139.332871,0.356105,-0.0032881968218047217,0.3593931968218047,9,0.2147550709156829
80.0,139.24216,0.322893,-0.0033266646406972106,0.3262196646406972,9,0.2151490852661501
81.0,139.15595,0.267863,-0.0033632237202655332,0.27122622372026556,9,0.21075150332625808
82.0,139.060096,0.259442,-0.003403872531458449,0.26284587253145847,9,0.206696519417223
83.0,138.950217,0.31895,-0.0034504689251933437,0.32240046892519336,9,0.203397201653426
84.0,138.842367,0.3687,-0.003496204880783685,0.3721962048807837,9,0.20389379778024144
85.0,138.73572,0.412691,-0.0035414306800960887,0.4162324306800961,9,0.21082309457991077
86.0,138.639852,0.404424,-0.0035820854282697864,0.40800608542826977,9,0.21903020093686726
87.0,138.5378905,0.4257435,-0.003625324247332591,0.4293688242473326,8,0.2026787617670157
88.0,138.445111,0.4024685,-0.003664669255136886,0.40613316925513687,8,0.20436245860655103
89.0,138.34959750000002,0.39246400000000004,-0.003705173670475563,0.3961691736704756,8,0.21323699567345084
90.0,138.2503835,0.4004565,-0.0037472473570582254,0.4042037473570582,8,0.2315804954919255
91.0,138.15020049999998,0.41317950000000003,-0.003789731967525606,0.41696923196752567,8,0.24635713756295816
92.0,138.0502085,0.424994,-0.0038321355806121907,0.42882613558061217,8,0.2498094332400128
93.0,137.9544505,0.416177,-0.0038727436810796767,0.4200497436810797,8,0.24663405057855597
94.0,137.8618015,0.392181,-0.003912033347741602,0.3960930333477416,8,0.2350641200566348
95.0,137.766365,0.38176350000000003,-0.003952505109685936,0.38571600510968596,8,0.22407932848782275
96.0,137.6661645,0.3946185,-0.003994997141379297,0.3986134971413793,8,0.21382364258287884
97.0,137.564552,0.414396,-0.004038087959992408,0.4184340879599924,8,0.2097276412850298
98.0,137.481243,0.344642,-0.00407341681232689,0.3487154168123269,9,0.21636295769865763
99.0,137.384873,0.338749,-0.004114284443668945,0.342863284443669,9,0.193546669515391
100.0,137.283767,0.356055,-0.004157160470798435,0.36021216047079846,9,0.2034675315382039
101.0,137.179193,0.390392,-0.004201507172883777,0.3945935071728838,9,0.21248919492320337
102.0,137.079315,0.401737,-0.004243862441983923,0.40598086244198395,9,0.21986096209921951
103.0,136.977,0.425064,-0.004287251169811691,0.4293512511698117,9,0.2269758957393812
104.0,136.876349,0.440248,-0.004329934245065496,0.4445779342450655,9,0.2335784256834308
105.0,136.801035,0.3308875,-0.004361872657298503,0.3352493726572985,8,0.25434656014972956
106.0,136.678164,0.455361,-0.004413978569207076,0.45977497856920707,9,0.24393198505429292
107.0,136.581658,0.450199,-0.004454903874076814,0.45465390387407684,9,0.23693624151288042
108.0,136.488194,0.430045,-0.004494539157834765,0.4345395391578348,9,0.22764098539915875
109.0,136.390891,0.428795,-0.004535802446539498,0.4333308024465395,9,0.2196073067175817
110.0,136.28972,0.446628,-0.00457870603822267,0.4512067060382227,9,0.2106936900965475
111.0,136.18124999999998,0.500524,-0.004624704917248021,0.505148704917248,6,0.1431029847822889
112.0,136.079942,0.519114,-0.004667666606528918,0.5237816666065289,5,0.016741382135295777
113.0,135.982266,0.519776,-0.00470908807336471,0.5244850880733647,5,0.008649945421793153
114.0,135.885417,0.51635,-0.004750158834263822,0.5211001588342637,5,0.00769388177060188
115.0,135.794138,0.48535,-0.004788867524948379,0.4901388675249484,5,0.01988321484820801
116.0,135.709172,0.423034,-0.004824899061366447,0.4278588990613665,9,0.1769962924223273
117.0,135.627146,0.34606,-0.004859683831818479,0.3509196838318185,9,0.15465830887080648
118.0,135.54794,0.254991,-0.004893272724711274,0.2598842727247113,9,0.13921304986043673
119.0,135.465547,0.179624,-0.004928213128874051,0.18455221312887404,9,0.1334458137381986
120.0,135.378061,0.1294545,-0.004965313321834412,0.13441981332183442,8,0.09717142595434114
121.0,135.287862,0.092704,-0.005003564016857989,0.09770756401685798,7,0.026725566055745203
122.0,135.1937725,0.0752575,-0.005043464556436263,0.08030096455643626,6,0.007356230105608897
123.0,135.096739,0.072447,-0.005084613558260773,0.07753161355826077,7,0.030262217516236315
124.0,134.998214,0.077061,-0.005126395060574523,0.08218739506057453,7,0.028520105532263175
125.0,134.898123,0.089494,-0.0051688406565967016,0.0946628406565967,7,0.028506191080268195
126.0,134.798064,0.101785,-0.0052112726823770675,0.10699627268237707,7,0.03202297346548925
127.0,134.697962,0.11431,-0.005253722943169878,0.11956372294316987,7,0.03229654257553482
128.0,134.599794,0.117195,-0.005295353052473459,0.12249035305247345,7,0.024521617251295796
129.0,134.503521,0.110616,-0.005336179549020027,0.11595217954902004,7,0.01629928265146601
130.0,134.406669,0.106923,-0.005377251582129303,0.1123002515821293,7,0.013992762973017435
131.0,134.307546,0.1146,-0.00541928667833682,0.1200192866783368,7,0.018940297123932796
132.0,134.206949,0.129673,-0.0054619468538075686,0.13513494685380759,7,0.029024318846033074
133.0,134.107769,0.137664,-0.005504006122008305,0.1431680061220083,7,0.03452871097534698
134.0,134.013261,0.122236,-0.00554408413490521,0.12778008413490521,7,0.0329191334861079
135.0,133.919934,0.100861,-0.005583661321065414,0.10644466132106542,7,0.036539845846366
136.0,133.825788,0.08357,-0.0056235858206018854,0.08919358582060188,7,0.04236564531832479
137.0,133.7288195,0.08044499999999999,-0.005664707257872735,0.08610970725787273,8,0.05520772307968204
138.0,133.631047,0.081364,-0.005706169647468985,0.087070169647469,7,0.016479218961207732
139.0,133.5307805,0.094844,-0.005748689667786078,0.10059268966778608,6,0.021428012317213807
140.0,133.430389,0.10897,-0.005791262696860221,0.11476126269686021,7,0.0366314819767031
141.0,133.333605,0.104939,-0.005832305893205651,0.11077130589320566,7,0.02770311629195738
142.0,133.237909,0.095415,-0.0058728877013296404,0.10128788770132964,7,0.02463427395394667
143.0,133.141463,0.089668,-0.005913787561995988,0.09558178756199598,7,0.02813280622334003
144.0,133.044299,0.087538,-0.005954991904962875,0.09349299190496288,7,0.02937087048906985
145.0,132.945438,0.09399,-0.005996915894815595,0.09998691589481559,7,0.02132241491504946
146.0,132.847857,0.093979,-0.006038297074996028,0.10001729707499601,7,0.01886816631007799
147.0,132.749254,0.099141,-0.0060801116547741785,0.10522111165477419,7,0.022853386779331297
148.0,132.652256,0.096185,-0.006121245602111698,0.10230624560211171,7,0.02741263008090214
149.0,132.55805850000002,0.0790315,-0.0061611919412560626,0.08519269194125606,8,0.061021848269405
150.0,132.4631565,0.065427,-0.006201437037755227,0.07162843703775523,8,0.06191068614140857
151.0,132.365336,0.066624,-0.006242919782714178,0.07286691978271417,7,0.03394844275690783
152.0,132.2655985,0.077564,-0.006285215469971399,0.0838492154699714,8,0.06310832522621039
153.0,132.163328,0.101399,-0.006328585326681652,0.10772758532668165,7,0.023737088447246032
154.0,132.065685,0.101731,-0.0063699927992055955,0.1081009927992056,7,0.02131794910174902
155.0,131.96617650000002,0.1115585,-0.006412191374419875,0.11797069137441987,8,0.039902520137920394
156.0,131.868987,0.109593,-0.0064534065311732045,0.11604640653117321,8,0.03696544156539997
157.0,131.772622,0.103424,-0.006494272042164975,0.10991827204216498,9,0.06751792668802857
158.0,131.6758255,0.0994485,-0.006535320539386116,0.10598382053938611,8,0.032171910376411546
159.0,131.577421,0.10367950000000001,-0.0065770509412580586,0.11025655094125807,8,0.03046485921751252
160.0,131.47857399999998,0.1101815,-0.0066189689941299965,0.11680046899412999,8,0.02222016929985651
161.0,131.3799975,0.115311,-0.00666077233605164,0.12197177233605164,8,0.01889617400994936
162.0,131.283144,0.111636,-0.006701845005265994,0.11833784500526599,8,0.02618392148103488
163.0,131.188439,0.096959,-0.006742006559964028,0.10370100655996403,9,0.04878569410470428
164.0,131.092921,0.08643,-0.006782512883617968,0.09321251288361798,9,0.04831183777151425
165.0,130.9955915,0.085174,-0.006823787410179201,0.0919977874101792,8,0.022030947288092587
166.0,130.898871,0.080798,-0.0068648036780760355,0.08766280367807602,7,0.005736101463537759
167.0,130.800575,0.084506,-0.006906488068346851,0.09141248806834684,7,0.008492263414706465
168.0,130.7016285,0.091565,-0.006948448316189404,0.0985134483161894,8,0.02798709727586217
169.0,130.60602,0.081474,-0.006988993018183454,0.08846299301818346,9,0.05881961505975518
170.0,130.5077405,0.08511350000000001,-0.0070306704112983315,0.09214417041129834,10,0.08184912130825434
171.0,130.411681,0.07733000000000001,-0.00707140636888786,0.08440140636888788,10,0.06250945226266007
172.0,130.3164065,0.06549250000000001,-0.0071118094314830405,0.07260430943148305,10,0.04982918962359758
173.0,130.2221925,0.048174999999999996,-0.007151762767783343,0.05532676276778334,10,0.05312631941117112
174.0,130.122483,0.059192,-0.007194046581078986,0.066386046581079,7,0.010742143554377645
175.0,130.022108,0.07366500000000001,-0.007236612612997191,0.08090161261299719,8,0.026853198763634952
176.0,129.923477,0.079149,-0.007278439066736933,0.08642743906673693,9,0.04466742106421388
177.0,129.822751,0.095476,-0.00732115394724496,0.10279715394724497,9,0.026267910388807946
178.0,129.723837,0.102454,-0.007363100412810679,0.10981710041281068,9,0.026394628573400646
179.0,129.6253335,0.107318,-0.0074048727976182074,0.1147228727976182,10,0.027598757064605482
180.0,129.528417,0.103968,-0.007445972183246129,0.11141397218324614,10,0.03281504997609075
181.0,129.4323785,0.0960615,-0.0074866992353644565,0.10354819923536446,10,0.03950447778965485
182.0,129.33658150000002,0.08689350000000001,-0.007527323874564139,0.09442082387456416,10,0.0390416425235073
183.0,129.2391485,0.0862125,-0.007568642292376228,0.09378114229237622,10,0.03495172126805775
