row_type,dataset,omitted_frame_id,remaining_frame_count,status,global_reprojection_rmse_px,fx,delta_fx,delta_fx_pct,fy,delta_fy,delta_fy_pct,cx,delta_cx,delta_cx_pct,cy,delta_cy,delta_cy_pct,k1,delta_k1,delta_k1_pct,k2,delta_k2,delta_k2_pct,p1,delta_p1,delta_p1_pct,p2,delta_p2,delta_p2_pct,k3,delta_k3,delta_k3_pct,candidate_global_p95_abs_delta_lambda_mm,candidate_frame_p95_median_mm,candidate_frame_p95_p90_mm,candidate_frame_p95_p95_mm,candidate_frame_p95_max_mm,candidate_frame_count
loo,M1-core,026,21,ok,0.12631778776309502,7347.570819343338,-0.294295096676251,-0.004005178267329685,7348.55843661005,-0.28271003382451454,-0.0038470015636904156,2072.9978739024905,2.781343754653335,0.13435037901348007,1510.8560455863533,-1.580408518660306,-0.1044942096159349,-0.0487150352675932,0.00042212988382036437,-0.8590847325432664,0.21884144699906652,-0.008434525023754691,-3.7111380269040337,-0.0006209894165172604,-0.0001078351902149688,21.014187292583006,-0.0003743326394880394,0.00010404526005657744,-21.749595906420726,0.0,0.0,nan,0.04939605002345502,0.0422518237865745,0.05433224459421638,0.058729288885861854,0.06299708922687727,30
loo,M1-core,027,21,ok,0.12593857310138235,7349.392792239428,1.5276777994131407,0.020790770865008808,7350.349316768511,1.5081701246363082,0.02052255715617245,2072.058535673082,1.8420055252449856,0.088976466877764,1511.3832429093115,-1.0532111957020334,-0.06963672376736467,-0.049172834866151274,-3.566971473770858e-05,0.07259212986299525,0.22145840118862084,-0.00581757083420037,-2.559694622542948,-0.0005659417944028383,-5.2787568100546634e-05,10.286881680956915,-0.0004051813096356591,7.319658990895776e-05,-15.300997386926932,0.0,0.0,nan,0.15581014989328992,0.1475351467871974,0.15896628064491383,0.15967409357299772,0.16540498788259583,30
loo,M1-core,028,21,ok,0.12484997985321986,7348.3550339636495,0.48991952363485325,0.006667508398760125,7349.300230383322,0.45908373944712366,0.006247022221412169,2070.249423567363,0.032893419525862555,0.0015888878794487061,1509.002728036183,-3.4337260688305378,-0.22703274967426318,-0.048690134941679675,0.000447030209733891,-0.9097598698589777,0.2223727456061531,-0.0049032264166680994,-2.157388822508592,-0.0006674068396201349,-0.00015425261331784325,30.05969851000999,-0.0004743406383715687,4.03726117304817e-06,-0.8439480956146527,0.0,0.0,nan,0.08868261815263737,0.08518284904331494,0.09561076516048157,0.09999496393732243,0.1011434934787644,30
loo,M1-core,035,21,ok,0.1281456545683029,7349.248590103431,1.383475663415993,0.01882826701183162,7350.195761462378,1.3546148185032507,0.018433039869447807,2071.6212208572665,1.4046907094293601,0.06785235693819183,1509.7760665620356,-2.6603875429780146,-0.17590078153414404,-0.04909760503016427,3.956012124929631e-05,-0.080509571782161,0.2269846764381189,-0.0002912955847023113,-0.1281682274239979,-0.0006385207914520078,-0.00012536656514971622,24.430582215621197,-0.0004224748510794493,5.590304846516753e-05,-11.685959681327969,0.0,0.0,nan,0.16073727144117808,0.1554529865477775,0.16761482164947894,0.17145884612439347,0.1758513501476159,30
loo,M1-full,026,25,ok,0.12606139528691193,7348.123636021492,0.2585215814769981,0.0035183223623546363,7349.14766231016,0.3065156662851223,0.0041709387938682575,2072.1493242485,1.9327941006627043,0.09336192965885944,1510.8123314817542,-1.6241226232593817,-0.10738451978271435,-0.04885661731664655,0.00028054783476701844,-0.5709483522350652,0.2181557510749789,-0.009120220947842317,-4.012839926134619,-0.000614179692499024,-0.0001010254661967324,19.68715466395083,-0.0004193257310837144,5.905216846090243e-05,-12.344250960823246,0.0,0.0,nan,0.053569772534547144,0.04961064081373934,0.057757384612119725,0.06264878653401666,0.06475924589208262,30
loo,M1-full,027,25,ok,0.1256280713331728,7349.957261455044,2.0921470150296955,0.02847285548176723,7350.946538994703,2.1053923508279695,0.028649310943256356,2071.4272651793904,1.210735031553213,0.05848349744684691,1511.3413800332953,-1.0950740717182725,-0.07240463351343142,-0.049233950291036874,-9.678513962330798e-05,0.19696931909903576,0.21971414464506195,-0.0075618273777592615,-3.327156544731426,-0.000563936958229718,-5.078273192742641e-05,9.896192864542646,-0.00044546629929825534,3.291160024636151e-05,-6.8798329265819165,0.0,0.0,nan,0.21221370526257033,0.1996376288957009,0.2146548482427977,0.21598508754388746,0.2194358687980298,30
loo,M1-full,028,25,ok,0.12476198616804142,7348.866194538434,1.001080098419152,0.013624094656444232,7349.850231454564,1.0090848106892736,0.013731210003771957,2069.9588357693065,-0.25769437853068666,-0.012447701715157512,1509.2258371196228,-3.210616985390743,-0.21228111612071862,-0.048867593703628254,0.000269571447785312,-0.548610093713469,0.22159652799619572,-0.005679444026625485,-2.4989196948875887,-0.0006563645822334234,-0.00014321035593113174,27.907858610672072,-0.0005001830006387941,-2.180510109417726e-05,4.558133039785957,0.0,0.0,nan,0.13289685211125857,0.12890974593702537,0.13918222367132843,0.1464998143333878,0.14702272493150303,30
loo,M1-full,035,25,ok,0.12755015216256327,7349.662415100533,1.7973006605179762,0.024460174928713965,7350.643881888748,1.8027352448734746,0.024530877847274757,2071.0461367467287,0.829606598891587,0.04007342163538534,1509.9138707984534,-2.5225833065601364,-0.16678937483379286,-0.04922133714534448,-8.417199393091768e-05,0.17130006110760795,0.22563372964782988,-0.0016422423749913317,-0.7225763288458981,-0.0006299970539550157,-0.00011684282765272406,22.769534316159692,-0.0004587932930532871,1.9584606491329767e-05,-4.093961387006586,0.0,0.0,nan,0.19843287245832356,0.1903993900996056,0.20323043212514622,0.20992194694279787,0.21251292104926733,30
loo,M1-full,031,25,ok,0.12819400478871001,7349.356633527511,1.4915190874962718,0.020298672665685445,7350.345724164419,1.5045775205444443,0.020473670481114786,2071.5867296867305,1.3701995388933028,0.06618629109272231,1509.5531405146426,-2.883313590371017,-0.19064031302242196,-0.04902052972972974,0.00011663542168382363,-0.23736701399931756,0.2215653062787642,-0.005710665744057014,-2.512657054430547,-0.000655920633588378,-0.00014276640728608638,27.82134492291695,-0.0004371081090056442,4.1269790538972636e-05,-8.627026996493496,0.0,0.0,nan,0.1773683803925735,0.16941419965488647,0.18284458400245457,0.1909529832075566,0.19398867721170063,30
loo,M1-full,033,25,ok,0.1279365860086638,7349.440760348118,1.5756459081030698,0.02144358781173885,7350.435481605815,1.5943349619401488,0.021695052731793802,2072.11640612449,1.8998759766527655,0.09177184845090057,1510.0961670154813,-2.3402870895322394,-0.1547362259869032,-0.04899057990111412,0.00014658525029944552,-0.29831849242370995,0.22086899740000476,-0.006406974622816447,-2.819028587048837,-0.0006388376339816395,-0.00012568340767934788,24.492326329455118,-0.00040962423361218795,6.87536659324289e-05,-14.372249637342716,0.0,0.0,nan,0.18142738656296728,0.17137404469523573,0.18634169102408749,0.19356332987872177,0.1979399949875301,30
