scan_px,center_median_px,center_sigma_px,z_median_mm,z_sigma_mm,valid_fraction,z_valid_fraction,stable
95,nan,0.0,nan,0.0,0.0,0.0,False
96,2165.858273267746,0.01730148724056346,nan,0.0,0.56,0.0,False
97,nan,0.0,nan,0.0,0.0,0.0,False
98,nan,0.0,nan,0.0,0.0,0.0,False
99,nan,0.0,nan,0.0,0.0,0.0,False
100,nan,0.0,nan,0.0,0.0,0.0,False
101,nan,0.0,nan,0.0,0.0,0.0,False
102,nan,0.0,nan,0.0,0.0,0.0,False
103,2165.8111813887954,0.02153704650279989,nan,0.0,0.72,0.0,False
104,nan,0.0,nan,0.0,0.0,0.0,False
105,nan,0.0,nan,0.0,0.0,0.0,False
106,2165.660127609968,0.0,nan,0.0,0.02,0.0,False
107,nan,0.0,nan,0.0,0.0,0.0,False
108,nan,0.0,nan,0.0,0.0,0.0,False
109,nan,0.0,nan,0.0,0.0,0.0,False
110,2165.537067234516,0.021749026141952545,nan,0.0,0.98,0.0,False
111,2165.540729433298,0.023867218385693795,nan,0.0,0.76,0.0,False
112,nan,0.0,nan,0.0,0.0,0.0,False
113,nan,0.0,nan,0.0,0.0,0.0,False
114,2165.6586748212576,0.02256022826186347,nan,0.0,0.48,0.0,False
115,nan,0.0,nan,0.0,0.0,0.0,False
116,nan,0.0,nan,0.0,0.0,0.0,False
117,nan,0.0,nan,0.0,0.0,0.0,False
118,nan,0.0,nan,0.0,0.0,0.0,False
119,nan,0.0,nan,0.0,0.0,0.0,False
120,nan,0.0,nan,0.0,0.0,0.0,False
121,2165.353496581316,0.021109204672430614,nan,0.0,0.54,0.0,False
122,nan,0.0,nan,0.0,0.0,0.0,False
123,2165.4237191975117,0.020837667498480882,nan,0.0,0.68,0.0,False
124,2165.4498084634542,0.022095964712589043,nan,0.0,0.96,0.0,False
125,nan,0.0,nan,0.0,0.0,0.0,False
126,nan,0.0,nan,0.0,0.0,0.0,False
127,nan,0.0,nan,0.0,0.0,0.0,False
128,2165.230476513505,0.0191823942925157,nan,0.0,0.44,0.0,False
129,nan,0.0,nan,0.0,0.0,0.0,False
130,nan,0.0,nan,0.0,0.0,0.0,False
131,2165.2143429219723,0.02195462039215505,nan,0.0,0.94,0.0,False
132,nan,0.0,nan,0.0,0.0,0.0,False
133,nan,0.0,nan,0.0,0.0,0.0,False
134,nan,0.0,nan,0.0,0.0,0.0,False
135,2132.9693539105356,0.007288679491473604,0.37547848510524773,0.002292188418573124,1.0,1.0,False
136,2133.0009352958004,0.007568126739377005,0.359899979561078,0.002380168287105114,1.0,1.0,False
137,2133.023714762181,0.0070834504195326125,0.347090280966313,0.0022278127398435844,1.0,1.0,False
138,2133.0105990646407,0.007289575067762791,0.34557081815000856,0.002292638430627552,1.0,1.0,False
139,2132.9389029257,0.007509186780329559,0.3624759918877203,0.0023615826376287897,1.0,1.0,False
140,2132.8472959399223,0.008200631643642271,0.3856426713289238,0.0025788518792527436,1.0,1.0,False
141,2132.764320746064,0.009603648236962883,0.4060944098275172,0.0030198651026107194,1.0,1.0,False
142,2132.7343904078007,0.01032466866610353,0.40986652401369383,0.0032465408609328034,1.0,1.0,False
143,2132.7998080030084,0.009092476660128372,0.3836571071510093,0.0028592819214634502,1.0,1.0,False
144,2132.909674014896,0.007385438258734204,0.34346821337072697,0.002322730863701904,1.0,1.0,False
145,2132.9901770232245,0.00645926149816114,0.3125117637996482,0.0020316182615743045,1.0,1.0,False
146,2132.9844111273997,0.00591227386243973,0.308689141607033,0.0018595878427460975,1.0,1.0,False
147,2132.8933496885,0.00558665403552408,0.3316947241166872,0.001757046174975562,1.0,1.0,False
148,2132.7723336219788,0.0058626975540017855,0.3641198262372427,0.0018436861029108853,1.0,1.0,False
149,2132.657998651266,0.006496230507849354,0.3944418375625105,0.002042734598974179,1.0,1.0,False
150,2132.6161939948797,0.007272721343818664,0.40195627984246585,0.0022868432252104195,1.0,1.0,False
151,2132.689442411065,0.007506448333146248,0.3732932836159648,0.0023605181058179484,1.0,1.0,False
152,2132.7084001004696,0.008319956825022888,0.3617026970840129,0.0026164097647296634,1.0,1.0,False
153,2132.6490874290466,0.009500401175912823,0.3747267030398689,0.0029875032410701164,1.0,1.0,False
154,2132.5376042723656,0.010647910363913719,0.40415565889026084,0.003348054357793277,1.0,1.0,False
155,2132.487235367298,0.010559276463489045,0.414367792629605,0.003320071815575485,1.0,1.0,False
156,2132.4452787339687,0.010173767503620946,0.4219356740717899,0.0031987694576959265,1.0,1.0,False
157,2132.4916259646416,0.01052912433992606,0.40174005931010015,0.003310673664346997,1.0,1.0,False
158,2132.5262489020824,0.010632816356091607,0.38523118609117546,0.0033434175353290875,1.0,1.0,False
159,2132.6248880773783,0.009276379953546469,0.34859181531857075,0.0029171890914120513,1.0,1.0,False
