frame_a,frame_b,normal_angle_diff_deg,translation_difference_mm,tvec_difference_mm,depth_difference_mm,camera_board_distance_difference_mm,v_overlap_100px_jaccard,v_overlap_10px_jaccard,v_interval_overlap_px,v_interval_union_px,v_interval_iou,lambda_interval_overlap_mm,lambda_interval_iou,lambda_span_difference_mm,geometric_distance,geometric_similarity,near_duplicate_strict,near_duplicate_candidate,similarity_rank
011,054,1.2123670080959406,15.893727415477967,15.740296567857632,2.6909907519699345,1.9498391112115314,0.9047619047619048,0.8605769230769231,1781.965508979905,2072.0402812643324,0.8600052446338411,37.925273699040986,0.8841101457418878,2.958253198043735,0.3401039183046996,0.7116963606404084,True,True,1
013,036,0.029159270282779256,40.00840889406175,221.36318668961007,1.776587523110038,0.670755952781974,0.9259259259259259,0.9215686274509803,2426.7603295842327,2540.9713401231197,0.9550522240312427,2.189405175937054,0.9584364626896614,0.09494570298602412,0.3678693847662522,0.6922075886403316,True,True,2
006,013,0.11222417669532435,16.274613324602573,191.59680946561613,9.295754644931662,9.26711132218827,0.7692307692307693,0.7736625514403292,1887.0095400267464,2472.0161313560816,0.763348392468452,0.0,0.0,0.7235448668658364,0.380645912990963,0.6834198368681362,True,True,3
006,036,0.09001867292326074,29.576780642350215,147.35090418231079,7.519167121821624,8.596355369406297,0.7692307692307693,0.756,1887.0095400267464,2495.715538351271,0.7560996079197991,0.0,0.0,0.6285991638798123,0.40751470758067576,0.6653016663481398,True,True,4
029,034,2.157010286040095,22.60396938215325,222.2570280885252,0.23118450048775685,0.06909969930291027,0.8333333333333334,0.8391608391608392,2395.9818685251234,2852.998080095556,0.8398119456304978,1.0226950327213444,0.15729999361227312,5.4788629726920135,0.583532301889084,0.5579241253681858,True,True,5
030,033,3.2829412471688526,26.62344043683536,219.41949709328463,1.5908218515824046,1.6808684658908533,0.7666666666666667,0.7576923076923077,2248.0019545295754,2892.9916112135866,0.7770509758189574,7.513226813985625,0.9088671166998008,0.7533576799797856,0.4396267666131057,0.6442768418416015,False,True,6
003,026,3.0366539453212824,20.7073406772444,236.32522889000336,8.213340574337735,8.322058849830228,0.9310344827586207,0.6428571428571429,2536.0255407838936,2849.98699463111,0.889837583666639,71.60870539041605,0.7983236563394196,3.5623637231116163,0.5228438137120667,0.5928322440325302,False,True,7
008,012,2.128752940791542,41.38033719562776,252.60999427832073,0.09938233185846457,0.26163023387277917,0.6666666666666666,0.6356589147286822,1638.6490010824373,2567.9996055273355,0.6381032915875168,7.919146619528533,0.6053144104526677,2.880400411895721,0.5731584578014717,0.5637420682983777,False,True,8
007,018,2.13457871569345,30.623062947605455,150.6529565703559,2.1732605418052344,0.3424364500237971,0.7307692307692307,0.749003984063745,1875.0195864406126,2492.9936334677896,0.7521156738103794,1.2774096318858028,0.17459658468694628,5.629659281954673,0.6536085377376413,0.5201653497112886,False,True,9
032,050,2.885633340463031,32.352046459630344,169.51386015759948,8.230724228235886,7.414112288233241,0.7407407407407407,0.7358490566037735,1946.9657450517109,2638.0034322523716,0.7380451902556316,0.0,0.0,4.522939089293573,0.6542118653922951,0.51985161422298,False,True,10
008,009,4.9484118243730935,48.03349596439616,205.02480144074113,1.312396268789712,0.5234284371715603,0.7307692307692307,0.6935483870967742,1730.9458743314963,2475.6455849677486,0.6991896921117835,6.712204791905151,0.6387210764576404,0.9004211036307197,0.6681892055362406,0.5126360162930924,False,True,11
002,049,3.805453726788851,29.75596833496722,227.85834641927954,17.035955215798822,17.571482242615048,0.8636363636363636,0.5052083333333334,1862.0051316469094,2105.011466220838,0.8845581895996976,0.0,0.0,0.7954629863550053,0.6816157606478269,0.5057990815178276,False,False,12
008,036,2.238331293709892,10.257633348328582,226.62786537638303,5.241778516798945,5.671740927655151,0.8214285714285714,0.8295454545454546,2188.4022875601245,2641.95551456133,0.8283266979699644,1.375407442873211,0.1392857064707396,6.871317747724561,0.6900377745010507,0.5015571226381558,False,True,13
001,016,6.838995247811044,22.67974936119345,171.56454231611576,3.633276202385673,3.415313016591199,0.7692307692307693,0.6086956521739131,1835.978552147978,2517.9383781879014,0.7291594457006874,71.48692321092665,0.9020059881374345,1.565022404162164,0.6994686510134873,0.4968492340026116,False,False,14
030,053,1.062533830489295,32.89018008843303,200.35599573307192,17.92918630550173,16.8243845860859,0.8076923076923077,0.5634920634920635,1972.9968626861894,2553.990148989363,0.7725154552639609,0.0,0.0,3.1776666453482676,0.7011973198006256,0.49599108817852766,False,False,15
014,036,0.03930442881776186,62.91098239780364,214.16754389703485,0.6275119277918293,2.6967269708609365,0.5333333333333333,0.5174825174825175,1480.6856261242597,2868.956588224206,0.5161059711401063,1.2689000807655475,0.502678550150017,0.5856329165509351,0.7028169488516485,0.4951884167934759,False,False,16
009,014,3.0682327919816212,21.6520376382945,264.0524625033745,5.926662857796828,7.845039461344527,0.9047619047619048,0.8928571428571429,1767.928923531884,1957.946947994372,0.9029503712257713,0.0,0.0,6.556529560644776,0.7037049603316706,0.4947488789807848,False,True,17
