roi_id,height_mm,u,valid_fraction,formal_column_valid,sigma_pixel_px,sensitivity_px_per_mm,sigma_z_pred_mm,repeatability_valid
h001,1.0,1849,1.0,true,0.012168047203422416,1.1944509758776576,0.010187146604724895,true
h001,1.0,1850,1.0,true,0.012410055324398227,1.3965885135440885,0.008885978370898622,true
h001,1.0,1851,1.0,true,0.013905847655770057,1.557072879072166,0.008930762228712327,true
h001,1.0,1852,1.0,true,0.016124315171070394,1.617314424539245,0.00996980854583303,true
h001,1.0,1853,1.0,true,0.016800633788819276,1.5608412656631003,0.010763832401420894,true
h001,1.0,1854,1.0,true,0.016409960904644128,1.4848410117867843,0.011051661945205293,true
h001,1.0,1855,1.0,true,0.016086324152828603,1.4474469976945556,0.011113584247610001,true
h001,1.0,1856,1.0,true,0.015010013545688695,1.4902834350236276,0.010071918665224056,true
h001,1.0,1857,1.0,true,0.014761454810636468,1.5655275884330422,0.00942906079694923,true
h001,1.0,1858,1.0,true,0.016357554079939628,1.5790602080110148,0.010359043940790335,true
h001,1.0,1859,1.0,true,0.01854937780787853,1.5533717438699455,0.011941364249143674,true
h001,1.0,1860,1.0,true,0.020012847432067975,1.5561503490663426,0.012860484492436904,true
h001,1.0,1861,1.0,true,0.019013373740264898,1.5892052340479381,0.011964076969363519,true
h001,1.0,1862,1.0,true,0.015925063597597176,1.603041864946647,0.009934278040908932,true
h001,1.0,1863,1.0,true,0.013535830405442966,1.5627268543916557,0.008661673898675176,true
h001,1.0,1864,1.0,true,0.013248604487521352,1.5203083350691031,0.008714419425266887,true
h001,1.0,1865,1.0,true,0.014674528765072971,1.5880290661158938,0.009240717993257454,true
h001,1.0,1866,1.0,true,0.012971804010541956,1.7198891041844035,0.007542232798022972,true
h001,1.0,1867,1.0,true,0.01662310025125668,1.7806541240130969,0.009335389746433663,true
h001,1.0,1868,1.0,true,0.017041879341305764,1.7651026999773762,0.009654893928565287,true
h001,1.0,1869,1.0,true,0.015013735458850359,1.7062224126436263,0.00879940114934256,true
h001,1.0,1870,1.0,true,0.018136484687891443,1.6320769326747495,0.011112518242732737,true
h001,1.0,1871,1.0,true,0.015651521598648972,1.5818883970734419,0.009894200897866705,true
h001,1.0,1872,1.0,true,0.014282666261260733,1.5985579948373925,0.008934718857487298,true
h001,1.0,1873,1.0,true,0.016231181575347222,1.6459611397701792,0.009861217973599021,true
h001,1.0,1874,1.0,true,0.017544811135754325,1.6617426273177784,0.01055807972145087,true
h001,1.0,1875,1.0,true,0.016239344544152778,1.643972877177248,0.009878109772733132,true
h001,1.0,1876,1.0,true,0.01605755205445257,1.6386427298120907,0.009799300214936999,true
h001,1.0,1877,1.0,true,0.014136944273051235,1.6308403109559322,0.008668503088916616,true
h001,1.0,1878,1.0,true,0.01644358329579907,1.6232772304773562,0.01012986752174397,true
h001,1.0,1879,1.0,true,0.01706051178684454,1.6123831710168588,0.010580928958769293,true
h001,1.0,1880,1.0,true,0.018178887042889794,1.588749584962784,0.011442260765919022,true
h001,1.0,1881,1.0,true,0.017467133056256693,1.5790024789464496,0.011062131497039324,true
h001,1.0,1882,1.0,true,0.01541534818945299,1.6048942113134785,0.009605211409440347,true
h001,1.0,1883,1.0,true,0.01431320027856791,1.6672885436361184,0.008584716984471604,true
h001,1.0,1884,1.0,true,0.014342235223458375,1.755498557683893,0.00816989291200599,true
h010,10.0,1912,1.0,true,0.017452159809163068,1.5533290854452049,0.011235326739640008,true
h010,10.0,1913,1.0,true,0.0192262911811592,1.5626057410031706,0.012303993692494816,true
h010,10.0,1914,1.0,true,0.021189257812959272,1.5586357408147251,0.013594746519724546,true
h010,10.0,1915,1.0,true,0.023677207727677962,1.548321387767737,0.015292178946009476,true
h010,10.0,1916,1.0,true,0.020862020350928025,1.5432681786530509,0.013518078477543799,true
h010,10.0,1917,1.0,true,0.02876197112911739,1.5441005750289492,0.018627006293665913,true
h010,10.0,1918,1.0,true,0.032204202936767165,1.541078915764956,0.02089717963650274,true
h010,10.0,1919,1.0,true,0.03130727633061066,1.5348349297156858,0.020397813292149954,true
h010,10.0,1920,1.0,true,0.025244016459448418,1.530841297893727,0.01649028968200784,true
