row_type,scope,weighting,model,region,count,bias,mae,rmse,p95,max_abs,frame_count,invalid_count,v_start_px,v_end_px,v_center_px
v_bin_summary,main_fit_29,frame_equal,Circular,top_formal_edge,1,-0.0673111995531599,0.0673111995531599,0.0673111995531599,0.0673111995531599,0.0673111995531599,1,,180,240,210.0
v_bin_summary,main_fit_29,frame_equal,Circular,top_formal_edge,93,-0.18561082087831512,0.18626122704653036,0.22951616717606854,0.4835224821644033,0.5489499161183176,8,,240,300,270.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,224,-0.15949561935575945,0.16127148158616883,0.18243281949683798,0.3343947953546831,0.4595969392768211,9,,300,360,330.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,310,-0.1130945054964842,0.11643426577384657,0.13482460132789603,0.2505520536183212,0.36892487304976385,14,,360,420,390.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,416,-0.06325369715525091,0.07942658860008808,0.09746588750393166,0.1615411519327381,0.4041854540504346,16,,420,480,450.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,535,-0.03434400726599227,0.05599362174688016,0.06868455155437614,0.12385950098143894,0.2807111427445079,18,,480,540,510.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,643,0.0010851359302746521,0.04499430479653823,0.05760218177792408,0.10709976841997104,0.4640894121916972,22,,540,600,570.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,748,0.036426504349161185,0.0542061190816622,0.07160102785661525,0.13931156932551403,0.31373948595398815,24,,600,660,630.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,754,0.06933957279981577,0.07575090700984445,0.09277441862916244,0.17170318318255795,0.3558094103593703,25,,660,720,690.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,613,0.1002657408448634,0.10355048694769473,0.1222916769055902,0.22477635965356058,0.36578776789531275,25,,720,780,750.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,653,0.08489679981253592,0.09119418747458216,0.10633760111741,0.20009121624593718,0.2646596234341132,25,,780,840,810.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,704,0.07524614314367822,0.08356037071499382,0.09889531958759178,0.18666331816973525,0.25154373557006693,26,,840,900,870.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,778,0.053673165128015746,0.06434631677227598,0.07755084901052928,0.14263975434846543,0.21277699643587766,26,,900,960,930.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,754,0.029128238803227638,0.05389823585489595,0.06956242541756003,0.14800332575839548,0.24175775766502738,26,,960,1020,990.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,746,2.168211637341294e-05,0.04424466033524928,0.056360541287703486,0.10977843272098653,0.20540986980108755,26,,1020,1080,1050.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,762,-0.00495372569683848,0.05058775598074648,0.07030108861776599,0.1466084787090267,0.35891891374046736,28,,1080,1140,1110.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,774,-0.047327258412956395,0.06195232883253268,0.08574311026272205,0.1372079441268852,0.5740926697903888,29,,1140,1200,1170.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,884,-0.06456893657314647,0.07110637013003437,0.08432350478847196,0.1604961850816835,0.2025520006318402,29,,1200,1260,1230.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,953,-0.06115352562956115,0.06785388710024987,0.0813638006804564,0.15184537126901887,0.22652687340496414,29,,1260,1320,1290.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,901,-0.05049703814389547,0.0667119916066557,0.08064079834944664,0.147930190270813,0.24750134697626436,29,,1320,1380,1350.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,904,-0.028192643719015063,0.04753172665965999,0.05906320641586351,0.11367437052808782,0.18650622149220908,29,,1380,1440,1410.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,855,-0.03888215551700556,0.05538806274248049,0.0668265870937595,0.12558502478793798,0.19337694208991252,29,,1440,1500,1470.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,910,-0.013034788947952512,0.04172020680716573,0.052148361221894354,0.10081723061227876,0.2635406120062953,29,,1500,1560,1530.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,938,0.011740149062455333,0.049299677287346584,0.0658387052761318,0.1266612894910395,0.29592763022731106,29,,1560,1620,1590.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,920,0.03825956143110221,0.05754489435147326,0.07218725820821043,0.13951774800705152,0.22735937104118875,29,,1620,1680,1650.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,915,0.053048004467832255,0.06493000613143454,0.08011349131408865,0.14808528070091143,0.4063730030223951,29,,1680,1740,1710.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,770,0.022101328930212563,0.05067448622665985,0.06241861793545943,0.11964759541865533,0.17937204722261413,27,,1740,1800,1770.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,695,0.009894293080752197,0.05045476027353617,0.06278382745831382,0.11799314480720113,0.21005796681629363,26,,1800,1860,1830.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,622,-0.0037982886409031304,0.041611596143273644,0.052672559604084346,0.10220011234650883,0.1766260609267647,23,,1860,1920,1890.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,593,-0.002289705545303295,0.03889976083403268,0.05191923709144205,0.10991816927321452,0.1808151938237188,21,,1920,1980,1950.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,664,-0.010605241297766597,0.042218486408138,0.05591198388927852,0.11174253320689331,0.2170974155304748,21,,1980,2040,2010.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,624,0.005138269289207752,0.04244668154268604,0.055676594302604535,0.10452667419724548,0.27320977220915665,21,,2040,2100,2070.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,566,0.005424906792759681,0.05203477339956279,0.06685360816727887,0.12113058354930217,0.24955687441365626,21,,2100,2160,2130.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,464,0.003989901821463053,0.04455884932456183,0.0584898742287207,0.1036067409121415,0.28500728087647076,21,,2160,2220,2190.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,451,0.0027865542779845695,0.049531957424632594,0.06474644954784353,0.12774815248712912,0.31697914725555165,20,,2220,2280,2250.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,500,-0.001604153555961105,0.043454209321492854,0.05377628978331557,0.10837205515701953,0.17060386068396838,21,,2280,2340,2310.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,454,-0.015664213832022687,0.04412993288184432,0.05464439788539545,0.12969960766361055,0.13111601694140518,19,,2340,2400,2370.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,532,-0.02271356966769942,0.050226403690898654,0.06869721304127972,0.19038165153210684,0.20095491564961776,16,,2400,2460,2430.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,489,-0.02316278069276311,0.05220999478572761,0.06708359154811702,0.13335689203040602,0.20054270386731332,16,,2460,2520,2490.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,346,-0.013317731447742492,0.041926404310369356,0.05152513486781471,0.10527401734168507,0.14475150581370144,13,,2520,2580,2550.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,221,-0.0007122078882275187,0.03824221392141604,0.050452131544059926,0.09605361903800258,0.15843529428832426,12,,2580,2640,2610.0
v_bin_summary,main_fit_29,frame_equal,Circular,middle_formal,167,0.022360717865372443,0.0457830855188318,0.058494018429115315,0.13770561688352245,0.1686881715652362,10,,2640,2700,2670.0
v_bin_summary,main_fit_29,frame_equal,Circular,bottom_formal_edge,86,0.06397699867475601,0.06623722216643022,0.07464167149020959,0.12868998938768073,0.16117500803579787,7,,2700,2760,2730.0
v_bin_summary,main_fit_29,frame_equal,Circular,bottom_formal_edge,38,0.08774278122469058,0.08774278122469058,0.08958033139154783,0.10680776899130251,0.11303617447265424,2,,2760,2820,2790.0
v_bin_summary,main_fit_29,frame_equal,Circular,bottom_formal_edge,32,0.09904066200746797,0.09904066200746797,0.09964382636333868,0.12362015455528308,0.12439899301125479,1,,2820,2880,2850.0
v_bin_summary,main_fit_29,frame_equal,Circular,bottom_formal_edge,0,nan,nan,nan,nan,nan,0,,2880,2940,2910.0
v_bin_summary,main_fit_29,frame_equal,Circular,bottom_formal_edge,0,nan,nan,nan,nan,nan,0,,2940,3000,2970.0
v_bin_summary,main_fit_29,frame_equal,Elliptical,top_formal_edge,0,nan,nan,nan,nan,nan,0,,0,60,30.0
