row_type,frame_id,model,train_frame_count,fit_success,fit_status,fit_nfev,fit_robust_cost,fit_raw_mse,fit_invalid_count,parameter_normalized_delta_l2,heldout_bias_mm,heldout_rmse_mm,heldout_p95_mm,heldout_invalid_count,grid_global_bias_delta_mm,grid_global_p95_abs_delta_mm,grid_global_max_abs_delta_mm,grid_top_formal_edge_bias_delta_mm,grid_top_formal_edge_p95_abs_delta_mm,grid_top_formal_edge_max_abs_delta_mm,grid_middle_formal_bias_delta_mm,grid_middle_formal_p95_abs_delta_mm,grid_middle_formal_max_abs_delta_mm,grid_bottom_formal_edge_bias_delta_mm,grid_bottom_formal_edge_p95_abs_delta_mm,grid_bottom_formal_edge_max_abs_delta_mm,parameter_theta_axis,delta_parameter_theta_axis,normalized_delta_parameter_theta_axis,parameter_phi_axis,delta_parameter_phi_axis,normalized_delta_parameter_phi_axis,parameter_c1,delta_parameter_c1,normalized_delta_parameter_c1,parameter_c2,delta_parameter_c2,normalized_delta_parameter_c2,parameter_s_ref,delta_parameter_s_ref,normalized_delta_parameter_s_ref,parameter_log_q,delta_parameter_log_q,normalized_delta_parameter_log_q,parameter_S00,delta_parameter_S00,normalized_delta_parameter_S00,parameter_S01,delta_parameter_S01,normalized_delta_parameter_S01,parameter_S11,delta_parameter_S11,normalized_delta_parameter_S11
jackknife_holdout,001,Circular,28,True,2,458,6.499938627104217,0.005843161435756553,0,22.42214721570966,-0.013061693785365001,0.08210675267486381,0.14451031031103412,0,0.00041475900191460097,0.0199362969650565,0.04122359947530185,0.006670551748815402,0.028851523527691825,0.0326967697138798,1.921507767789195e-05,0.017637255195950274,0.037539552596058456,0.01001717824492544,0.03818313916610805,0.04122359947530185,1.8428488286852573,-0.009408605566837869,-0.5390733900831014,0.008508833771793034,-0.0006590870395665731,-0.03776290569893654,-661.5663202559377,-219.9870116054148,-21.99870116054148,-42.433671487633234,-14.705145328993805,-1.4705145328993805,19.31835384588,10.553954803145732,1.0553954803145733,-3.5391296164578936,0.3904040758479379,3.904040758479379,,,,,,,,,
jackknife_holdout,001,Elliptical,28,True,3,31,6.038602257859591,0.005320438872994309,0,0.12459759534107095,-0.0153482438203736,0.07017829887341935,0.13215557505748166,0,-0.00042116917097429136,0.003403560855872456,0.0043133103088166536,0.0011976709638151363,0.0013836320418931791,0.0014402822033616758,-0.0005661972804906696,0.003255704032767426,0.003983148255656488,0.004111919883627718,0.004296789723753136,0.0043133103088166536,1.87103644778765,1.7087105590452012e-06,9.790190344272948e-05,0.009982369370076374,8.948749388606667e-06,0.0005127255718874378,-344.90140245155084,-1.166646906918686,-0.1166646906918686,-23.434520146836658,-0.2607593329698936,-0.026075933296989363,0.37794152728627184,5.8192262491263413e-05,5.819226249126342e-06,,,,-14.082884009301017,0.00024533149494487816,0.0012266574747243908,-0.12581544140512285,-0.0030173853814378093,-0.015086926907189047,-10.943276913359384,-0.006338971067981092,-0.03169485533990546
jackknife_holdout,002,Circular,28,True,3,147,6.573820642829212,0.005928391374315128,0,7.089067782778129,-0.0496242688630972,0.06883819019213747,0.09429919342505855,0,-0.002890254175708592,0.010221542737326672,0.01764573699824723,0.0024695817578180425,0.015741267229941514,0.01764573699824723,-0.002958742634910479,0.009945742888248787,0.015828618255000038,-0.007642562034307991,0.011688125774298896,0.012438911256481333,1.849177932313281,-0.003079501938814122,-0.17644246409640346,0.009143131266069015,-2.478954529059295e-05,-0.0014203363211993819,-510.9102658838209,-69.33095723329797,-6.933095723329797,-27.938930392953676,-0.2104042343142467,-0.02104042343142467,11.680360684756351,2.915961642022083,0.2915961642022083,-3.785642735776882,0.14389095652894968,1.4389095652894968,,,,,,,,,
jackknife_holdout,002,Elliptical,28,True,3,23,6.046995747700524,0.005321203282799346,0,0.0010266305351837098,-0.04802233485515056,0.07073615621918185,0.10491596549854876,0,-0.002898658911641036,0.007179556920505092,0.008141718628849048,0.0014978839231406067,0.003663565430770177,0.004013553183085605,-0.002940927286072219,0.007033965285359045,0.007982808012684472,-0.007464591191116718,0.00806225729468224,0.008141718628849048,1.871025585371483,-9.153705607944929e-06,-0.0005244686982404779,0.009960325420125234,-1.3095200562533021e-05,-0.0007502997241104835,-343.73370556845066,0.0010499761814912745,0.00010499761814912745,-23.16983918726654,0.003921626600224215,0.0003921626600224215,0.37714414511686534,-0.0007391899069152386,-7.391899069152386e-05,,,,-14.0831315610484,-2.2202524387893163e-06,-1.1101262193946582e-05,-0.12280814276554573,-1.0086741860690362e-05,-5.043370930345181e-05,-10.936896466371467,4.147591993586275e-05,0.00020737959967931374
jackknife_holdout,003,Circular,28,True,2,315,6.418477605424735,0.005765451088757634,0,16.665032867593528,-0.06642964455347915,0.09040302482621794,0.13897546171733666,0,-0.003013146504388926,0.016081985315850034,0.028045654004131393,0.005161174277409227,0.024610969995592313,0.028045654004131393,-0.0033100239052363417,0.015698280742299175,0.0242240315806157,-0.0010245124364102107,0.01505476466240907,0.017108956889501314,1.8451857328532857,-0.007071701398809527,-0.4051786441285465,0.008901266195053294,-0.0002666546163063131,-0.015278184102032083,-605.0960534087407,-163.51674475821773,-16.351674475821774,-33.466634625127476,-5.738108466488047,-0.5738108466488047,16.223415896563726,7.459016853829457,0.7459016853829457,-3.6246397608120238,0.3048939314938077,3.0489393149380772,,,,,,,,,
jackknife_holdout,003,Elliptical,28,True,3,24,5.905047156456818,0.0051876789126407905,0,0.024101095074244343,-0.06990990277543119,0.0903750499599796,0.14374060367242691,0,-0.003965226306177078,0.008691559913359015,0.009655564108243198,-0.002329063589637534,0.006203924953751994,0.006542471384591408,-0.004000235640516798,0.008719068381196848,0.009655564108243198,-0.0047390223326798575,0.008734149838346639,0.00907892219504447,1.8710077255542148,-2.701352287615144e-05,-0.0015477608505835784,0.009978974361656992,5.553740969225368e-06,0.0003182059180455088,-343.83466147553185,-0.0999059308996948,-0.009990593089969479,-22.9717679848533,0.20199282901346294,0.020199282901346295,0.37682491663668355,-0.0010584183870970265,-0.00010584183870970265,,,,-14.083069190539895,6.015025606664892e-05,0.0003007512803332446,-0.12357429623465564,-0.0007762402109705996,-0.003881201054852998,-10.93842626496673,-0.0014883226753266143,-0.007441613376633072
jackknife_holdout,004,Circular,28,True,3,158,6.295204810768523,0.0055574039850488696,0,5.952075930074153,-0.03540605121674958,0.1277585628962169,0.2517085681931803,0,-0.0034484005863919445,0.019503069172856158,0.037994444144146655,-0.015842066352690858,0.03491818770748978,0.037994444144146655,-0.002981803097114729,0.01769579046799663,0.03492700658250669,-0.007254581422249963,0.015075759283490697,0.016349207186976855,1.8545833549726782,0.002325920720583019,0.1332654407714342,0.009179767523383854,1.184671202424624e-05,0.0006787666000961937,-383.4439831683826,58.13532548214033,5.813532548214033,-27.44233403694326,0.2861921216961676,0.02861921216961676,6.7347034115249,-2.0296956312093686,-0.20296956312093686,-4.054844160621026,-0.12531046831519443,-1.2531046831519443,,,,,,,,,
jackknife_holdout,004,Elliptical,28,True,3,22,5.855841589287832,0.005080202792780239,0,0.001163457892860298,-0.02472764789419355,0.10576460102908135,0.17992970623470228,0,-0.0017935116606402543,0.005991925448711299,0.007463412023412275,-0.005038044050945424,0.007258480545715429,0.007463412023412275,-0.0017597903581608398,0.005856435479472566,0.007296332999885635,0.001454664405805599,0.005190878838675417,0.005703373466189987,1.8710165859128864,-1.815316420450408e-05,-0.0010400996937260441,0.00998224451897459,8.823898286823215e-06,0.0005055721306876877,-343.7341954228697,0.0005601217624757737,5.601217624757737e-05,-23.173274989357864,0.0004858245088996682,4.858245088996682e-05,0.37749986488807213,-0.00038347013570844135,-3.834701357084413e-05,,,,-14.083131763936954,-2.423140992746653e-06,-1.2115704963733265e-05,-0.12280342664917876,-5.3706254937169184e-06,-2.6853127468584592e-05,-10.936919625388162,1.8316903240389593e-05,9.158451620194796e-05
jackknife_holdout,005,Circular,28,True,2,225,6.591687029701622,0.005940334205290489,0,8.347089916193966,-0.04563605807311029,0.06761269106974016,0.13310864732704886,0,-0.003142998523699219,0.013258755759238738,0.01670410292399538,9.017696436238416e-06,0.012724713031957435,0.014123362740861012,-0.0032490925816139253,0.013342420327603577,0.01670410292399538,-0.0027785080739965076,0.0035427114314643404,0.003548326977806937,1.8486581219473115,-0.0035993123047837194,-0.20622540421361216,0.0091593103525539,-8.610458805707877e-06,-0.0004933429492383167,-523.2997136371129,-81.72040498658993,-8.172040498658992,-27.85528136936961,-0.12675521073018103,-0.012675521073018104,12.217345392501263,3.4529463497669948,0.3452946349766995,-3.764314264186867,0.16521942811896428,1.6521942811896428,,,,,,,,,
jackknife_holdout,005,Elliptical,28,True,3,19,6.06588387915467,0.005338449716094977,0,0.00226178051692018,-0.04760508041326009,0.06836248440390125,0.12510142565179194,0,-0.0035724639485387342,0.00905022093570551,0.009854649471890298,-0.0032736916762881427,0.008629061892065693,0.009097191582213782,-0.003572591224298239,0.00905022093570551,0.009836219576868643,-0.004014513120458426,0.00938696810590045,0.009854649471890298,1.8709981659750576,-3.6573102033310434e-05,-0.0020954843902100174,0.009971427448631791,-1.9931720559758503e-06,-0.0001142003466508293,-343.7347990609919,-4.351635976718171e-05,-4.351635976718171e-06,-23.165399367323598,0.00836144654316584,0.000836144654316584,0.3772006253117775,-0.0006827097120030712,-6.827097120030712e-05,,,,-14.083131852429554,-2.5116335926611555e-06,-1.2558167963305777e-05,-0.12280299413924531,-4.938115560265688e-06,-2.469057780132844e-05,-10.936921245608463,1.6696682939354446e-05,8.348341469677223e-05
jackknife_holdout,006,Circular,28,True,2,81,6.577077747967137,0.005914824068971792,0,2.998382866938639,0.006984124628659046,0.06587009502900291,0.12110032300802231,0,-0.0002754716362003716,0.006412821125991286,0.012624017406892563,0.002617908265297342,0.011368898231125968,0.012624017406892563,-0.0004070397127880095,0.006214769142275145,0.011421201649341128,0.001699726187759674,0.006006302910464001,0.0066201718983620594,1.8510342327354428,-0.0012232015166524501,-0.07008428439818667,0.009264396109712664,9.647529835305618e-05,0.005527627422895541,-470.8753721797649,-29.296063529241962,-2.9296063529241962,-25.69592612760875,2.032600031030679,0.20326000310306788,9.900098485642898,1.1356994429086296,0.11356994429086295,-3.870495458002531,0.05903823430330046,0.5903823430330046,,,,,,,,,
jackknife_holdout,006,Elliptical,28,True,3,32,6.0947267586761145,0.005353336502361771,0,0.17664731682631937,0.004192655780057949,0.058703836773934495,0.10860838741416501,0,-0.00046666189106915964,0.0036460727421854244,0.004772270125727118,0.001823083731243592,0.0026906992796966733,0.0028614846294203744,-0.0005414438065115213,0.003625676780302456,0.004735007982276329,-0.0003117483833049358,0.004458086431100128,0.004772270125727118,1.871025357193976,-9.381883115056056e-06,-0.0005375423063777617,0.009964339906621133,-9.0807140666338e-06,-0.0005202865909831953,-344.5794315545276,-0.8446760098954655,-0.08446760098954656,-21.82895136084283,1.3448094530239345,0.13448094530239346,0.37829551472745976,0.000412179703679183,4.12179703679183e-05,,,,-14.084257859745952,-0.0011285189499901094,-0.005642594749950547,-0.10738084889075479,0.015417207132930252,0.07708603566465126,-10.937561389379468,-0.0006234470880652765,-0.0031172354403263824
