s,delta_lambda_mm
-0.1923654071984672,0.23142211368438154
-0.19216570683618023,0.23018350168514851
-0.19196600647389325,0.22894801779391705
-0.19176630611160628,0.22771565945593009
-0.1915666057493193,0.2264864241164305
-0.19136690538703233,0.22526030922066148
-0.19116720502474535,0.22403731221386583
-0.19096750466245838,0.2228174305412865
-0.1907678043001714,0.22160066164816652
-0.19056810393788443,0.22038700297974878
-0.19036840357559745,0.21917645198127636
-0.19016870321331047,0.21796900609799208
-0.1899690028510235,0.21676466277513898
-0.18976930248873652,0.21556341945796006
-0.18956960212644955,0.21436527359169816
-0.18936990176416257,0.21317022262159635
-0.18917020140187563,0.21197826399289771
-0.18897050103958865,0.21078939515084494
-0.18877080067730168,0.20960361354068113
-0.1885711003150147,0.20842091660764914
-0.18837139995272772,0.20724130179699207
-0.18817169959044075,0.20606476655395287
-0.18797199922815377,0.20489130832377442
-0.1877722988658668,0.20372092455169968
-0.18757259850357982,0.20255361268297176
-0.18737289814129285,0.20138937016283343
-0.18717319777900587,0.20022819443652778
-0.1869734974167189,0.19907008294929776
-0.18677379705443192,0.19791503314638628
-0.18657409669214495,0.19676304247303639
-0.18637439632985797,0.19561410837449095
-0.186174695967571,0.19446822829599297
-0.18597499560528402,0.19332539968278539
-0.18577529524299705,0.19218561998011127
-0.18557559488071007,0.19104888663321343
-0.1853758945184231,0.1899151970873349
-0.18517619415613612,0.18878454878771864
-0.18497649379384914,0.18765693917960763
-0.18477679343156217,0.18653236570824477
-0.18457709306927519,0.18541082581887311
-0.18437739270698822,0.18429231695673559
-0.18417769234470124,0.18317683656707509
-0.18397799198241427,0.1820643820951347
-0.18377829162012729,0.18095495098615727
-0.18357859125784032,0.17984854068538589
-0.18337889089555334,0.17874514863806332
-0.18317919053326637,0.17764477228943273
-0.18297949017097942,0.17654740908473709
-0.18277978980869242,0.17545305646921902
-0.18258008944640547,0.17436171188812202
-0.18238038908411849,0.17327337278668861
-0.18218068872183152,0.17218803661016188
-0.18198098835954454,0.17110570080378487
-0.18178128799725757,0.17002636281280042
-0.18158158763497059,0.16895002008245169
-0.18138188727268362,0.16787667005798143
-0.18118218691039664,0.16680631018463271
-0.18098248654810967,0.16573893790764843
-0.18078278618582269,0.16467455067227163
-0.18058308582353572,0.16361314592374523
-0.18038338546124874,0.16255472110731228
-0.18018368509896177,0.16149927366821554
-0.17998398473667479,0.16044680105169815
-0.17978428437438781,0.15939730070300298
-0.17958458401210084,0.15835077006737305
-0.17938488364981386,0.15730720659005135
-0.17918518328752689,0.15626660771628076
-0.17898548292523991,0.15522897089130427
-0.17878578256295294,0.15419429356036479
-0.17858608220066596,0.15316257316870543
-0.17838638183837899,0.15213380716156902
-0.17818668147609201,0.15110799298419864
-0.17798698111380504,0.1500851280818371
-0.17778728075151806,0.14906520989972746
-0.17758758038923109,0.14804823588311267
-0.17738788002694411,0.14703420347723567
-0.17718817966465714,0.14602311012733948
-0.17698847930237016,0.14501495327866698
-0.17678877894008319,0.1440097303764612
-0.17658907857779621,0.14300743886596509
-0.17638937821550926,0.1420080761924217
-0.17618967785322226,0.14101163980107362
-0.17598997749093531,0.14001812713716438
-0.17579027712864834,0.13902753564593651
-0.17559057676636136,0.13803986277263311
-0.17539087640407439,0.13705510596249715
-0.17519117604178741,0.13607326266077155
-0.17499147567950044,0.1350943303126993
-0.17479177531721346,0.1341183063635234
-0.17459207495492648,0.13314518825848681
-0.17439237459263951,0.13217497344283241
-0.17419267423035253,0.13120765936180323
-0.17399297386806556,0.1302432434606422
-0.17379327350577858,0.12928172318459233
-0.17359357314349161,0.12832309597889657
-0.17339387278120463,0.12736735928879786
-0.17319417241891766,0.12641451055953914
-0.17299447205663068,0.12546454723636341
-0.17279477169434371,0.12451746676451363
-0.17259507133205673,0.12357326658923277
-0.17239537096976976,0.12263194415576378
-0.17219567060748278,0.12169349690934958
-0.17199597024519581,0.12075792229523322
-0.17179626988290883,0.11982521775865759
-0.17159656952062186,0.11889538074486569
-0.17139686915833488,0.11796840869910048
-0.1711971687960479,0.11704429906660488
-0.17099746843376093,0.11612304929262195
-0.17079776807147395,0.11520465682239456
-0.17059806770918698,0.11428911910116568
-0.1703983673469,0.11337643357417827
