frame_id,is_frame027,valid_point_count,bias_mm,mae_mm,rmse_mm,p95_abs_mm,a_frame_mm,k_frame_mm_per_s,k_peak_to_peak_mm,offset_explained_fraction,offset_tilt_explained_fraction,tilt_incremental_fraction,remaining_rmse_mm,u_min_px,u_max_px,u_center_px,u_span_px,v_min_px,v_max_px,v_center_px,v_span_px,lambda_min_mm,lambda_max_mm,lambda_span_mm,triplet_complete,sha256_verified,board_center_z_mm,board_tilt_deg,board_roll_deg,board_pitch_deg,board_nx,board_ny,board_nz,pnp_rmse_px,chess_to_laser_s,nolaser_to_laser_s,chess_focus_laplacian,chess_mean_dn,laser_mean_dn,laser_p99_dn,laser_dynamic_range_u8,laser_coverage,quality_warning_count,quality_warnings,acquisition_order,acquisition_time_from_first_s
001,False,822,0.014381148136257476,0.060503744596392545,0.07687830320110613,0.1378491128957762,0.014381148136257467,-0.13242324586294638,-0.26484649172589275,0.03499286819961234,0.7794150881941666,0.7444222199945542,0.036107023685503656,1836.5590052597033,2061.1397366470346,1934.9433694511008,224.5807313873313,1087.0276657267011,2507.928479030282,1879.6004438340808,1420.9008133035807,636.117874180793,695.0948503932443,58.97697621245129,True,True,664.669613547,24.738141354429096,24.617669468747987,2.5181601279645465,0.0439360375246,-0.416158918217,-0.908229805388,0.15676544616,10.1213251,5.946134900000001,40.48814322621142,52.262943267822266,0.05733650550246239,1.0,8.0,0.6973333333333334,3,;image_too_dark;dynamic_range_low;dynamic_range_low,1,0.0
002,False,890,0.04530581783363275,0.05677159508540685,0.06523519074227296,0.09135883624990128,0.045305817833632786,0.028190632337988984,0.05638126467597797,0.4823297786575751,0.5517784787849446,0.06944870012736942,0.04367453493927584,2001.6279435634165,2009.9004633958773,2004.4785654625778,8.27251983246083,1093.0318286279864,2599.0127377736176,1858.96718046882,1505.9809091456311,679.6783196595146,681.3272654481854,1.6489457886707442,True,True,664.636012445,21.017153356873017,-0.8103658212652673,21.002231354355565,0.358404307078,0.0132035054341,-0.933473095548,0.136185670615,10.6555622,6.456047300000001,26.480713849287945,34.79246520996094,0.05187833681702614,1.0,5.0,0.7043333333333334,3,;image_too_dark;dynamic_range_low;dynamic_range_low,2,32.6127223
003,False,900,0.061619534974514,0.07524058318197704,0.08537311120689597,0.13326322693397968,0.06161953497451402,0.06431824759273524,0.1286364951854705,0.5209482890807706,0.6668059931859409,0.14585770410517027,0.04927988651456854,1839.0224689361003,2054.781200047176,1945.6523090433054,215.75873111107558,405.0034957607737,2511.0140227719253,1459.3608869047841,2106.0105270111517,631.5503788651798,697.0833223478852,65.53294348270538,True,True,664.023096507,18.94863376732352,-18.908266094417666,1.2594452705596018,0.0219796965773,0.323975621273,-0.945810070658,0.139706812323,7.724535400000001,4.5027322000000005,21.234592040054242,29.812835693359375,0.059619221836328506,1.0,7.0,0.6166666666666667,3,;image_too_dark;dynamic_range_low;dynamic_range_low,3,63.5325932
004,False,900,0.029837974835339513,0.08558981511255638,0.12070602844202004,0.23303750909452098,0.029837974835339533,-0.13823220350221083,-0.27646440700442165,0.06110556517580945,0.5308860676180247,0.46978050244221525,0.08267384311453527,1889.486905186789,1919.9373646705894,1904.9863341581358,30.450459483800387,273.9868693364702,1850.5004980636832,1060.0853500919961,1576.513628727213,648.9385725758053,652.130168265232,3.191595689426663,True,True,648.684849191,3.1126770636643064,1.2506889019579133,2.850583563220421,0.049731546368,-0.0217998976263,-0.998524680596,0.0928935047474,9.423929300000001,5.9892558000000005,21.37428873317398,33.865779876708984,0.06931355595588684,1.0,10.0,0.737,3,;image_too_dark;dynamic_range_low;dynamic_range_low,4,99.80358170000001
005,False,900,0.03923327173369418,0.05089642895787216,0.06329194073461111,0.1277541344245378,0.03923327173369418,-0.0015000053398215724,-0.0030000106796431447,0.38424854086600346,0.38442111940445745,0.00017257853845389147,0.04965811941540762,1878.2994407469826,1922.9956078972973,1899.6228906317685,44.69616715031475,475.9999514232307,2731.977874579812,1561.5778059043603,2255.9779231565813,647.3471048048373,653.4274294155333,6.080324610696039,True,True,652.885749101,2.8837343462437293,1.699787779221944,2.3298579485765254,0.0406524867539,-0.0296380211045,-0.998733679729,0.0942130658113,8.9844846,5.2673366,22.704308997651435,35.11330795288086,0.07264355570077896,1.0,9.0,0.632,3,;image_too_dark;dynamic_range_low;dynamic_range_low,5,141.7917519
006,False,900,-0.006225219388691888,0.05054126732048038,0.06553434985518876,0.12159574974500628,-0.0062252193886918935,-0.030848902094320497,-0.061697804188640994,0.00902342332270445,0.08121001899856883,0.07218659567586448,0.06281698973804406,2075.6025788581655,2094.2983834567,2083.908984291888,18.695804598534323,850.0201303126184,2315.031713069205,1586.4307300172509,1465.0115827565867,702.936623574517,704.1487571294377,1.212133554920797,True,True,702.960298808,2.5221507468766515,0.45973760737022024,2.4799229275002688,0.0432693071889,-0.00801633406651,-0.999031283516,0.0889700151137,9.7215062,6.0319098,29.287383869777173,34.60082244873047,0.060696858912706375,1.0,7.0,0.7676666666666667,3,;image_too_dark;dynamic_range_low;dynamic_range_low,6,172.1383912
007,False,900,0.05156375625692691,0.06641313976615366,0.08073912530525672,0.1573715513079093,0.05156375625692694,0.019294906184955458,0.038589812369910916,0.40786929608068334,0.42487621021071975,0.01700691413003646,0.061230063006854483,2081.365005152129,2102.0748459357847,2091.4125949764407,20.709840783655636,328.00035875784766,1781.0239797038387,1035.6807704858888,1453.023620945991,703.4755287469671,704.6237463646952,1.1482176177280508,True,True,706.978343817,2.588379768733656,0.4253128768433698,2.553221208591284,0.0445473696427,-0.00741567282738,-0.998979749372,0.108611648241,12.8069755,9.260007100000001,25.831673094811123,33.13747024536133,0.06276798248291016,1.0,9.0,0.7933333333333333,3,;image_too_dark;dynamic_range_low;dynamic_range_low,7,207.4711411
008,False,900,-0.009713062927254568,0.05546446230510178,0.06761903487049702,0.1211071979681833,-0.009713062927254582,-0.010058513266377177,-0.020117026532754354,0.02063357444370917,0.026992768778557164,0.006359194334848012,0.06670017935284876,2082.2571171720747,2121.8813481963675,2100.8484473927047,39.62423102429284,552.4703760498631,2287.9390934977255,1423.6463085671605,1735.4687174478622,704.9507887583402,711.6773151647964,6.726526406456173,True,True,705.255000158,4.5848723095505,2.204966577495365,4.020840851768573,0.0701193245478,-0.0383797276439,-0.996800018475,0.0927701995256,8.7449286,5.1830717,26.260116370882525,33.229827880859375,0.06548804044723511,1.0,6.0,0.688,3,;image_too_dark;dynamic_range_low;dynamic_range_low,8,246.59359210000002
009,False,900,0.04001030957358643,0.06892405459193406,0.084914209814601,0.15506273645429472,0.040010309573586436,0.0024896215816010477,0.0049792431632020955,0.22201538881429428,0.2223205496186369,0.00030516080434261217,0.07488256017106287,2096.640191639619,2100.32060352624,2097.9368406997337,3.6804118866211866,361.9854356703312,1816.006501595449,1085.3044418939294,1454.021065925118,703.1149664065675,709.4525839501998,6.337617543632291,True,True,703.947749636,3.819399005550787,-2.608079126744612,2.79125684484037,0.0486973545626,0.0454498632069,-0.997778972315,0.0745450976022,9.3816012,5.9043161,23.181134094440043,31.445770263671875,0.05513053387403488,1.0,7.0,0.726,3,;image_too_dark;dynamic_range_low;dynamic_range_low,9,276.8853484
010,False,900,-0.024089916095470773,0.0589693349810889,0.06857943969404821,0.11914271821046327,-0.024089916095470787,-0.0192417992287628,-0.0384835984575256,0.123390780025039,0.1488316631684482,0.025440883143409143,0.06327055766781171,2021.9615995077706,2043.963308099713,2032.2694035327113,22.00170859194236,406.9999914186739,1900.0006228493526,1159.691984507515,1493.0006314306786,685.722885612507,687.2591224839429,1.5362368714359036,True,True,680.470704168,7.373996226749892,0.7486475422568643,-7.3361034209368725,-0.127689599398,-0.0129590368751,-0.991729514318,0.104501100454,9.9912199,5.5214300000000005,28.74609691385745,31.094457626342773,0.07800496369600296,1.0,9.0,0.933,4,;image_too_dark;dynamic_range_low;dynamic_range_low;laser_peak_saturated,10,321.93928730000005
