scope,outcome,predictor,predictor_category,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_slope,theil_sen_slope
leave027_out,bias_mm,board_nx,pose_orientation,29,0.27547352382457263,0.14807237472919,0.21822660098522165,0.25542705104725655,0.07858577832580754,0.06312961673340525
leave027_out,bias_mm,board_ny,pose_orientation,29,-0.02218651331638896,0.9090504547869098,-0.032512315270935954,0.8670343441310322,-0.004799086970125627,-0.012585382306945954
leave027_out,bias_mm,board_nz,pose_orientation,29,0.06852940261687442,0.7239200320076246,-0.022660098522167483,0.907117287708886,0.09563672375567364,-0.06342554731092856
leave027_out,bias_mm,pnp_rmse_px,pnp,29,-0.10684947847783162,0.5811709743882629,-0.026108374384236445,0.893057799729345,-0.14910492544104775,-0.05310029087437522
leave027_out,bias_mm,u_center_px,coverage,29,-0.12383004283082528,0.5221836495073711,-0.167487684729064,0.3851576059296904,-6.370601250681246e-05,-8.69875628049016e-05
leave027_out,bias_mm,u_span_px,coverage,29,0.14229875613550344,0.4615150184291156,0.10197044334975366,0.5986461703131429,6.67068492470656e-05,7.068973227874261e-05
leave027_out,bias_mm,v_center_px,coverage,29,-0.026790954211200764,0.890278369951098,-0.05960591133004924,0.75873571389454,-3.540850982638565e-06,-6.969561485948875e-06
leave027_out,bias_mm,v_span_px,coverage,29,-0.2172029401889533,0.25771866554980993,-0.16403940886699503,0.39515638807400055,-2.4761684714862126e-05,-2.170388722483645e-05
leave027_out,bias_mm,lambda_span_mm,coverage,29,0.09576511716369482,0.6211899694212025,0.004926108374384235,0.979766935407831,0.00015120768371432316,-4.95816112354812e-05
leave027_out,bias_mm,chess_to_laser_s,acquisition_timing,29,-0.2261307236248715,0.23818285556544364,-0.3773399014778324,0.04359657188091657,-0.0006116719740299904,-0.0013404651075913782
leave027_out,bias_mm,nolaser_to_laser_s,acquisition_timing,29,-0.23089057942940222,0.22818149557181208,-0.33300492610837434,0.07753371089749289,-0.0006523175411120658,-0.0012129937742816827
leave027_out,bias_mm,chess_focus_laplacian,image_quality,29,-0.31920006287881003,0.09144726184036633,-0.3862068965517241,0.03851139269924675,-0.0007876130628248757,-0.0011829710990840254
leave027_out,bias_mm,chess_mean_dn,image_quality,29,-0.3168080560263825,0.094039054920333,-0.2428571428571428,0.20429689292588718,-0.00100741735845584,-0.0009989585030422343
leave027_out,bias_mm,laser_mean_dn,image_quality,29,-0.23227243111839,0.22533162312821617,-0.1571428571428571,0.41559187470402104,-0.5944165564409489,-0.41914449284588756
leave027_out,bias_mm,laser_p99_dn,image_quality,29,nan,nan,nan,nan,nan,nan
leave027_out,bias_mm,laser_dynamic_range_u8,image_quality,29,0.002029930197154705,0.9916617432461773,-0.012978425078009288,0.9467255617196866,3.968527876725199e-05,-0.0005984470104276301
leave027_out,bias_mm,laser_coverage,image_quality,29,-0.14447864619804995,0.45460854640216875,-0.043365778494719995,0.8232520168826187,-0.06373194234011252,-0.029491957464838292
leave027_out,bias_mm,quality_warning_count,image_quality,29,-0.22918231529451902,0.23173788152258248,-0.26231601431142243,0.16922727226068765,-0.020973364836004725,-0.023101386530854598
leave027_out,bias_mm,acquisition_order,acquisition_order,29,-0.5850719650125031,0.0008571044838111554,-0.5684729064039408,0.0012935433210307613,-0.0024629840630149167,-0.0024928840211573215
leave027_out,a_frame_mm,board_center_z_mm,pose_depth,29,-0.1918095265344629,0.3188686993278074,-0.27044334975369455,0.1559222625262302,-0.00036060580105583035,-0.0005611074434054501
leave027_out,a_frame_mm,board_tilt_deg,pose_orientation,29,-0.03126462459636556,0.8720947431265171,-0.0251231527093596,0.8970717487166657,-0.00015646128154974206,-0.00037252245434833795
leave027_out,a_frame_mm,board_roll_deg,pose_orientation,29,0.03300642672753988,0.8650317295617556,0.04581280788177339,0.8134473208030193,0.0001218574826383533,0.00029250873702657776
leave027_out,a_frame_mm,board_pitch_deg,pose_orientation,29,0.2765488583000521,0.14643187977377617,0.21871921182266005,0.25432904549226143,0.0013512533949936857,0.0011090577392761309
leave027_out,a_frame_mm,board_nx,pose_orientation,29,0.27585886399783716,0.14748299731436806,0.21871921182266005,0.25432904549226143,0.07852141153048062,0.06468876513253025
leave027_out,a_frame_mm,board_ny,pose_orientation,29,-0.034815571397894575,0.8577064005672715,-0.04581280788177339,0.8134473208030193,-0.007514155031163806,-0.017226095432456134
leave027_out,a_frame_mm,board_nz,pose_orientation,29,0.0600706288609672,0.7569104836235432,-0.0251231527093596,0.8970717487166657,0.08364634767289549,-0.09867608165157721
