scope,u_start_px,u_end_px,v_start_px,v_end_px,lambda_start_mm,lambda_end_mm,point_count,unique_frame_count,frame_ids,frame_median_residual_mean_mm,frame_median_residual_std_mm,frame_median_residual_range_mm,between_frame_variance_mm2,within_frame_variance_mm2,between_fraction,contains_frame027,frame_median_residuals
all30,1888,1920,600,630,650.0,655.0,24,2,004;005,0.029595674629860014,0.018279324358323912,0.025850868418558548,5.776623321300603e-05,0.0009731794224820516,0.056032277641308234,False,004:0.0166702404;005:0.0425211088
all30,1888,1920,630,660,650.0,655.0,29,2,004;005,0.012985054034487575,0.001108985795260624,0.0015683427521366866,4.2578373559446896e-05,0.0011086544771639548,0.03698502308433248,False,004:0.0122008827;005:0.0137692254
all30,1888,1920,660,690,650.0,655.0,32,2,004;005,0.015745422510718754,0.03112256115096009,0.04401394807547376,0.0010363644128095198,0.0010114702248644344,0.5060781733756984,False,004:0.0377523965;005:-0.00626155153
all30,1888,1920,690,720,650.0,655.0,25,2,004;005,-0.02154231314733579,0.005474878693781378,0.007742647701093119,8.356044011680963e-05,0.0017502953583176425,0.045565436599837625,False,004:-0.0176709893;005:-0.025413637
all30,1888,1920,720,750,650.0,655.0,30,2,004;005,-0.01274687096028515,0.037523611461154294,0.05306640023758291,0.0004964831953223036,0.0011533293325041302,0.3009330981238224,False,004:-0.0392800711;005:0.0137863292
all30,1888,1920,750,780,650.0,655.0,28,2,004;005,-0.0021299197325106434,0.04635749565421621,0.06555939907184438,0.0008339868940182806,0.0010955819401847378,0.43221411915203706,False,004:-0.0349096193;005:0.0306497798
all30,1888,1920,780,810,650.0,655.0,28,2,004;005,-0.05200383272148201,0.01473227334109375,0.02083458076356237,8.256240448145246e-07,0.002341627872696131,0.0003524612317654182,False,004:-0.0415865423;005:-0.0624211231
all30,1888,1920,810,840,650.0,655.0,33,2,004;005,-0.013418840982296842,0.01803965834280442,0.025511929488970964,0.00021922325276283142,0.0006398613081738839,0.2551823915026457,False,004:-0.0261748057;005:-0.000662876238
all30,1888,1920,840,870,650.0,655.0,36,3,004;005;027,0.029371783666685285,0.08742468499376126,0.16226603301811338,0.004553397569145724,0.000520348209650389,0.8974429874226264,True,004:-0.0329595558;005:-0.00823157041;027:0.129306477
all30,1888,1920,870,900,650.0,655.0,57,3,004;005;027,0.03769195854581161,0.08069055373680432,0.15184956964463936,0.0038428948979288883,0.0005569975679024146,0.8734065497673072,True,004:-0.0224595101;005:0.00614532614;027:0.12939006
all30,1888,1920,900,930,650.0,655.0,66,3,004;005;027,0.03432639370311108,0.08120362468832706,0.14149476314474896,0.004383193560174934,0.0009182913724067499,0.8267860073008703,True,004:-0.0117002169;005:-0.0134076826;027:0.128087081
all30,1888,1920,930,960,650.0,655.0,64,3,004;005;027,0.060267018069112055,0.08138662724809682,0.15549007908646217,0.00437931618631945,0.0005168819567496069,0.8944319772921582,True,004:-0.00357967719;005:0.0324703295;027:0.151910402
all30,1888,1920,960,990,650.0,655.0,38,3,004;005;027,0.05863782674856566,0.08862550243664535,0.15876481550782273,0.005802290076990427,0.0015814703843303015,0.7858177560587569,True,004:0.00200707111;005:0.0131345225;027:0.160771887
all30,1888,1920,990,1020,645.0,650.0,6,2,003;025,0.025523309231545,0.017404964315904665,0.024614336588172137,0.0001170013743754359,0.00011823682284733042,0.4973740479087149,False,003:0.0378304775;025:0.0132161409
