roi_id,height_mm,trim_px,x_start,x_end,width_px,valid_column_count,available,unavailable_reason,delta_y_median_px,sensitivity_median_px_per_mm,relative_change_vs_trim0,roi_stable,roi_sensitive
h001,1.0,0,1788,1820,33,33,true,,-1.3128584103238836,1.3128584103238836,0.0,true,false
h001,1.0,2,1790,1818,29,29,true,,-1.3207497926388214,1.3207497926388214,0.006010840356341997,true,false
h001,1.0,3,1791,1817,27,27,true,,-1.3207497926388214,1.3207497926388214,0.006010840356341997,true,false
h001,1.0,4,1792,1816,25,25,true,,-1.3207497926388214,1.3207497926388214,0.006010840356341997,true,false
h010,10.0,0,1851,1876,26,25,true,,-12.426900316619594,1.2426900316619593,0.0,true,false
h010,10.0,2,1853,1874,22,21,true,,-12.433536168265846,1.2433536168265846,0.0005339908969397692,true,false
h010,10.0,3,1854,1873,20,19,true,,-12.451477577527157,1.2451477577527157,0.0019777466851242107,true,false
h010,10.0,4,1855,1872,18,17,true,,-12.451477577527157,1.2451477577527157,0.0019777466851242107,true,false
h030,30.0,0,1913,1949,37,37,true,,-37.740434605350856,1.2580144868450285,0.0,true,false
h030,30.0,2,1915,1947,33,33,true,,-37.72835745718987,1.2576119152396623,0.00032000554013950403,true,false
h030,30.0,3,1916,1946,31,31,true,,-37.716084131771254,1.257202804392375,0.0006452091459526921,true,false
h030,30.0,4,1917,1945,29,29,true,,-37.69944465612366,1.256648155204122,0.001086101674658066,true,false
