segment_id,segment_role,u_start,u_end,width_px,point_count,rmse_px,mae_px,p95_abs_error_px,max_abs_error_px
S001,boundary,1009,1114,106,106,0.18907371924394498,0.14955784062593608,0.3878960719090685,0.4787153330800038
S002,interior,1228,1333,106,106,0.1180419053172827,0.10590394975169606,0.186432630552531,0.2407880005341667
S003,interior,1447,1552,106,106,0.11504833819648887,0.08844612343162285,0.24941698886314612,0.30557113662098345
S004,interior,1666,1771,106,106,0.1463809526557935,0.12323419812982597,0.2713348249373553,0.3175462430876905
S005,interior,1884,1989,106,106,0.12789520446764707,0.10097753927194596,0.2335734271190688,0.4379547166900011
S006,boundary,2102,2159,58,58,0.4482462882046921,0.3954642060902529,0.8161035485981926,0.923740539582127
