roi_id,height_mm,trim_px,x_start,x_end,width_px,valid_column_count,available,unavailable_reason,delta_y_median_px,sensitivity_median_px_per_mm,relative_change_vs_trim0,roi_stable,roi_sensitive
h001,1.0,0,1863,1901,39,39,true,,-1.070311792885832,1.070311792885832,0.0,true,false
h001,1.0,2,1865,1899,35,35,true,,-1.0732661058766553,1.0732661058766553,0.0027602358588031677,true,false
h001,1.0,3,1866,1898,33,33,true,,-1.0732661058766553,1.0732661058766553,0.0027602358588031677,true,false
h001,1.0,4,1867,1897,31,31,true,,-1.070311792885832,1.070311792885832,0.0,true,false
h010,10.0,0,1926,1961,36,36,true,,-11.255331568119004,1.1255331568119002,0.0,true,false
h010,10.0,2,1928,1959,32,32,true,,-11.253206061507058,1.1253206061507057,0.00018884442444732277,true,false
h010,10.0,3,1929,1958,30,30,true,,-11.249461661311443,1.1249461661311444,0.0005215223356178286,true,false
h010,10.0,4,1930,1957,28,28,true,,-11.226964727275686,1.1226964727275686,0.002520302549208468,true,false
h030,30.0,0,1989,2023,35,35,true,,-34.584538376412866,1.1528179458804289,0.0,true,false
h030,30.0,2,1991,2021,31,31,true,,-34.572535614370736,1.152417853812358,0.00034705572506103116,true,false
h030,30.0,3,1992,2020,29,29,true,,-34.54605837742088,1.1515352792473625,0.0011126359002736662,true,false
h030,30.0,4,1993,2019,27,27,true,,-34.522534012207416,1.1507511337402472,0.001792834807583785,true,false
