parameter,unit,M0_value,M_diag_fullfit_value,delta_M_diag_minus_M0,normalized_delta,interpretation_scale
theta_axis,rad,1.8557099550137575,1.852458599873015,-0.0032513551407424846,-0.18628892726270813,0.017453292519943295
phi_axis,rad,0.01003015064354381,0.009419112810039132,-0.0006110378335046785,-0.035009888982635566,0.017453292519943295
A_x,mm,-115.59970742084231,-134.25383250117153,-18.654125080329223,-1.8654125080329222,10.0
A_y,mm,1.7418894155446691,14.594870247783915,12.852980832239245,1.2852980832239245,10.0
A_z,mm,327.03307376521605,267.3906663828438,-59.642407382372255,-5.964240738237225,10.0
alpha,rad,1.5546092750536373,1.5513439145926573,-0.003265360460980027,-1.8709137300304846,0.0017453292519943296
