record_type,profile_type,displacement_t,status,optimizer_cost,relative_cost_to_t0,valid_grid_count,invalid_grid_count,theta_theta_axis,normalized_theta_axis,theta_phi_axis,normalized_phi_axis,theta_A_x,normalized_A_x,theta_A_y,normalized_A_y,theta_A_z,normalized_A_z,theta_alpha,normalized_alpha,top_formal_edge_delta_lambda_median_mm,top_formal_edge_delta_lambda_p95_mm,top_formal_edge_delta_lambda_max_mm,middle_formal_delta_lambda_median_mm,middle_formal_delta_lambda_p95_mm,middle_formal_delta_lambda_max_mm,bottom_formal_edge_delta_lambda_median_mm,bottom_formal_edge_delta_lambda_p95_mm,bottom_formal_edge_delta_lambda_max_mm
profile,weak_direction_with_nuisance_refit,-4.0,2,1.3861285947334527,1.0001320582554523,3120,1021,1.8541759111784186,0.09839468990973088,0.009501609406859235,0.00472670682198429,-122.75343242585731,1.1500400075314219,12.913270737278053,-0.16815995105058618,304.39184180989014,3.7001175427046347,1.553044411940457,0.9743132110210975,0.002905614833252912,0.005507010358155638,0.0061815160503329025,0.0008773249497835423,0.0033560464294737358,0.006960118390566095,0.003490918719421643,0.006850168327446227,0.007562083707853162
profile,weak_direction_with_nuisance_refit,-3.5,2,1.3860797927352246,1.0000968461956763,3120,1021,1.8539611607460706,0.08609039648758211,0.009491274349406446,0.004134551648914239,-124.19102607171759,1.0062806429453943,13.123884511666013,-0.14709857361179016,299.7665643835977,3.237589800075392,1.5528319604470853,0.8525874718066094,0.002505966351236566,0.004763827272813613,0.00534737509281058,0.0007575989112069692,0.0029035456139752114,0.006016668487291099,0.003027235145623308,0.0059240692362436675,0.006539459212262955
profile,weak_direction_with_nuisance_refit,-3.0,2,1.3860391621251698,1.000067530029906,3120,1021,1.8537464282841127,0.07378713269294027,0.009481017277324219,0.0035468647084411706,-125.62861262941888,0.8625219871752648,13.332823999257592,-0.12620462485263229,295.14125285444237,2.775058647159858,1.5526194713908856,0.730840210677035,0.002116218193464192,0.004035047887782638,0.004529132926677448,0.0006423769897878628,0.002463178257215759,0.005098767557115025,0.002573329995925633,0.005022227572681004,0.005543575333604167
profile,weak_direction_with_nuisance_refit,-2.5,2,1.3860064658226707,1.0000439386975866,3120,1021,1.8535317219512433,0.06148536598478905,0.009470740668310005,0.0029580583842206054,-127.06618287016023,0.7187649631011297,13.542210342746966,-0.10526599050369487,290.5160107586972,2.312534437585339,1.5524069483729812,0.60907349092397,0.0017414913008906296,0.003323235261723311,0.0037299395218042264,0.0005288960391567343,0.0020317933365276986,0.004201392569825657,0.0021268660279929463,0.0041398829691843275,0.00456934070882653
profile,weak_direction_with_nuisance_refit,-2.0,2,1.385981326475962,1.0000257999284545,3120,1021,1.853317045934631,0.04918533627023074,0.009460387528004807,0.0023648671400260082,-128.50373153142007,0.5750100969751457,13.753283459468031,-0.08415867883158831,285.89089812693805,1.8500231744094264,1.5521943938568972,0.48728872404335916,0.0013835683166689705,0.0026296147481843935,0.002951336002638527,0.0004182340103398019,0.001609059429000581,0.0033214233081935163,0.0016864213248481974,0.003274082240181997,0.0036135881780410273
profile,weak_direction_with_nuisance_refit,-1.5,2,1.3859628733468767,1.0000124854596215,3120,1021,1.8531023855496578,0.03688620218260668,0.009450118651105451,0.0017765038333535231,-129.94127553519186,0.4312556965979667,13.962548547578976,-0.06323217002049386,281.2657388518389,1.3875072468995087,1.5519818059286503,0.3654848134036117,0.0010296800732021438,0.0019502167952850861,0.002186748399140015,0.000310364404072061,0.0011940956198657204,0.0024650731108977197,0.0012553765325264976,0.0024307921991066905,0.002682627335957477
profile,weak_direction_with_nuisance_refit,-1.0,2,1.3859511904139503,1.0000040558840406,3120,1021,1.8528877736200087,0.02458984438055407,0.009439795145929622,0.001185010556997028,-131.37881027568994,0.28750222254815866,14.173046849812698,-0.042182339797121673,276.6406529162186,0.9249986533374794,1.551769210151084,0.243676405435118,0.0006809671189103028,0.0012865353661254625,0.001441767123765203,0.00020481704115127286,0.000787413969590034,0.0016250991034212348,0.0008297564397707902,0.001603039439373788,0.0017690296349428536
profile,weak_direction_with_nuisance_refit,-0.5,2,1.385945445959828,0.999999911093473,3120,1021,1.8526731653337818,0.012293695331218261,0.009429462729842469,0.0005930067230301061,-132.8163238997649,0.143750860140662,14.38374537658962,-0.021112487119429525,272.0156437886719,0.46249774058281334,1.5515565661546473,0.12184037008892641,0.0003382129746114515,0.000636966749516432,0.0007123302193576819,0.00010119275850684062,0.0003890668459405333,0.0008041409671477595,0.0004118818712868233,0.0007935151548963404,0.0008756095780881878
profile,weak_direction_with_nuisance_refit,0.0,3,1.3859455398519605,0.9999999788393749,3120,1021,1.8524585975720143,-1.3183763010121837e-07,0.009419122712155085,5.673494523896466e-07,-134.25383289583635,-3.9466482348871065e-08,14.594653763709662,-2.1648407425267636e-05,267.3906575357249,-8.847118863286596e-07,1.5513439129891882,-9.187201402916421e-07,1.5248690488078864e-07,3.709408247232204e-07,4.1453915855527157e-07,7.105529675754951e-08,2.836154919805267e-07,4.592724280882976e-07,2.0937125100317644e-07,4.4444436753110494e-07,4.7136813918768894e-07
profile,weak_direction_with_nuisance_refit,0.5,2,1.3859508051736142,1.0000037779219442,3120,1021,1.8522440372443443,-0.0122935330640638,0.009408811320534527,-0.000590231871312138,-135.69132896953224,-0.1437496468360706,14.804955264742958,0.021008501695904336,262.76569350236826,-0.4624972880475525,1.551131221182537,-0.12186434730139024,0.00033341724463298306,0.000625263204051407,0.0006995512636649437,9.889672770668767e-05,0.00038047026509957504,0.0007841174200393652,0.0004016293707991281,0.0007742981212004452,0.0008544313196807707
