roi_id,height_mm,trim_px,x_start,x_end,width_px,valid_column_count,available,unavailable_reason,delta_y_median_px,sensitivity_median_px_per_mm,relative_change_vs_trim0,roi_stable,roi_sensitive
h001,1.0,0,1858,1895,38,38,true,,-1.523236006993443,1.523236006993443,0.0,true,false
h001,1.0,2,1860,1893,34,34,true,,-1.5320153413018716,1.5320153413018716,0.0057636073911863485,true,false
h001,1.0,3,1861,1892,32,32,true,,-1.5384458824746616,1.5384458824746616,0.00998523893302644,true,false
h001,1.0,4,1862,1891,30,30,true,,-1.5384458824746616,1.5384458824746616,0.00998523893302644,true,false
h010,10.0,0,1911,1954,44,44,true,,-14.479803864295263,1.4479803864295264,0.0,true,false
h010,10.0,2,1913,1952,40,40,true,,-14.47604520465245,1.447604520465245,0.00025957945826063936,true,false
h010,10.0,3,1914,1951,38,38,true,,-14.470589275526208,1.4470589275526207,0.0006363752475804713,true,false
h010,10.0,4,1915,1950,36,36,true,,-14.465796392804236,1.4465796392804235,0.0009673799191140159,true,false
h030,30.0,0,1980,2020,41,41,true,,-44.27507771626233,1.475835923875411,0.0,true,false
h030,30.0,2,1982,2018,37,37,true,,-44.24096659679549,1.4746988865598496,0.0007704361285472145,true,false
h030,30.0,3,1983,2017,35,35,true,,-44.239319211189695,1.4746439737063233,0.0008076440949870929,true,false
h030,30.0,4,1984,2016,33,33,true,,-44.239319211189695,1.4746439737063233,0.0008076440949870929,true,false
