row_type,candidate,frame_id,sample_count,delta_lambda_bias_mm,delta_lambda_rmse_mm,delta_lambda_p95_abs_mm,delta_lambda_max_abs_mm,count,bias_mm,mae_mm,rmse_mm,p95_abs_mm,max_abs_mm
truth_difference,M1-core_minus_M0,027,900,0.09031386583658989,0.09100165387746413,0.10758831972429447,0.10981308384236854,,,,,,
cone_residual,M0,027,,,,,,890,0.28277316394808233,0.29806368132417255,0.3583456916549729,0.5658848544445106,0.6167738579692923
cone_residual,M1-core,027,,,,,,892,0.27801637519257316,0.29413407772822253,0.3549045339284172,0.5621202170401886,0.6131415021686735
