column_u_px,bias_mm
0,9.9953257789999999
1,9.9941347480000005
2,9.9955715215000005
3,9.9995065449999991
4,10.0054250085
5,10.012316879499998
6,10.018496236499999
7,10.0209368315
8,10.016788514
9,10.007043055
10,9.9938051035000015
11,9.9795543035000005
12,9.9663590814999985
13,9.9545255504999997
14,9.9458247699999998
15,9.9383889790000008
16,9.9328686294999997
17,9.9282273639999996
18,9.9218400140000007
19,9.914782304500001
20,9.905607464500001
21,9.8952028275000004
22,9.8838240940000013
23,9.8726251080000011
24,9.8627557500000016
25,9.8532226380000001
26,9.84544
27,9.8387024825000005
28,9.832250299
29,9.8249904569999984
30,9.8166198615000013
31,9.8071877865000001
32,9.7982841250000003
33,9.7907838589999994
34,9.7840861409999995
35,9.7768381509999998
36,9.7683649179999996
37,9.7578678475
38,9.7450024210000006
39,9.7300691450000016
40,9.7140201610000005
41,9.6981826939999998
42,9.6839942000000008
43,9.6731597004999994
44,9.6663493729999992
45,9.6627982140000004
46,9.661891421
47,9.6621202040000007
48,9.6616888825
49,9.6581340880000006
50,9.6503030820000006
51,9.6363738869999995
52,9.6182033460000014
53,9.5985487075000009
54,9.5827257995000004
55,9.5604531454999986
56,9.5380906289999992
57,9.5182999455000008
58,9.5022613705000012
59,9.4906284310000011
60,9.4836223719999992
61,9.4799394600000007
62,9.4775259485000003
63,9.4746372480000005
64,9.4719652525000004
65,9.4698975290000007
66,9.4686928590000008
67,9.4683097429999989
68,9.4678934550000005
69,9.4674560149999998
70,9.4660829379999996
71,9.4626606019999997
72,9.457968750500001
73,9.4515286419999995
74,9.4437579110000005
75,9.4347849279999991
76,9.4246100450000014
77,9.4134221220000001
78,9.4012890005000003
79,9.3892260835000005
80,9.3780801724999989
81,9.3680342490000008
82,9.3595704990000002
83,9.3521511485000008
84,9.3459921384999998
85,9.3403234270000013
86,9.3335039389999999
87,9.3249791369999997
88,9.3149050620000011
89,9.3034476814999998
90,9.2913532105000005
91,9.2797858765000001
92,9.2685283719999987
93,9.257126972
94,9.2469910459999998
95,9.2393481860000009
96,9.2359582875000008
97,9.2355751425000001
98,9.2371258800000007
99,9.2387467950000008
100,9.2389602649999993
101,9.236614359499999
102,9.231500003499999
103,9.2232730780000001
104,9.2141516139999986
105,9.2039408139999992
106,9.1938860349999985
107,9.1830442525000002
108,9.1716633554999998
109,9.1606156984999991
110,9.1493968265000003
111,9.1388489330000002
112,9.1293816905000007
113,9.1215705324999998
114,9.1159061425000001
115,9.1113383984999992
116,9.1083178324999992
117,9.1069523560000007
118,9.1064878974999992
119,9.1058274505000014
120,9.1043612950000004
121,9.1001119875000001
122,9.0921631549999997
123,9.0799739079999995
124,9.0649418789999991
125,9.0490327575000009
126,9.0345866199999989
127,9.0235128615000004
128,9.0165380385000002
129,9.0137879900000009
130,9.0140349069999992
131,9.0154975704999991
132,9.0164133419999999
133,9.015641875
134,9.0138616280000008
135,9.0103935785000004
136,9.0050709065000003
137,8.9993695549999995
138,8.9931636770000001
139,8.9860998540000008
140,8.9782981095000007
141,8.9700683959999985
142,8.961408045999999
143,8.9526968909999987
144,8.946025864500001
145,8.9409514884999997
146,8.9359797585000003
147,8.9312460444999999
148,8.9252327109999996
149,8.9179735220000005
