roi_id,height_mm,trim_px,x_start,x_end,width_px,valid_column_count,available,unavailable_reason,delta_y_median_px,sensitivity_median_px_per_mm,relative_change_vs_trim0,roi_stable,roi_sensitive
h001,1.0,0,1711,1744,34,34,true,,-0.972322405601517,0.972322405601517,0.0,true,false
h001,1.0,2,1713,1742,30,30,true,,-0.9622327020117609,0.9622327020117609,0.010376911538425506,true,false
h001,1.0,3,1714,1741,28,28,true,,-0.9622327020117609,0.9622327020117609,0.010376911538425506,true,false
h001,1.0,4,1715,1740,26,26,true,,-0.9622327020117609,0.9622327020117609,0.010376911538425506,true,false
h010,10.0,0,1771,1807,37,37,true,,-8.081496489347956,0.8081496489347956,0.0,true,false
h010,10.0,2,1773,1805,33,33,true,,-8.117362363702114,0.8117362363702114,0.004438023873602181,true,false
h010,10.0,3,1774,1804,31,31,true,,-8.117362363702114,0.8117362363702114,0.004438023873602181,true,false
h010,10.0,4,1775,1803,29,29,true,,-8.117362363702114,0.8117362363702114,0.004438023873602181,true,false
h030,30.0,0,1836,1862,27,27,true,,-24.49197312031629,0.8163991040105429,0.0,true,false
h030,30.0,2,1838,1860,23,23,true,,-24.51996857586596,0.8173322858621986,0.0011430461487175329,true,false
h030,30.0,3,1839,1859,21,21,true,,-24.561047399306972,0.8187015799768991,0.0028202823288821224,true,false
h030,30.0,4,1840,1858,19,19,true,,-24.56120193090942,0.818706731030314,0.0028265918083874475,true,false
