row_type,dimension,feature,baseline_count,baseline_min,baseline_max,baseline_range,baseline_std,extension_count,extension_min,extension_max,extension_range,extension_std,new_low_count,new_high_count,new_low_frame_ids,new_high_frame_ids,range_increase_fraction,interval_overlap,baseline_spearman,extension_spearman,relationship_interpretation
range,depth,board_center_z_mm,18,648.6771903892012,712.278195371598,63.60100498239683,21.982505102655722,12,655.8125137865336,710.4980330113733,54.68551922483971,15.585715812538874,0,0,,,-0.14017837862821045,54.68551922483971,,,
range,tilt,board_tilt_deg,18,2.5334650585219993,24.765800458073528,22.23233539955153,7.733239892548373,12,2.6239126501351326,26.649614862903103,24.02570221276797,7.746909359964806,0,1,,027,0.08066479661208316,22.141887807938396,,,
range,apparent_size,apparent_bbox_area_fraction,18,0.24641252297657018,0.5051748660672994,0.25876234309072926,0.05823459126941642,12,0.26770686820628453,0.5446312985986236,0.27692443039233905,0.07657400023334693,0,1,,026,0.07018829356960048,0.2374679978610149,,,
range,sensor_u,image_center_u_norm,18,0.34233722293918784,0.6770237934860316,0.33468657054684375,0.10498234647753928,12,0.3129687058654698,0.48746187578548084,0.17449316992001102,0.053209024406191525,2,0,028;035,,-0.4786370733820991,0.145124652846293,,,
range,sensor_v,image_center_v_norm,18,0.3388376345778956,0.6402894092906606,0.30145177471276496,0.10210173162927227,12,0.37222306176387904,0.5781574741710316,0.20593441240715255,0.06324762038965293,0,0,,,-0.31685785362061675,0.20593441240715255,,,
range,normalized_radius,normalized_radius_max,18,0.1852166657401457,0.28831437293499246,0.10309770719484676,0.033086125768776765,12,0.1930484987898459,0.2672887676338516,0.07424026884400572,0.022011444112734938,0,0,,,-0.27990378385721704,0.07424026884400572,,,
relationship,tilt_depth,"spearman(board_tilt_deg,board_center_z_mm)",18,,,,,12,,,,,,,,,,,-0.5768833849329206,-0.6013986013986015,near-zero would indicate tilt/depth decoupling
relationship,tilt_apparent_size,"spearman(board_tilt_deg,apparent_bbox_area_fraction)",18,,,,,12,,,,,,,,,,,0.24871001031991744,0.10489510489510491,near-zero would indicate tilt/size decoupling
