u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2133.480513,163.000000,6.163400,-131.190069,713.636366,6.167036,131.196258,0.056928
2133.445644,164.000000,6.159928,-131.091494,713.630043,6.163320,131.097634,0.062283
2133.416503,165.000000,6.157029,-130.993257,713.625552,6.160259,130.999364,0.065836
2133.387037,166.000000,6.154097,-130.895002,713.620956,6.157160,130.901075,0.069492
2133.338382,167.000000,6.149247,-130.795623,713.610219,6.151871,130.801611,0.079188
2133.278345,168.000000,6.143258,-130.695579,713.595839,6.145281,130.701453,0.092467
2133.230560,169.000000,6.138495,-130.596258,713.585379,6.140091,130.602049,0.101891
2133.203487,170.000000,6.135803,-130.498151,713.581545,6.137266,130.503915,0.104798
2133.202210,171.000000,6.135690,-130.401555,713.585965,6.137387,130.407358,0.099589
2133.231409,172.000000,6.138625,-130.306740,713.600134,6.140987,130.312662,0.084790
2133.264302,173.000000,6.141929,-130.212136,713.615485,6.145010,130.218187,0.068829
2133.223668,174.000000,6.137881,-130.113237,713.607308,6.140636,130.119224,0.076008
2133.128310,175.000000,6.128361,-130.011149,713.581619,6.130013,130.016929,0.100409
2133.045633,176.000000,6.120110,-129.909806,713.559989,6.120839,129.915413,0.120819
2132.996249,177.000000,6.115188,-129.810409,713.549010,6.115467,129.815929,0.130753
2132.975156,178.000000,6.113094,-129.712661,713.547082,6.113325,129.718169,0.131787
2132.965125,179.000000,6.112106,-129.615557,713.548691,6.112445,129.621081,0.129341
2132.953181,180.000000,6.110927,-129.518341,713.549688,6.111347,129.523877,0.127498
2132.930508,181.000000,6.108676,-129.420503,713.547251,6.109025,129.426021,0.129032
2132.910888,182.000000,6.106729,-129.322842,713.545789,6.107051,129.328352,0.129606
2132.928959,183.000000,6.108550,-129.227366,713.556385,6.109379,129.232966,0.118322
2132.968885,184.000000,6.112557,-129.133154,713.573972,6.114204,129.138901,0.100162
2133.000685,185.000000,6.115750,-129.038467,713.588958,6.118100,129.044340,0.084560
2133.006867,186.000000,6.116383,-128.942294,713.595748,6.119072,128.948226,0.077020
2132.996356,187.000000,6.115348,-128.845155,713.597195,6.118137,128.851101,0.074733
2132.991458,188.000000,6.114873,-128.748339,713.600437,6.117843,128.754316,0.070682
2132.998924,189.000000,6.115634,-128.652236,713.607634,6.118961,128.658275,0.062740
2132.995909,190.000000,6.115347,-128.555527,713.611477,6.118883,128.561601,0.058098
2132.977222,191.000000,6.113494,-128.457914,713.610304,6.117014,128.463981,0.058389
2132.968207,192.000000,6.112608,-128.360859,713.612224,6.116250,128.366945,0.055637
2132.978107,193.000000,6.113612,-128.264891,713.620196,6.117646,128.271045,0.046934
2132.975980,194.000000,6.113415,-128.168230,713.624318,6.117669,128.174421,0.042017
2132.943539,195.000000,6.110186,-128.069826,713.618740,6.114230,128.075975,0.046640
2132.902983,196.000000,6.106147,-127.970958,713.610564,6.109864,127.977043,0.053818
2132.873491,197.000000,6.103213,-127.872727,713.605928,6.106762,127.878778,0.057516
2132.849993,198.000000,6.100879,-127.774841,713.603208,6.104344,127.780872,0.059328
2132.823468,199.000000,6.098242,-127.676782,713.599518,6.101581,127.682787,0.062094
2132.798234,200.000000,6.095734,-127.578799,713.596241,6.098965,127.584780,0.064455
2132.775994,201.000000,6.093526,-127.480987,713.593920,6.096691,127.486953,0.065874
2132.753562,202.000000,6.091299,-127.383166,713.591537,6.094395,127.389115,0.067355
2132.737887,203.000000,6.089746,-127.285731,713.591315,6.092870,127.291682,0.066711
2132.738489,204.000000,6.089821,-127.189225,713.596299,6.093203,127.195220,0.060946
2132.757872,205.000000,6.091774,-127.093788,713.607292,6.095681,127.099876,0.049272
2132.784898,206.000000,6.094490,-126.998784,713.620728,6.099031,127.004985,0.035194
2132.791329,207.000000,6.095148,-126.902604,713.627575,6.100030,126.908865,0.027598
2132.763328,208.000000,6.092364,-126.804464,713.623403,6.097098,126.810694,0.030838
2132.712744,209.000000,6.087322,-126.705042,713.612005,6.091587,126.711181,0.041186
2132.653844,210.000000,6.081449,-126.605150,713.597946,6.085127,126.611178,0.054151
2132.596904,211.000000,6.075773,-126.505374,713.584513,6.078892,126.511295,0.066500
2132.575145,212.000000,6.073613,-126.407597,713.582334,6.076672,126.413503,0.067780
2132.573852,213.000000,6.073498,-126.310979,713.586702,6.076789,126.316925,0.062621
2132.551149,214.000000,6.071244,-126.213149,713.584220,6.074461,126.219078,0.064200
2132.513267,215.000000,6.067472,-126.114461,713.576881,6.070401,126.120333,0.070556
2132.548363,216.000000,6.070995,-126.019900,713.592887,6.074671,126.025906,0.053951
2132.511624,217.000000,6.067338,-125.921277,713.585911,6.070742,125.927229,0.059950
2132.487601,218.000000,6.064951,-125.823374,713.583002,6.068263,125.829306,0.061949
2132.471984,219.000000,6.063405,-125.725946,713.582781,6.066745,125.731879,0.061304
2132.451375,220.000000,6.061360,-125.628237,713.580962,6.064656,125.634159,0.062230
2132.428362,221.000000,6.059075,-125.530393,713.578372,6.062293,125.536297,0.063915
2132.417244,222.000000,6.057979,-125.433220,713.579587,6.061288,125.439137,0.061857
2132.420050,223.000000,6.058274,-125.336829,713.585256,6.061872,125.342795,0.055419
2132.422415,224.000000,6.058525,-125.240411,713.590782,6.062406,125.246426,0.049122
2132.396839,225.000000,6.055984,-125.142424,713.587369,6.059750,125.148414,0.051617
2132.355198,226.000000,6.051837,-125.043537,713.578815,6.055260,125.049461,0.059168
2132.332667,227.000000,6.049600,-124.945724,713.576374,6.052952,124.951631,0.060706
2132.343466,228.000000,6.050694,-124.849777,713.584594,6.054448,124.855755,0.051760
2132.371636,229.000000,6.053524,-124.754801,713.598369,6.057927,124.760894,0.037348
2132.368782,230.000000,6.053254,-124.658086,713.602220,6.057865,124.664214,0.032699
2132.303545,231.000000,6.046749,-124.557885,713.586112,6.050682,124.563885,0.047680
2132.233279,232.000000,6.039741,-124.457409,713.568395,6.042925,124.463266,0.064243
2132.186709,233.000000,6.035102,-124.358259,713.558258,6.037873,124.364037,0.073351
2132.161974,234.000000,6.032645,-124.260328,713.555104,6.035314,124.266084,0.075591
2132.143011,235.000000,6.030765,-124.162720,713.553795,6.033412,124.168469,0.076016
2132.129275,236.000000,6.029407,-124.065404,713.554158,6.032108,124.071158,0.074797
2132.137550,237.000000,6.030249,-123.969311,713.561560,6.033315,123.975130,0.066655
2132.170717,238.000000,6.033578,-123.874600,713.576923,6.037363,123.880547,0.050682
2132.212582,239.000000,6.037776,-123.780367,713.595069,6.042404,123.786466,0.031973
2132.254378,240.000000,6.041968,-123.686126,713.613192,6.047438,123.692376,0.013286
2132.293576,241.000000,6.045900,-123.591736,713.630484,6.052175,123.598131,-0.004584
2132.306546,242.000000,6.047211,-123.495888,713.639384,6.053918,123.502360,-0.014200
2132.269442,243.000000,6.043518,-123.397267,713.632262,6.049946,123.403684,-0.008057
2132.201144,244.000000,6.036707,-123.296923,713.615160,6.042413,123.303203,0.007902
2132.137999,245.000000,6.030412,-123.196869,713.599706,6.035469,123.203026,0.022240
2132.093061,246.000000,6.025936,-123.097825,713.590076,6.030602,123.103906,0.030850
2132.051372,247.000000,6.021785,-122.998962,713.581485,6.026107,123.004976,0.038438
2131.988755,248.000000,6.015543,-122.898949,713.566198,6.019224,122.904841,0.052612
2131.919885,249.000000,6.008676,-122.798595,713.548911,6.011627,122.804350,0.068752
2131.867135,250.000000,6.003421,-122.699134,713.536780,6.005870,122.704792,0.079823
2131.829780,251.000000,5.999703,-122.600523,713.529572,6.001870,122.606125,0.086051
2131.808590,252.000000,5.997601,-122.502801,713.527533,5.999714,122.508390,0.087194
2131.796939,253.000000,5.996452,-122.405604,713.528544,5.998647,122.411205,0.085338
