u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2134.046358,74.000000,6.218653,-139.811337,713.382794,6.207721,139.815162,0.383201
2133.957956,75.000000,6.209827,-139.709357,713.359445,6.197896,139.712994,0.405297
2133.911589,76.000000,6.205206,-139.610017,713.349542,6.192872,139.613576,0.414170
2133.953545,77.000000,6.209416,-139.516207,713.367890,6.197934,139.519920,0.395263
2133.998352,78.000000,6.213912,-139.422571,713.387149,6.203322,139.426444,0.375460
2134.041733,79.000000,6.218266,-139.328841,713.405952,6.208548,139.332871,0.356105
2134.129159,80.000000,6.227025,-139.237857,713.438846,6.218804,139.242160,0.322893
2134.285921,81.000000,6.242721,-139.151193,713.493927,6.236982,139.155950,0.267863
2134.294550,82.000000,6.243599,-139.055274,713.501611,6.238239,139.060096,0.259442
2134.087290,83.000000,6.222882,-138.945893,713.440218,6.214834,138.950217,0.318950
2133.911018,84.000000,6.205268,-138.838461,713.388747,6.194973,138.842367,0.368700
2133.753039,85.000000,6.189486,-138.732183,713.343133,6.177203,138.735720,0.412691
2133.630515,86.000000,6.177250,-138.628124,713.308864,6.163483,138.631383,0.445526
2133.551531,87.000000,6.169368,-138.526780,713.288520,6.154736,138.529876,0.464667
2133.671596,88.000000,6.181387,-138.437802,713.331833,6.168714,138.441255,0.421210
2133.792198,89.000000,6.193461,-138.348845,713.375322,6.182756,138.352658,0.377580
2133.851812,90.000000,6.199437,-138.256096,713.399304,6.189834,138.260108,0.353131
2133.904507,91.000000,6.204722,-138.162911,713.421074,6.196122,138.167104,0.330859
2133.962484,92.000000,6.210535,-138.070048,713.444534,6.203014,138.074436,0.306925
2134.021579,93.000000,6.216461,-137.977248,713.468351,6.210034,137.981834,0.282638
2134.052166,94.000000,6.219535,-137.882678,713.483048,6.213798,137.887388,0.267321
2134.012103,95.000000,6.215543,-137.783737,713.475138,6.209492,137.788385,0.274235
2133.882370,96.000000,6.202583,-137.679260,713.438540,6.194944,137.683612,0.309361
2133.738102,97.000000,6.188171,-137.573896,713.397295,6.178739,137.577914,0.349056
2133.734053,98.000000,6.187781,-137.477192,713.400905,6.178546,137.481243,0.344642
2133.734709,99.000000,6.187862,-137.380776,713.406018,6.178891,137.384873,0.338749
2133.661619,100.000000,6.180568,-137.279818,713.387541,6.170815,137.283767,0.356055
2133.534382,101.000000,6.167861,-137.175534,713.351746,6.156556,137.179193,0.390392
2133.480241,102.000000,6.162463,-137.075754,713.339330,6.150644,137.079315,0.401737
2133.388005,103.000000,6.153257,-136.973637,713.314731,6.140383,136.977000,0.425064
2133.321657,104.000000,6.146640,-136.873117,713.298411,6.133078,136.876349,0.440248
2133.237483,106.000000,6.138255,-136.675065,713.281286,6.124008,136.678164,0.455361
2133.235847,107.000000,6.138106,-136.578520,713.285657,6.124091,136.581658,0.450199
2133.281887,108.000000,6.142723,-136.484893,713.305272,6.129615,136.488194,0.430045
2133.267815,109.000000,6.141331,-136.387583,713.305664,6.128278,136.390891,0.428795
2133.193064,110.000000,6.133874,-136.286565,713.286652,6.120014,136.289720,0.446628
2133.071037,111.000000,6.121692,-136.182664,713.252523,6.106355,136.185544,0.479326
