u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2127.023153,497.000000,5.523740,-98.601456,713.125090,5.517068,98.604552,0.272578
2127.060908,498.000000,5.527514,-98.506506,713.141600,5.521613,98.509740,0.255478
2127.108082,499.000000,5.532227,-98.411966,713.161116,5.527229,98.415363,0.235420
2127.123460,500.000000,5.533773,-98.316021,713.170481,5.529228,98.319497,0.225349
2127.070185,501.000000,5.528480,-98.217053,713.157927,5.523415,98.220431,0.236845
2126.937573,502.000000,5.515287,-98.114604,713.120045,5.508576,98.117674,0.273259
2126.799467,503.000000,5.501547,-98.011924,713.080413,5.493114,98.014673,0.311395
2126.743769,504.000000,5.496015,-97.912869,713.067085,5.487026,97.915513,0.323651
2126.736644,505.000000,5.495319,-97.815945,713.069260,5.486465,97.818610,0.320655
2126.714263,506.000000,5.493105,-97.718353,713.066564,5.484167,97.721000,0.322451
2126.700577,507.000000,5.491756,-97.621143,713.066642,5.482859,97.623793,0.321518
2126.718184,508.000000,5.493523,-97.525299,713.076707,5.485110,97.528035,0.310759
2126.752221,509.000000,5.496926,-97.430170,713.092015,5.489230,97.433034,0.294842
2126.783214,510.000000,5.500027,-97.334903,713.106350,5.493004,97.337888,0.279881
2126.815107,511.000000,5.503217,-97.239673,713.120973,5.496880,97.242781,0.264638
2126.862416,512.000000,5.507942,-97.145109,713.140516,5.502511,97.148380,0.244553
2126.903515,513.000000,5.512049,-97.050271,713.158076,5.507435,97.053688,0.226420
2126.913720,514.000000,5.513080,-96.954086,713.165773,5.508844,96.957570,0.217990
2126.895982,515.000000,5.511327,-96.856688,713.164548,5.507074,96.860165,0.218339
2126.832037,516.000000,5.504973,-96.757288,713.148572,5.500047,96.760637,0.233202
2126.701569,517.000000,5.491995,-96.655012,713.111360,5.485453,96.658061,0.268958
2126.520653,518.000000,5.473995,-96.550567,713.058051,5.465123,96.553183,0.320552
2126.377558,519.000000,5.459763,-96.447771,713.016817,5.449097,96.450053,0.360265
2126.425870,520.000000,5.464586,-96.353244,713.036665,5.454839,96.355692,0.339881
2126.841404,521.000000,5.505976,-96.274543,713.173729,5.502353,96.278115,0.204169
2127.111073,522.000000,5.532851,-96.189527,713.264261,5.533285,96.193843,0.114238
2127.417111,523.000000,5.563356,-96.106055,713.366432,5.568365,96.111210,0.012857
2127.748552,524.000000,5.596402,-96.023653,713.476746,5.606347,96.029713,-0.096537
2127.936856,525.000000,5.615187,-95.935071,713.541348,5.628038,95.941663,-0.160955
