u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2125.863892,571.000000,5.409360,-91.401627,713.081789,5.403503,91.404609,0.251845
2125.655909,572.000000,5.388676,-91.296484,713.019794,5.380102,91.298962,0.311989
2125.781661,573.000000,5.401204,-91.204985,713.064290,5.394644,91.207831,0.267353
2125.992247,574.000000,5.422179,-91.116936,713.135864,5.418834,91.120371,0.196072
2126.073873,575.000000,5.430319,-91.023613,713.166286,5.428362,91.027300,0.165282
2126.058954,576.000000,5.428848,-90.926351,713.165892,5.426911,90.930038,0.164815
2125.982829,577.000000,5.421284,-90.826600,713.145961,5.418499,90.830127,0.183572
2125.835337,578.000000,5.406617,-90.723956,713.103253,5.401972,90.727137,0.224739
2125.689805,579.000000,5.392148,-90.621404,713.061175,5.385671,90.624244,0.265288
2125.570748,580.000000,5.380314,-90.519937,713.027548,5.372381,90.522505,0.297520
2125.490256,581.000000,5.372319,-90.420041,713.006227,5.363475,90.422438,0.317644
2125.486740,582.000000,5.371983,-90.323263,713.009465,5.363320,90.325690,0.313604
2125.626432,583.000000,5.385897,-90.232270,713.058394,5.379445,90.235100,0.264604
2125.809225,584.000000,5.404104,-90.143004,713.121084,5.400472,90.146350,0.202064
2125.921883,585.000000,5.415331,-90.050894,713.161397,5.413527,90.054573,0.161542
2125.917688,586.000000,5.414928,-89.954067,713.164414,5.413295,89.957774,0.157719
2125.840188,587.000000,5.407228,-89.854290,713.144033,5.404727,89.857834,0.176918
2125.764960,588.000000,5.399755,-89.754611,713.124377,5.396418,89.757997,0.195404
2125.740087,589.000000,5.397293,-89.656958,713.120791,5.393834,89.660318,0.198078
2125.769708,590.000000,5.400256,-89.561492,713.134596,5.397446,89.564968,0.183639
2125.831744,591.000000,5.406445,-89.467321,713.158745,5.404745,89.470998,0.159022
2125.833368,592.000000,5.406621,-89.370725,713.163613,5.405174,89.374446,0.153378
2125.761932,593.000000,5.399525,-89.271209,713.145160,5.397295,89.274781,0.170680
2125.656334,594.000000,5.389029,-89.170334,713.115806,5.385533,89.173670,0.198709
2125.550730,595.000000,5.378534,-89.069467,713.086450,5.373771,89.072566,0.226740
2125.510698,596.000000,5.374564,-88.971221,713.078020,5.369464,88.974254,0.234180
2125.455775,597.000000,5.369113,-88.872384,713.064837,5.363464,88.875313,0.246297
2125.520228,598.000000,5.375541,-88.778296,713.089745,5.371035,88.781432,0.220934
2125.520687,599.000000,5.375601,-88.681661,713.094231,5.371332,88.684836,0.215664
2125.452691,600.000000,5.368849,-88.582310,713.076873,5.363846,88.585346,0.231890
2125.350816,601.000000,5.358726,-88.481622,713.048704,5.352509,88.484431,0.258753
2125.337405,602.000000,5.357406,-88.384442,713.048762,5.351228,88.387255,0.257842
2125.368161,603.000000,5.360481,-88.289008,713.062910,5.354968,88.291940,0.243065
2125.368601,604.000000,5.360539,-88.192373,713.067385,5.355262,88.195345,0.237808
2125.320806,605.000000,5.355797,-88.093835,713.056468,5.350072,88.096721,0.247696
2125.245372,606.000000,5.348306,-87.994212,713.036731,5.341741,87.996940,0.266262
2125.229460,607.000000,5.346737,-87.896936,713.035985,5.340176,87.899661,0.266142
2125.293375,608.000000,5.353110,-87.802798,713.060707,5.347685,87.805729,0.240961
2125.365562,609.000000,5.360307,-87.708979,713.088069,5.356134,87.712137,0.213182
2125.401665,610.000000,5.363914,-87.613738,713.103917,5.360481,87.617028,0.196734
2125.385188,611.000000,5.362289,-87.516432,713.102986,5.358852,87.519718,0.196796
2125.362456,612.000000,5.360041,-87.418881,713.100057,5.356511,87.422147,0.198823
2125.386702,613.000000,5.362468,-87.323169,713.112118,5.359510,87.326536,0.186101
2125.430339,614.000000,5.366825,-87.228210,713.130367,5.364714,87.231730,0.167290
2125.457654,615.000000,5.369557,-87.132610,713.143405,5.368063,87.136240,0.153605
2125.439378,616.000000,5.367753,-87.035230,713.141894,5.366228,87.038851,0.154238
2125.379006,617.000000,5.361759,-86.936213,713.126947,5.359608,86.939714,0.168091
2125.305914,618.000000,5.354501,-86.836705,713.107941,5.351542,86.840054,0.185939
2125.249042,619.000000,5.348856,-86.737832,713.094110,5.345320,86.741072,0.198694
2125.216013,620.000000,5.345584,-86.639888,713.087887,5.341809,86.643080,0.203964
2125.220801,621.000000,5.346075,-86.543412,713.093729,5.342596,86.546655,0.197361
2125.223353,622.000000,5.346343,-86.446847,713.098857,5.343129,86.450135,0.191461
2125.196056,623.000000,5.343641,-86.349127,713.094459,5.340269,86.352383,0.194934
2125.212179,624.000000,5.345260,-86.253086,713.103915,5.342344,86.256422,0.184775
2125.248691,625.000000,5.348907,-86.157828,713.119876,5.346737,86.161298,0.168215
2125.286045,626.000000,5.352638,-86.062599,713.136106,5.351227,86.066205,0.151391
2125.339984,627.000000,5.358020,-85.968004,713.157628,5.357601,85.971789,0.129359
2125.259310,628.000000,5.350007,-85.868228,713.136189,5.348673,85.871841,0.149601
2125.134361,629.000000,5.337589,-85.766758,713.100623,5.334712,85.770083,0.183744
2125.039035,630.000000,5.328120,-85.666435,713.074511,5.324120,85.669550,0.208585
2124.955946,631.000000,5.319868,-85.566588,713.052303,5.314919,85.569524,0.229584
2124.869831,632.000000,5.311316,-85.466631,713.029131,5.305375,85.469381,0.251532
2124.785060,633.000000,5.302898,-85.366733,713.006388,5.295984,85.369300,0.273057
2124.748998,634.000000,5.299326,-85.268700,712.999183,5.292128,85.271212,0.279294
2124.752974,635.000000,5.299736,-85.172196,713.004749,5.292822,85.174756,0.272963
2124.787085,636.000000,5.303143,-85.076838,713.019927,5.296940,85.079526,0.257173
2124.849356,637.000000,5.309351,-84.982547,713.044088,5.304258,84.985436,0.232544
2124.915163,638.000000,5.315911,-84.888385,713.069378,5.311979,84.891484,0.206804
2124.946079,639.000000,5.319001,-84.792891,713.083535,5.315734,84.796109,0.192019
2124.931167,640.000000,5.317532,-84.695657,713.083070,5.314282,84.698874,0.191624
2124.891706,641.000000,5.313621,-84.597493,713.074771,5.310039,84.600646,0.198936
2124.833027,642.000000,5.307798,-84.498604,713.060339,5.303612,84.501642,0.212284
2124.743522,643.000000,5.298909,-84.398555,713.036073,5.293682,84.401398,0.235309
2124.621305,644.000000,5.286768,-84.297279,713.001372,5.280037,84.299842,0.268602
2124.526704,645.000000,5.277374,-84.197054,712.975482,5.269530,84.199408,0.293225
2124.555467,646.000000,5.280249,-84.101480,712.988941,5.273039,84.103947,0.279127
2124.697493,647.000000,5.294388,-84.010161,713.038531,5.289418,84.013037,0.229475
2124.863292,648.000000,5.310895,-83.919723,713.095711,5.308501,83.923070,0.172354
2124.987006,649.000000,5.323217,-83.827691,713.139469,5.322804,83.831399,0.128441
2124.955112,650.000000,5.320058,-83.729814,713.133572,5.319420,83.733478,0.133389
2124.838177,651.000000,5.308440,-83.628756,713.100540,5.306372,83.632152,0.165041
