dataset,image_count,point_count,mean_euclidean_reprojection_error,overall_reprojection_rmse,mean_per_image_rmse,median_per_image_rmse,p95_per_image_rmse,max_per_image_rmse
fit,18,1584,0.10090991854667664,0.11873996257781982,0.1170024602777428,0.11448564752936363,0.15422432273626327,0.16214732825756073
test,6,528,0.10388226807117462,0.12215102463960648,0.12059227004647255,0.11094972491264343,0.15127898380160332,0.15596482157707214
