image,rvec_x,rvec_y,rvec_z,tvec_x_mm,tvec_y_mm,tvec_z_mm
chess 001.tif,-0.072115033634897047,0.66891974333509296,3.0644042197476669,70.263221782894533,86.926221247844794,640.20062549227339
chess 002.tif,0.56147036245631388,0.0020566126192668472,-3.0264417250912405,41.746947617198828,104.22140570732789,699.83473956297303
chess 003.tif,0.23447603722637825,-0.28659891996210796,1.6183483196129098,57.649538973613311,-90.967515034473536,634.81541603858432
chess 004.tif,-0.021149382534651213,-0.050241192878974161,-0.029982346196226469,-153.22646285077099,-106.03125546577716,645.05141295496037
chess 005.tif,-0.054680578890083924,-0.0095993246757469213,1.5334226908549256,111.75332840012173,-96.943560968430461,658.63850895423445
chess 006.tif,-0.010713092383002271,-0.042927665362897049,0.12092193214622816,-102.56287244044255,-76.604512094817579,699.69231747394656
chess 007.tif,-0.0075144306674889277,-0.044536862706461879,-0.0041112491926315782,-32.200404351199388,-113.71599517879754,703.04931995560071
chess 008.tif,-0.0053558879856546778,-0.082338353892521157,-0.87612985887445816,-149.79492635877247,37.515784980368764,695.79149612770789
chess 009.tif,0.076841510143475247,0.070743736847197855,-3.1318041297236028,54.446711010595521,29.869653604213564,712.00996055071391
chess 010.tif,-0.20018129532726289,-0.018448001083218351,-3.1186372653690522,141.11870265357916,38.682077410356882,666.92647158318005
chess 011.tif,-0.051108932970540748,-0.3380736438258603,3.1096763659243623,106.74620426334985,33.292550262283136,697.11132120658044
chess 012.tif,-0.069369757120453651,0.10188438696755045,3.1329905568582643,92.483365056730761,108.42427353490019,705.06699477568736
chess 013.tif,0.02869558182665706,-0.042451344622587761,-1.5797995618330134,-68.972562822201752,111.83084039036305,708.25669337305362
chess 014.tif,-0.0072506672070633549,-0.045804031512867063,-0.041175773526045172,-167.05577703109697,-113.73088378654766,705.72552910610693
chess 015.tif,-0.13419874734917789,-0.20946277286764398,-0.10545248204565195,-155.14618672381349,-105.86544619687699,659.7588280723736
chess 016.tif,-0.20969788913604787,-0.27871536388186846,-1.5822578334348194,-100.90902239952202,97.10850655986944,634.66533848945005
chess 017.tif,-0.066429943441999456,0.44870883614661305,3.0160216809052471,119.49789358762699,19.103903042567403,656.51672169940161
chess 018.tif,-0.010160725271137436,-0.057715174364723842,1.5357884810960958,118.17362595524585,-120.65620850243927,709.04525363208757
