image,status,detection_method,used_for_intrinsics,mean_euclidean_reprojection_error,per_image_rmse,error_stage
chess 001.tif,used,SB,true,0.13598603010177612,0.16214732825756073,final_fit
chess 002.tif,used,SB,true,0.12912227213382721,0.14863269031047821,final_fit
chess 003.tif,used,SB,true,0.13089096546173096,0.15282614529132843,final_fit
chess 004.tif,used,SB,true,0.086467847228050232,0.10124455392360687,final_fit
chess 005.tif,used,SB,true,0.089968152344226837,0.1031288281083107,final_fit
chess 006.tif,used,SB,true,0.07938869297504425,0.095325358211994171,final_fit
chess 007.tif,used,SB,true,0.10487446188926697,0.11779297888278961,final_fit
chess 008.tif,used,SB,true,0.079636134207248688,0.093960948288440704,final_fit
chess 009.tif,used,SB,true,0.095177821815013885,0.11117831617593765,final_fit
chess 010.tif,used,SB,true,0.10660752654075623,0.11981108039617538,final_fit
chess 011.tif,used,SB,true,0.10203159600496292,0.11915240436792374,final_fit
chess 012.tif,used,SB,true,0.077545806765556335,0.089588336646556854,final_fit
chess 013.tif,used,SB,true,0.091860391199588776,0.10616084933280945,final_fit
chess 014.tif,used,SB,true,0.088194385170936584,0.097096711397171021,final_fit
chess 015.tif,used,SB,true,0.095955722033977509,0.11085159331560135,final_fit
chess 016.tif,used,SB,true,0.114754319190979,0.13024502992630005,final_fit
chess 017.tif,used,SB,true,0.10607611387968063,0.12288378179073334,final_fit
chess 018.tif,used,SB,true,0.10184040665626526,0.12401735037565231,final_fit
