u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2134.022003,40.000000,6.215709,-143.087932,713.206798,6.195700,143.090206,0.585673
2134.107570,41.000000,6.224280,-142.997026,713.239126,6.205743,142.999568,0.553020
2134.286168,42.000000,6.242156,-142.912077,713.301210,6.226411,142.915130,0.491106
2134.457475,43.000000,6.259306,-142.826645,713.360971,6.246251,142.830190,0.431476
2134.517936,44.000000,6.265369,-142.734100,713.385276,6.253430,142.737847,0.406711
2134.513322,45.000000,6.264923,-142.637384,713.388761,6.253176,142.641163,0.402419
2134.515136,46.000000,6.265119,-142.541079,713.394302,6.253656,142.544906,0.396105
2134.524100,47.000000,6.266031,-142.445228,713.402129,6.254952,142.449123,0.387543
2134.473698,48.000000,6.261004,-142.345585,713.390962,6.249467,142.349391,0.397658
2134.528101,49.000000,6.266462,-142.252633,713.413325,6.255954,142.256626,0.374803
2134.542214,50.000000,6.267889,-142.157106,713.422797,6.257839,142.161179,0.364623
2134.482502,51.000000,6.261931,-142.056870,713.408648,6.251290,142.060831,0.377672
2134.411609,52.000000,6.254854,-141.955927,713.390921,6.243464,141.959746,0.394238
2134.326041,53.000000,6.246310,-141.854055,713.368500,6.233962,141.857694,0.415420
2134.369988,54.000000,6.250721,-141.760426,713.387511,6.239254,141.764224,0.395861
2134.471360,55.000000,6.260877,-141.670442,713.424894,6.251106,141.674549,0.358235
2134.544632,56.000000,6.268222,-141.578663,713.453289,6.259749,141.583006,0.329449
2134.522491,57.000000,6.266022,-141.480821,713.451154,6.257492,141.485149,0.330683
2134.403093,58.000000,6.254093,-141.376809,713.417900,6.244124,141.380869,0.362518
2134.277824,59.000000,6.241578,-141.272435,713.382770,6.230086,141.276211,0.396198
2134.066436,61.000000,6.220466,-141.066196,713.325040,6.206487,141.069506,0.451236
2134.107770,62.000000,6.224615,-140.972387,713.343204,6.211479,140.975849,0.432510
2134.156795,63.000000,6.229533,-140.879060,713.363828,6.217350,140.882693,0.411364
2134.127828,64.000000,6.226651,-140.780801,713.359503,6.214313,140.784402,0.414752
2134.103301,65.000000,6.224213,-140.682823,713.356597,6.211783,140.686404,0.416745
2134.159929,66.000000,6.229892,-140.589965,713.379651,6.218522,140.593737,0.393210
2134.238640,67.000000,6.237779,-140.498492,713.409770,6.227784,140.502515,0.362728
2134.246133,68.000000,6.238544,-140.402526,713.417104,6.228912,140.406612,0.354651
2134.175858,69.000000,6.231530,-140.301663,713.399558,6.221156,140.305608,0.371040
2134.059624,70.000000,6.219920,-140.197914,713.367309,6.208152,140.201599,0.401887
2133.947838,71.000000,6.208756,-140.094454,713.336486,6.195657,140.097890,0.431332
2133.891045,72.000000,6.203092,-139.994457,713.323253,6.189442,139.997788,0.443481
2133.838592,73.000000,6.197862,-139.894735,713.311408,6.183724,139.897973,0.454264
2133.805683,74.000000,6.194586,-139.796243,713.305812,6.180237,139.799438,0.458902
2133.818888,75.000000,6.195921,-139.700642,713.314964,6.182016,139.703915,0.449037
2133.878663,76.000000,6.201913,-139.607955,713.339011,6.189112,139.611428,0.424527
2133.856120,77.000000,6.199674,-139.510110,713.336727,6.186809,139.513568,0.425907
2133.721573,78.000000,6.186236,-139.405262,713.298621,6.171716,139.408411,0.462515
2133.567870,79.000000,6.170884,-139.299228,713.254392,6.154438,139.302019,0.505144
2133.601071,80.000000,6.174218,-139.204876,713.269931,6.158499,139.207797,0.488998
2133.714963,81.000000,6.185619,-139.115556,713.311276,6.171773,139.118818,0.447476
2133.794785,82.000000,6.193615,-139.024100,713.341728,6.181158,139.027615,0.416667
2133.821316,83.000000,6.196283,-138.929315,713.355134,6.184458,138.932943,0.402619
2133.783342,84.000000,6.192501,-138.830510,713.347907,6.180393,138.834081,0.408861
2133.746877,85.000000,6.188870,-138.731800,713.341163,6.176499,138.735320,0.414629
2133.761201,86.000000,6.190317,-138.636251,713.350661,6.178405,138.639852,0.404424
2133.799049,87.000000,6.194116,-138.542161,713.367684,6.182997,138.545905,0.386820
2133.790766,88.000000,6.193303,-138.445202,713.369950,6.182322,138.448967,0.383727
2133.697558,89.000000,6.183998,-138.342972,713.345051,6.171949,138.346537,0.407348
2133.550884,90.000000,6.169348,-138.237434,713.303054,6.155472,138.240659,0.447782
2133.381036,91.000000,6.152384,-138.130473,713.253651,6.136352,138.133297,0.495500
2133.211660,92.000000,6.135469,-138.023556,713.204405,6.117289,138.025981,0.543063
2133.172397,93.000000,6.131559,-137.924702,713.196761,6.113077,137.927067,0.549716
2133.258226,94.000000,6.140152,-137.833582,713.229109,6.123143,137.836215,0.517041
2133.328383,95.000000,6.147179,-137.741486,713.256448,6.131421,137.744345,0.489292
2133.340238,96.000000,6.148379,-137.645783,713.265144,6.133044,137.648717,0.479876
2133.322595,97.000000,6.146630,-137.548258,713.264407,6.131299,137.551190,0.479736
2133.283054,98.000000,6.142693,-137.449384,713.256667,6.127055,137.452255,0.486484
2133.240113,99.000000,6.138415,-137.350302,713.247839,6.122423,137.353105,0.494301
2133.227588,100.000000,6.137178,-137.253096,713.248736,6.121263,137.255909,0.492555
2133.256431,101.000000,6.140076,-137.158433,713.262859,6.124825,137.161365,0.477803
2133.264145,102.000000,6.140861,-137.062469,713.270224,6.125975,137.065464,0.469695
2133.230812,103.000000,6.137544,-136.963981,713.264464,6.122439,136.966932,0.474496
2133.182787,104.000000,6.132759,-136.864592,713.254005,6.117227,136.867462,0.483917
2133.128853,105.000000,6.127383,-136.764845,713.241656,6.111340,136.767616,0.495197
2133.083378,106.000000,6.122853,-136.665619,713.232011,6.106418,136.668315,0.503817
