scope,region,v_min_px,v_max_px,point_count,unique_frame_count,frame_ids,u_min_px,u_max_px,v_observed_min_px,v_observed_max_px,lambda_truth_min,lambda_truth_max,lambda_truth_span,lambda_truth_median,lambda_truth_p05,lambda_truth_p95,Zc_truth_min_mm,Zc_truth_max_mm,Zc_truth_span_mm,Zc_truth_median_mm,subbin_count,subbin_multi_frame_count,subbin_multi_frame_fraction,multi_frame_subbin_lambda_span_median_mm,multi_frame_subbin_lambda_span_max_mm
fit,bin_1500_1799,1500,1800,3056,18,"1,10,11,12,13,14,15,16,17,18,2,3,4,5,6,7,8,9",1891.52163475,2113.36899457,1500.00016132,1799.99878236,649.045346116,712.615726492,63.5703803768,686.085389723,649.580530917,712.502478784,649.045346116,712.615726492,63.5703803768,686.085389723,10,10,1,63.1850297871,63.2777009037
fit,bin_1800_2099,1800,2100,1741,15,"1,10,11,12,13,16,17,18,2,3,4,5,6,8,9",1888.42955717,2109.45106942,1800.00099086,2099.99953772,648.848952821,712.298907717,63.4499548957,685.721822549,649.231440422,712.154580997,648.848952821,712.298907717,63.4499548957,685.721822549,10,10,1,62.9139025982,63.4209625726
fit,bin_2100_2399,2100,2400,1165,10,"1,12,13,16,18,2,3,5,6,8",1853.42495265,2105.9838402,2100.00201256,2399.96576957,640.233475117,712.019679911,71.7862047949,690.231359629,642.478573884,711.843639996,640.233475117,712.019679911,71.7862047949,690.231359629,10,10,1,66.2709692776,71.5392947368
fit,bin_2400_2699,2400,2700,790,7,"1,12,13,16,2,3,5",1836.55900526,2103.03927415,2400.00178328,2692.02434431,636.068188896,711.744707777,75.6765188811,681.096121359,637.566375876,711.669191792,636.068188896,711.744707777,75.6765188811,681.096121359,10,9,0.9,73.0227522038,75.5933889738
fit,bin_2700_2999,2700,3000,9,1,5,1878.29944075,1879.11474842,2701.01171476,2731.97787458,647.311657442,647.394584179,0.0829267374357,647.337841752,647.314456253,647.387070662,647.311657442,647.394584179,0.0829267374357,647.337841752,2,0,0,,
fit,outside_model_support_bottom,2731.97787458,,1,1,5,1878.51487204,1878.51487204,2731.97787458,2731.97787458,647.311657442,647.311657442,0,647.311657442,647.311657442,647.311657442,647.311657442,647.311657442,0,647.311657442,0,0,,,
validation,global,,,5400,6,"19,20,21,22,23,24",1959.93933926,2131.00472823,296.002612047,2667.9986814,669.38051949,713.638491046,44.257971556,689.428450168,669.931779622,713.281313478,669.38051949,713.638491046,44.257971556,689.428450168,0,0,,,
validation,bin_0000_0299,0,300,3,1,19,2090.05306204,2090.15963316,296.002612047,298.000091257,700.737379917,700.749342616,0.0119626993716,700.743388231,700.737980748,700.748747178,700.737379917,700.749342616,0.0119626993716,700.743388231,1,0,0,,
validation,bin_0300_0599,300,600,560,4,"19,22,23,24",1985.16065048,2131.00472823,301.998364932,599.011877806,670.949914903,713.638491046,42.6885761428,701.565527943,670.99442971,713.593124557,670.949914903,713.638491046,42.6885761428,701.565527943,10,10,1,42.4525822049,42.4707740116
validation,bin_0600_0899,600,900,708,5,"19,21,22,23,24",1980.07889243,2126.53121075,600.000947776,899.996670178,670.645621347,713.394078512,42.7484571647,702.623691568,670.723265428,713.356910879,670.645621347,713.394078512,42.7484571647,702.623691568,10,10,1,42.4918320957,42.5101724878
validation,bin_0900_1199,900,1200,1025,6,"19,20,21,22,23,24",1975.09236155,2121.86466964,900.00130187,1199.00173936,670.343208238,713.127096462,42.7838882238,678.049890653,670.450260019,713.062864452,670.343208238,713.127096462,42.7838882238,678.049890653,10,10,1,42.5314463422,42.5490983672
validation,bin_1200_1499,1200,1500,989,6,"19,20,21,22,23,24",1970.98523006,2117.66032648,1200.99945739,1499.9995257,670.043736279,712.866515819,42.8227795398,706.987250947,670.121156242,712.80430209,670.043736279,712.866515819,42.8227795398,706.987250947,10,10,1,42.5712801362,42.5891548079
validation,bin_1500_1799,1500,1800,931,6,"19,20,21,22,23,24",1967.03821219,2113.39465381,1500.99679298,1799.99969718,669.746075463,712.606504085,42.8604286214,677.627875853,669.866485951,712.562576573,669.746075463,712.606504085,42.8604286214,677.627875853,10,10,1,42.6056189303,42.6247072161
validation,bin_1800_2099,1800,2100,522,4,"20,21,22,24",1963.72481891,2109.65203089,1800.00614479,2099.03317679,669.454173782,712.301366441,42.8471926589,677.30609453,669.521181682,712.270414914,669.454173782,712.301366441,42.8471926589,677.30609453,10,10,1,42.5934328549,42.6111567223
validation,bin_2100_2399,2100,2400,484,4,"20,21,22,24",1962.91776928,2106.43602685,2100.00115249,2394.0015397,669.394260161,712.039105835,42.6448456736,677.157428578,669.898689889,712.009601486,669.394260161,712.039105835,42.6448456736,677.157428578,10,8,0.8,41.9640810422,42.6181571476
validation,bin_2400_2699,2400,2700,178,2,"20,22",1959.93933926,2103.31377661,2406.96903592,2667.9986814,669.38051949,711.769398833,42.3888793431,711.640458012,711.544392201,711.745069983,669.38051949,711.769398833,42.3888793431,711.640458012,9,4,0.444444444444,42.2832976037,42.3146544188
