frame_index,filename,platform_id,scan_start,scan_end,point_count,z_median_mm,z_spatial_sigma_mm,height_relative_mm,reference_platform_id
0,laser 002.tif,p01,1508,1622,115,-0.1976970902164794,0.029703437690455366,0.0,p01
1,laser 002_02.tif,p01,1508,1622,115,-0.19208752740212276,0.0290228062834753,0.0,p01
2,laser 002_03.tif,p01,1508,1622,115,-0.1964239054520931,0.028560805372523153,0.0,p01
3,laser 002_04.tif,p01,1508,1622,115,-0.1921115329157601,0.02918674237280374,0.0,p01
4,laser 002_05.tif,p01,1508,1622,115,-0.18642939158905847,0.029255514103261552,0.0,p01
5,laser 002_06.tif,p01,1508,1622,115,-0.18797507022986792,0.029185642179210856,0.0,p01
6,laser 002_07.tif,p01,1508,1622,115,-0.18786294661867942,0.028502969850439923,0.0,p01
7,laser 002_08.tif,p01,1508,1622,115,-0.19362831055605056,0.028950879902610464,0.0,p01
8,laser 002_09.tif,p01,1508,1622,115,-0.1951213028029315,0.028810878210898914,0.0,p01
9,laser 002_10.tif,p01,1508,1622,115,-0.19879233098220084,0.029165014732317588,0.0,p01
10,laser 002_11.tif,p01,1508,1622,115,-0.19462090572494617,0.028896707888037398,0.0,p01
11,laser 002_12.tif,p01,1508,1622,115,-0.19117719317910087,0.029036356915049775,0.0,p01
12,laser 002_13.tif,p01,1508,1622,115,-0.19252036927775862,0.029149152402718034,0.0,p01
13,laser 002_14.tif,p01,1508,1622,115,-0.1906082634352515,0.028334509760644395,0.0,p01
14,laser 002_15.tif,p01,1508,1622,115,-0.18613852245323415,0.02920113326106157,0.0,p01
15,laser 002_16.tif,p01,1508,1622,115,-0.18947637777887394,0.02881872069610807,0.0,p01
16,laser 002_17.tif,p01,1508,1622,115,-0.18832715536223077,0.02917279304624025,0.0,p01
17,laser 002_18.tif,p01,1508,1622,115,-0.18672842543196566,0.028822115112112887,0.0,p01
18,laser 002_19.tif,p01,1508,1622,115,-0.18635588823076432,0.02888740300360299,0.0,p01
19,laser 002_20.tif,p01,1508,1622,115,-0.19157725617003507,0.02887187860682487,0.0,p01
20,laser 002_21.tif,p01,1508,1622,115,-0.18947090620804374,0.02923927960113851,0.0,p01
21,laser 002_22.tif,p01,1508,1622,115,-0.19576983180422758,0.029225302324939046,0.0,p01
22,laser 002_23.tif,p01,1508,1622,115,-0.19076640858827432,0.028075330361577687,0.0,p01
23,laser 002_24.tif,p01,1508,1622,115,-0.18957790738011226,0.029268155287414423,0.0,p01
24,laser 002_25.tif,p01,1508,1622,115,-0.1949056905056068,0.02894290969967049,0.0,p01
25,laser 002_26.tif,p01,1508,1622,115,-0.1950329391604555,0.029439101607397912,0.0,p01
26,laser 002_27.tif,p01,1508,1622,115,-0.19248083673176097,0.028427661010007082,0.0,p01
27,laser 002_28.tif,p01,1508,1622,115,-0.19376723916047922,0.029716832619371907,0.0,p01
28,laser 002_29.tif,p01,1508,1622,115,-0.1886844612868117,0.029144795744200504,0.0,p01
29,laser 002_30.tif,p01,1508,1622,115,-0.19026639923288258,0.02885229547561612,0.0,p01
30,laser 002_31.tif,p01,1508,1622,115,-0.1865376519858728,0.028427875542703603,0.0,p01
31,laser 002_32.tif,p01,1508,1622,115,-0.18781742141061386,0.028742548053446282,0.0,p01
32,laser 002_33.tif,p01,1508,1622,115,-0.1928658128514371,0.029441291328176092,0.0,p01
33,laser 002_34.tif,p01,1508,1622,115,-0.1939321186309826,0.029448596179706285,0.0,p01
34,laser 002_35.tif,p01,1508,1622,115,-0.19092832239937252,0.028308517686920557,0.0,p01
35,laser 002_36.tif,p01,1508,1622,115,-0.19091235497205616,0.028894994003713776,0.0,p01
36,laser 002_37.tif,p01,1508,1622,115,-0.19401914907359696,0.029055726944583544,0.0,p01
37,laser 002_38.tif,p01,1508,1622,115,-0.19252496341823644,0.028898623157696188,0.0,p01
38,laser 002_39.tif,p01,1508,1622,115,-0.19385635173819082,0.028712783362244407,0.0,p01
39,laser 002_40.tif,p01,1508,1622,115,-0.1930350683804818,0.028957905983561114,0.0,p01
40,laser 002_41.tif,p01,1508,1622,115,-0.1912655724365777,0.028365285114672102,0.0,p01
41,laser 002_42.tif,p01,1508,1622,115,-0.1904296937707386,0.028884767156844446,0.0,p01
42,laser 002_43.tif,p01,1508,1622,115,-0.19178868607173172,0.02900794037856939,0.0,p01
43,laser 002_44.tif,p01,1508,1622,115,-0.1925867526173306,0.029222739462093847,0.0,p01
44,laser 002_45.tif,p01,1508,1622,115,-0.19562931517953075,0.029290413694077033,0.0,p01
45,laser 002_46.tif,p01,1508,1622,115,-0.1960861105466165,0.028838706484098642,0.0,p01
46,laser 002_47.tif,p01,1508,1622,115,-0.19471059752913789,0.02875444294403364,0.0,p01
47,laser 002_48.tif,p01,1508,1622,115,-0.1996031587265179,0.029639180149807157,0.0,p01
48,laser 002_49.tif,p01,1508,1622,115,-0.19881514982341741,0.02968562058204505,0.0,p01
49,laser 002_50.tif,p01,1508,1622,115,-0.1919244319479958,0.02970621191070939,0.0,p01
0,laser 002.tif,p02,1711,1787,77,29.766609677410315,0.01726239534359156,29.964306767626795,p01
1,laser 002_02.tif,p02,1711,1787,77,29.767749809018255,0.01863836815554049,29.959837336420378,p01
2,laser 002_03.tif,p02,1711,1787,77,29.767648300870974,0.01808505179951174,29.964072206323067,p01
3,laser 002_04.tif,p02,1711,1787,77,29.766242438830204,0.01992763381746881,29.958353971745964,p01
4,laser 002_05.tif,p02,1711,1787,77,29.769991358571588,0.01725226119555443,29.956420750160646,p01
5,laser 002_06.tif,p02,1711,1787,77,29.769937806889175,0.018015053213005006,29.957912877119043,p01
6,laser 002_07.tif,p02,1711,1787,77,29.766450870981316,0.016146970433449762,29.954313817599996,p01
7,laser 002_08.tif,p02,1711,1787,77,29.766922580536175,0.01940876758083134,29.960550891092225,p01
8,laser 002_09.tif,p02,1711,1787,77,29.763443735787746,0.020756240974065535,29.958565038590677,p01
9,laser 002_10.tif,p02,1711,1787,77,29.76557611433634,0.019012925203866167,29.96436844531854,p01
10,laser 002_11.tif,p02,1711,1787,77,29.76792321949779,0.016373134072311092,29.962544125222735,p01
11,laser 002_12.tif,p02,1711,1787,77,29.770118922650568,0.018273573034263812,29.96129611582967,p01
12,laser 002_13.tif,p02,1711,1787,77,29.77166947132673,0.017401734866378634,29.96418984060449,p01
13,laser 002_14.tif,p02,1711,1787,77,29.773804126180266,0.01875403203360873,29.964412389615518,p01
14,laser 002_15.tif,p02,1711,1787,77,29.774426423666114,0.018476765489241643,29.960564946119348,p01
15,laser 002_16.tif,p02,1711,1787,77,29.770809529156736,0.01682477863473913,29.96028590693561,p01
16,laser 002_17.tif,p02,1711,1787,77,29.772148237650185,0.019718376721874736,29.960475393012416,p01
17,laser 002_18.tif,p02,1711,1787,77,29.772308248066565,0.017351885296025212,29.95903667349853,p01
18,laser 002_19.tif,p02,1711,1787,77,29.774344898712116,0.017527444988694633,29.96070078694288,p01
19,laser 002_20.tif,p02,1711,1787,77,29.771056970045493,0.019359995576278644,29.962634226215528,p01
20,laser 002_21.tif,p02,1711,1787,77,29.772432391867255,0.017134627596162324,29.9619032980753,p01
21,laser 002_22.tif,p02,1711,1787,77,29.76494534925996,0.01714084055214879,29.960715181064188,p01
22,laser 002_23.tif,p02,1711,1787,77,29.77283266347365,0.018197905385272762,29.963599072061925,p01
23,laser 002_24.tif,p02,1711,1787,77,29.767358904029834,0.01747441057761957,29.956936811409946,p01
24,laser 002_25.tif,p02,1711,1787,77,29.767868205090167,0.018326841586273762,29.962773895595774,p01
25,laser 002_26.tif,p02,1711,1787,77,29.765641814368337,0.01993536436466711,29.960674753528792,p01
26,laser 002_27.tif,p02,1711,1787,77,29.7708494126706,0.017616447422818395,29.96333024940236,p01
27,laser 002_28.tif,p02,1711,1787,77,29.77258147439693,0.01965282977975153,29.96634871355741,p01
28,laser 002_29.tif,p02,1711,1787,77,29.77351894468461,0.018987242058613917,29.962203405971422,p01
29,laser 002_30.tif,p02,1711,1787,77,29.76962916052605,0.016006245359902433,29.959895559758934,p01
30,laser 002_31.tif,p02,1711,1787,77,29.77052612683633,0.02078026065207018,29.957063778822203,p01
31,laser 002_32.tif,p02,1711,1787,77,29.769823634124123,0.019712460859286088,29.957641055534737,p01
32,laser 002_33.tif,p02,1711,1787,77,29.769860277800717,0.018255088209647025,29.962726090652154,p01
33,laser 002_34.tif,p02,1711,1787,77,29.770619672711064,0.01814748650826886,29.964551791342046,p01
34,laser 002_35.tif,p02,1711,1787,77,29.774428917939986,0.020119664060489047,29.965357240339358,p01
35,laser 002_36.tif,p02,1711,1787,77,29.770500716794686,0.018436301724904198,29.961413071766742,p01
36,laser 002_37.tif,p02,1711,1787,77,29.762867504155793,0.01694730071239076,29.95688665322939,p01
37,laser 002_38.tif,p02,1711,1787,77,29.76901934019645,0.01716423381845496,29.961544303614687,p01
38,laser 002_39.tif,p02,1711,1787,77,29.769685637493126,0.016749474834358714,29.963541989231317,p01
39,laser 002_40.tif,p02,1711,1787,77,29.770535001531925,0.01719158035329172,29.963570069912407,p01
40,laser 002_41.tif,p02,1711,1787,77,29.77082252006244,0.018375685407269714,29.962088092499016,p01
41,laser 002_42.tif,p02,1711,1787,77,29.76870096878713,0.016505301017676624,29.959130662557868,p01
42,laser 002_43.tif,p02,1711,1787,77,29.768659621421193,0.017301132393875394,29.960448307492925,p01
