reference_plane_mode,residual_bin_count,residual_mean_mm,residual_median_mm,residual_mae_mm,residual_rms_mm,residual_p95_abs_mm,median_frame_rms_mm,median_pair_correlation_overlap_ge_100,common_median_profile_explained_energy_fraction
self_fitted,40924,-5.34170173314224e-15,-0.001164203077857761,0.04699910617035027,0.062484147492219325,0.1303284843324189,0.06127827507241969,0.47048475133995504,0.4839129816345914
fixed_normal_per_frame_offset,44756,0.016999913017249086,0.0,0.10063834612119046,0.1567576332630531,0.38609775,0.15513489469007286,0.2977715197899427,0.2895685197842486
fixed_ground_plane,44756,-0.04355473176780767,-0.063544,0.12300971961301278,0.16417459389208938,0.33617275,0.16380281242029737,0.29777151978994276,0.3270716993226247
