mode,median_pair_correlation,fraction_pair_corr_ge_0.5,explained_residual_energy,median_residual_std_mm,median_abs_bias_mm,sign_mixing_fraction,top_region_std,middle_region_std,bottom_region_std,well_supported_row_count,retained_pair_count
self_fitted,0.47048475133995504,0.46373626373626375,0.4839129816345914,0.03768523071809226,0.028498779915705368,0.21892816419612315,0.03749335252478035,0.03774291894123596,0.045263627229809644,2631,455
fixed_normal_per_frame_offset,0.2977715197899427,0.265658747300216,0.2895685197842486,0.11545370935720864,0.035456,0.27884615384615385,0.18596558055736367,0.10123476060893519,0.17547562746594902,2912,463
fixed_ground_plane,0.29777151978994276,0.265658747300216,0.3270716993226247,0.11839340383181438,0.06266475,0.15487637362637363,0.18848627531317375,0.10536829644678698,0.18386445428433307,2912,463
