frame_id,fixed_normal_offset_mm,offset_from_global_Z0_mm,apparent_tilt_deg,self_fit_condition_number
001,-0.075298,-0.075298,59.1725097619068,8094.959775917158
002,-0.028038,-0.028038,12.861052720011878,8521.96617141001
003,-0.070007,-0.070007,62.21932353491592,9874.878007772573
004,-0.009573,-0.009573,32.908207386420415,2343.7049799600086
005,-0.016936,-0.016936,37.382684409939216,2776.5443851696123
006,-0.1579575,-0.1579575,16.424424293357482,2771.4786310204554
007,-0.112707,-0.112707,13.167153835237777,2816.970709685958
008,-0.080144,-0.080144,41.47718737727416,2658.621475664448
009,-0.081046,-0.081046,48.30545914855812,5230.813195667909
010,-0.06538949999999999,-0.06538949999999999,42.218897900840894,4785.884695049871
011,-0.069466,-0.069466,40.08848312747603,2699.5723529681754
012,-0.052191,-0.052191,12.049062289510255,2821.7340890055393
013,-0.0575875,-0.0575875,12.561682573174513,2811.5978256446897
014,-0.0575035,-0.0575035,12.487084011618188,2811.0390385188707
015,-0.043009500000000006,-0.043009500000000006,1.845847897539712,3024.0868625808457
016,-0.060658000000000004,-0.060658000000000004,11.767276723571507,2925.4994567649474
017,-0.066843,-0.066843,16.26827330470709,3344.136157543109
018,-0.064147,-0.064147,75.86756136629803,8447.5823461556
019,-0.012014,-0.012014,9.268716817974532,7895.044126543513
020,-0.013936500000000001,-0.013936500000000001,3.903268435585174,3352.3003614613563
021,-0.0635425,-0.0635425,33.33043249427058,2668.851113706282
022,-0.082424,-0.082424,34.185545595448495,5048.50292187693
023,-0.029229,-0.029229,38.53402599520209,5574.313986780875
024,-0.062888,-0.062888,37.65188876694269,2702.971931890692
025,-0.068881,-0.068881,14.062190720971346,2972.225108481153
026,-0.044708,-0.044708,32.51513001531468,3108.261583513046
027,-0.103935,-0.103935,2.1178031761597156,5459.8934999110625
028,-0.0628685,-0.0628685,62.381278588972755,6324.8619284643255
029,-0.048964,-0.048964,33.75384834328825,2581.0833901027654
030,-0.07413,-0.07413,21.756995696896865,2719.3735527921317
031,-0.068224,-0.068224,33.00458598871485,4123.184626117661
