u,y_ref_observed_px,y_ref_short_gap_px,y_ref_smooth_px,sigma_ref_px,valid_fraction,valid_frame_count,fwhm_p50_px,source
84,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
85,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
86,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
87,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
88,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
89,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
90,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
91,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
92,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
93,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
94,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
95,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
96,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
97,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
98,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
99,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
100,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
101,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
102,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
103,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
104,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
105,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
106,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
107,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
108,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
109,NaN,NaN,NaN,NaN,0.78,39,NaN,outside_reference_surface
110,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
111,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
112,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
113,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
114,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
115,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
116,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
117,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
118,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
119,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
120,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
121,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
122,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
123,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
124,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
125,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
126,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
127,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
128,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
129,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
130,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
131,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
132,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
133,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
134,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
135,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
136,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
137,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
138,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
139,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
140,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
141,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
142,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
143,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
144,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
145,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
146,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
147,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
148,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
149,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
150,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
151,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
152,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
153,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
154,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
155,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
156,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
157,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
158,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
159,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
160,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
161,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
162,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
163,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
164,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
165,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
166,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
167,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
168,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
169,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
170,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
171,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
172,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
173,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
174,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
175,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
176,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
177,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
178,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
179,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
180,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
181,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
182,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
183,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
184,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
185,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
186,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
187,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
188,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
189,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
190,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
191,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
192,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
193,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
194,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
195,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
196,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
197,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
198,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
199,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
200,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
201,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
202,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
203,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
204,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
205,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
206,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
207,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
208,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
209,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
210,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
211,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
212,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
213,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
214,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
215,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
216,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
217,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
218,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
219,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
220,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
221,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
222,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
223,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
224,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
225,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
