roi_id,height_mm,trim_px,x_start,x_end,width_px,valid_column_count,available,unavailable_reason,delta_y_median_px,sensitivity_median_px_per_mm,relative_change_vs_trim0,roi_stable,roi_sensitive
h001,1.0,0,1800,1833,34,32,true,,-1.3640244469519303,1.3640244469519303,0.0,true,false
h001,1.0,2,1802,1831,30,29,true,,-1.3580931984133713,1.3580931984133713,0.00434834474690907,true,false
h001,1.0,3,1803,1830,28,27,true,,-1.3580931984133713,1.3580931984133713,0.00434834474690907,true,false
h001,1.0,4,1804,1829,26,26,true,,-1.359955114644663,1.359955114644663,0.002983327986797268,true,false
h010,10.0,0,1857,1899,43,43,true,,-12.211179354670207,1.2211179354670207,0.0,true,false
h010,10.0,2,1859,1897,39,39,true,,-12.212361141723136,1.2212361141723136,9.677910860235675e-05,true,false
h010,10.0,3,1860,1896,37,37,true,,-12.212361141723136,1.2212361141723136,9.677910860235675e-05,true,false
h010,10.0,4,1861,1895,35,35,true,,-12.247455623324186,1.2247455623324186,0.0029707424320243574,true,false
h030,30.0,0,1923,1957,35,35,true,,-37.06309214439193,1.2354364048130644,0.0,true,false
h030,30.0,2,1925,1955,31,31,true,,-37.055467081085,1.2351822360361666,0.00020573197932938203,true,false
h030,30.0,3,1926,1954,29,29,true,,-37.04727781959343,1.2349092606531145,0.00042668660069935735,true,false
h030,30.0,4,1927,1953,27,27,true,,-37.04727781959343,1.2349092606531145,0.00042668660069935735,true,false
