segment_id,segment_role,u_start,u_end,width_px,point_count,rmse_px,mae_px,p95_abs_error_px,max_abs_error_px
S001,boundary,1023,1129,107,107,0.3249904852056701,0.2755603739288547,0.5867636626560853,0.7100461372793916
S002,interior,1244,1349,106,106,0.16316407564424695,0.1455460183106131,0.28320622213621505,0.30663856236060383
S003,interior,1463,1569,107,107,0.17025836306430425,0.1494933498609394,0.27318239926908056,0.3532568098223692
S004,interior,1682,1787,106,106,0.1819361111883063,0.1594941004257137,0.31477254176550673,0.41755681226277375
S005,interior,1901,2006,106,106,0.18345751650437894,0.14877314779154863,0.36942552030413367,0.43175702655537407
S006,interior,2120,2125,6,6,0.1354498980868943,0.11759396430602465,0.20211470849818625,0.2120747129299616
S007,boundary,2131,2187,57,57,0.3868739329488203,0.34004542549162087,0.6609254087264617,0.737310555382237
