case_id,role,dataset_id,series,roi_start_u,roi_end_u,frame_count,expansion_each_side_px,opportunity_count,valid_count,valid_fraction,region_start_p50_px,region_end_p50_px,region_size_p50_px,boundary_clearance_min_px,boundary_clearance_p05_px,boundary_clearance_p50_px,response_mean,response_p50,response_p95,paired_to_formal_count,paired_to_formal_fraction,center_shift_vs_formal_p50_px,center_shift_vs_formal_p95_px,center_shift_vs_formal_max_px,same_floor_candidate_vs_formal_fraction,response_ratio_vs_formal_p50,response_ratio_vs_formal_p95
B05_A10_full_scanlines,Stage 2A boundary-sensitive positive,B05_A10,multiheight,,,50,0,122400,31759,0.259468954248366,793.0,895.0,102.0,0.9822273794561625,3.527875527739525,48.87092433869839,11.419678250883527,11.887272834777832,20.97023468017578,31759,0.259468954248366,0.0,0.0,0.0,1.0,1.0,1.0
B05_A10_full_scanlines,Stage 2A boundary-sensitive positive,B05_A10,multiheight,,,50,8,122400,47704,0.38973856209150326,785.0,903.0,118.0,0.45305460691452026,0.4771090030670166,40.506878554821014,10.397670360423566,10.467525005340576,20.3047511100769,31735,0.2592728758169935,0.0,0.05538227856159208,2.3049713554792106,0.9907357806837876,1.0,1.0626111660105149
B05_A10_full_scanlines,Stage 2A boundary-sensitive positive,B05_A10,multiheight,,,50,16,122400,58030,0.47410130718954246,777.0,911.0,134.0,0.4512820839881897,4.556763200461864,20.139202527701855,11.108525494724518,11.325383186340332,19.983366775512692,31735,0.2592728758169935,0.0,0.05538227856159208,2.3049713554792106,0.9907357806837876,1.0,1.0626111660105149
B05_A10_full_scanlines,Stage 2A boundary-sensitive positive,B05_A10,multiheight,,,50,32,122400,65942,0.5387418300653595,761.0,927.0,166.0,0.46089088916778564,13.349572311341763,26.869149945676327,11.605821294242896,11.515923976898193,21.707587909698486,31735,0.2592728758169935,0.0,0.05538227856159208,2.3049713554792106,0.9907357806837876,1.0,1.0626111660105149
B05_A10_full_scanlines,Stage 2A boundary-sensitive positive,B05_A10,multiheight,,,50,48,122400,66086,0.5399183006535948,745.0,943.0,198.0,16.22703854739666,29.333994783461094,42.856344386935234,11.592278150131948,11.50300931930542,21.7015962600708,31735,0.2592728758169935,0.0,0.05538227856159208,2.3049713554792106,0.9907357806837876,1.0,1.0626111660105149
B05_A10_boundary_sensitive_h10,isolated boundary-sensitive H10 ROI,B05_A10,multiheight,1857,1899,50,0,2150,2150,1.0,793.0,895.0,102.0,2.841251239180565,2.9889017089270054,3.5042410790920258,3.9097807945207106,3.7826544046401978,5.6749692201614375,2150,1.0,0.0,0.0,0.0,1.0,1.0,1.0
B05_A10_boundary_sensitive_h10,isolated boundary-sensitive H10 ROI,B05_A10,multiheight,1857,1899,50,8,2150,2150,1.0,785.0,903.0,118.0,11.018217265605927,11.133650072664022,11.557804703712463,4.427969535007033,4.156993389129639,6.077477121353149,2150,1.0,0.06119142472743988,0.15316273244097828,0.20281963795423508,0.9162790697674419,1.0647124700379234,1.297479833205767
B05_A10_boundary_sensitive_h10,isolated boundary-sensitive H10 ROI,B05_A10,multiheight,1857,1899,50,16,2150,2150,1.0,777.0,911.0,134.0,19.018217265605927,19.13365007266402,19.557804703712463,4.427969535007033,4.156993389129639,6.077477121353149,2150,1.0,0.06119142472743988,0.15316273244097828,0.20281963795423508,0.9162790697674419,1.0647124700379234,1.297479833205767
B05_A10_boundary_sensitive_h10,isolated boundary-sensitive H10 ROI,B05_A10,multiheight,1857,1899,50,32,2150,2150,1.0,761.0,927.0,166.0,35.01821726560593,35.133650072664025,35.55780470371246,4.427969535007033,4.156993389129639,6.077477121353149,2150,1.0,0.06119142472743988,0.15316273244097828,0.20281963795423508,0.9162790697674419,1.0647124700379234,1.297479833205767
B05_A10_boundary_sensitive_h10,isolated boundary-sensitive H10 ROI,B05_A10,multiheight,1857,1899,50,48,2150,2150,1.0,745.0,943.0,198.0,51.01821726560593,51.133650072664025,51.55780470371246,4.427969535007033,4.156993389129639,6.077477121353149,2150,1.0,0.06119142472743988,0.15316273244097828,0.20281963795423508,0.9162790697674419,1.0647124700379234,1.297479833205767
B12p5_A10_normal_reference,normal negative control,B12p5_A10,reference,,,50,0,122400,53276,0.43526143790849675,908.0,1024.0,116.0,7.154840767383575,32.90260309726,52.84118980914354,15.203356422947659,15.10170316696167,24.759713649749756,53276,0.43526143790849675,0.0,0.0,0.0,1.0,1.0,1.0
B12p5_A10_normal_reference,normal negative control,B12p5_A10,reference,,,50,8,122400,53276,0.43526143790849675,900.0,1032.0,132.0,15.154840767383575,40.90260309726,60.84118980914354,15.203356422947659,15.10170316696167,24.759713649749756,53276,0.43526143790849675,0.0,0.0,0.0,1.0,1.0,1.0
B12p5_A10_normal_reference,normal negative control,B12p5_A10,reference,,,50,16,122400,53276,0.43526143790849675,892.0,1040.0,148.0,23.154840767383575,48.90260309726,68.84118980914354,15.203356422947659,15.10170316696167,24.759713649749756,53276,0.43526143790849675,0.0,0.0,0.0,1.0,1.0,1.0
B12p5_A10_normal_reference,normal negative control,B12p5_A10,reference,,,50,32,122400,53276,0.43526143790849675,876.0,1056.0,180.0,39.154840767383575,64.90260309726,84.84118980914354,15.203356422947659,15.10170316696167,24.759713649749756,53276,0.43526143790849675,0.0,0.0,0.0,1.0,1.0,1.0
B12p5_A10_normal_reference,normal negative control,B12p5_A10,reference,,,50,48,122400,53276,0.43526143790849675,860.0,1072.0,212.0,55.154840767383575,80.90260309726,100.84118980914354,15.203356422947659,15.10170316696167,24.759713649749756,53276,0.43526143790849675,0.0,0.0,0.0,1.0,1.0,1.0
B05_A10_h1_truncation,known H1 truncation,B05_A10,multiheight,1800,1833,50,0,1700,0,0.0,793.0,895.0,102.0,,,,,,,0,0.0,,,,,,
B05_A10_h1_truncation,known H1 truncation,B05_A10,multiheight,1800,1833,50,8,1700,1535,0.9029411764705882,785.0,903.0,118.0,0.46389973163604736,0.46684449911117554,0.4786073565483093,4.1212697153371005,4.084974765777588,4.842453289031982,0,0.0,,,,,,
B05_A10_h1_truncation,known H1 truncation,B05_A10,multiheight,1800,1833,50,16,1700,1657,0.9747058823529412,777.0,911.0,134.0,7.987179338000715,8.068096461892129,8.22336295247078,4.363312199379064,4.391053199768066,5.38583402633667,0,0.0,,,,,,
B05_A10_h1_truncation,known H1 truncation,B05_A10,multiheight,1800,1833,50,32,1700,1657,0.9747058823529412,761.0,927.0,166.0,23.987179338000715,24.06809646189213,24.22336295247078,4.363312199379064,4.391053199768066,5.38583402633667,0,0.0,,,,,,
B05_A10_h1_truncation,known H1 truncation,B05_A10,multiheight,1800,1833,50,48,1700,1657,0.9747058823529412,745.0,943.0,198.0,39.987179338000715,40.068096461892125,40.22336295247078,4.363312199379064,4.391053199768066,5.38583402633667,0,0.0,,,,,,
