bin_width_px,v_start_px,v_end_px,v_center_px,model,frame027_point_count,original_status,leave027_status,original_point_count,leave027_point_count,original_unique_frame_count,leave027_unique_frame_count,original_u_ref_px,leave027_u_ref_px,original_b_mm,leave027_b_mm,delta_b_leave_minus_original_mm,original_delta_g_mm_per_px,leave027_delta_g_mm_per_px,delta_g_leave_minus_original_mm_per_px,original_weighted_rmse_mm,leave027_weighted_rmse_mm
30,0,30,15.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,0,30,15.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,30,60,45.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,30,60,45.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,60,90,75.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,60,90,75.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,90,120,105.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,90,120,105.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,120,150,135.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,120,150,135.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,150,180,165.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,150,180,165.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,180,210,195.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,180,210,195.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,210,240,225.0,M0,0,insufficient_frames,insufficient_frames,1,1,1,1,2071.423531377006,2071.423531377006,nan,nan,nan,nan,nan,nan,nan,nan
30,210,240,225.0,M_local_fullfit,0,insufficient_frames,insufficient_frames,1,1,1,1,2071.423531377006,2071.423531377006,nan,nan,nan,nan,nan,nan,nan,nan
30,240,270,255.0,M0,0,ok,ok,15,15,2,2,1973.9876164637617,1973.9876164637617,0.1050824738891661,0.1050824738891661,0.0,0.0007386628431595369,0.0007386628431595369,0.0,0.056037213534935786,0.056037213534935786
