frame_id,split,source,point_index,u_px,v_px,formal_domain,region,lambda_truth_mm,lambda_M0_mm,lambda_M_local_fullfit_mm,M0_valid,M_local_fullfit_valid,M0_residual_e_lambda_mm,M_local_fullfit_residual_e_lambda_mm,M0_invalid_reason,M_local_fullfit_invalid_reason,M0_offset_removed_mm,M0_v_line_prediction_mm,M0_v_line_remaining_mm,M_local_fullfit_offset_removed_mm,M_local_fullfit_v_line_prediction_mm,M_local_fullfit_v_line_remaining_mm
027,fit,fit_edge_extension,0,1832.7752741462782,373.04409331097344,True,middle_formal,629.6361773468312,nan,nan,False,False,nan,nan,no_valid_intersection_or_filter,no_valid_intersection_or_filter,,,,,,
027,fit,fit_edge_extension,1,1832.9598638795137,374.00714786945656,True,middle_formal,629.6752797970803,nan,nan,False,False,nan,nan,no_valid_intersection_or_filter,no_valid_intersection_or_filter,,,,,,
027,fit,fit_edge_extension,2,1833.0941773988977,374.9903017827185,True,middle_formal,629.7149099584668,nan,nan,False,False,nan,nan,no_valid_intersection_or_filter,no_valid_intersection_or_filter,,,,,,
027,fit,fit_edge_extension,3,1833.1751590765518,375.992243208834,True,middle_formal,629.75499954924,nan,nan,False,False,nan,nan,no_valid_intersection_or_filter,no_valid_intersection_or_filter,,,,,,
027,fit,fit_edge_extension,4,1833.2417111830673,376.986679412268,True,middle_formal,629.7947188458302,nan,nan,False,False,nan,nan,no_valid_intersection_or_filter,no_valid_intersection_or_filter,,,,,,
027,fit,fit_edge_extension,5,1833.3338253504944,377.96442205096434,True,middle_formal,629.8339207192909,nan,nan,False,False,nan,nan,no_valid_intersection_or_filter,no_valid_intersection_or_filter,,,,,,
027,fit,fit_edge_extension,6,1833.4830799994868,379.0890289875681,True,middle_formal,629.879251605399,nan,nan,False,False,nan,nan,no_valid_intersection_or_filter,no_valid_intersection_or_filter,,,,,,
027,fit,fit_edge_extension,7,1833.6926099872883,380.0703176213516,True,middle_formal,629.9192406423084,nan,nan,False,False,nan,nan,no_valid_intersection_or_filter,no_valid_intersection_or_filter,,,,,,
027,fit,fit_edge_extension,8,1833.9079207414484,381.01952421453944,True,middle_formal,629.9579954685117,nan,nan,False,False,nan,nan,no_valid_intersection_or_filter,no_valid_intersection_or_filter,,,,,,
027,fit,fit_edge_extension,9,1834.065217591903,381.9913617232151,True,middle_formal,629.9973366841023,630.0098173742061,nan,True,False,-0.012480690103870984,nan,,no_valid_intersection_or_filter,-0.29369738697854003,-0.11033419569454345,0.09785350559067246,,,
027,fit,fit_edge_extension,10,1834.169519719812,382.9823778778662,True,middle_formal,630.0371549731619,630.0396068672267,630.0164654137895,True,True,-0.002451894064734006,0.020689559372385702,,,-0.28366859093940305,-0.10982097382212325,0.10736907975738924,-0.2670029346208381,-0.09130049156211717,0.11199005093450287
027,fit,fit_edge_extension,11,1834.3078629223771,383.94537174881145,True,middle_formal,630.076052662419,630.0777789990802,630.0546644559583,True,True,-0.0017263366612496611,0.021388206460642323,,,-0.2829430335359187,-0.10932226397238343,0.10759592731113377,-0.26630428753258145,-0.09081768609026991,0.11220589255091223
027,fit,fit_edge_extension,12,1834.5597788165733,385.0995918975494,True,middle_formal,630.1231476606115,630.1450087950898,630.1219279022475,True,True,-0.02186113447828575,0.0012197583639590448,,,-0.3030778313529548,-0.10872452293341023,0.08686338845512448,-0.28647273562926473,-0.09023900763722847,0.09145876600118752
027,fit,fit_edge_extension,13,1834.8179086895714,386.04703707748786,True,middle_formal,630.1620894007225,630.2130116432733,630.189959221735,True,True,-0.050922242550768715,-0.02786982101247304,,,-0.33213893942543776,-0.10823386535231888,0.057311622801550166,-0.3155623150056968,-0.08976399763877368,0.061894176626300645
027,fit,fit_edge_extension,14,1835.0840834326743,386.97652511905517,True,middle_formal,630.2003678137778,630.2829665114422,630.2599422537879,True,True,-0.08259869766436623,-0.05957444001012391,,,-0.3638153945390353,-0.10775250731305125,0.02515380964868502,-0.3472669340033477,-0.08929799061004279,0.02972355059991888
027,fit,fit_edge_extension,15,1835.2573408411906,387.95002099410954,True,middle_formal,630.23989082547,630.3299155830986,630.3069191149068,True,True,-0.09002475762861195,-0.06702828943684835,,,-0.371241454503281,-0.10724835874448968,0.01722360111587773,-0.35472078343007213,-0.0888099198657964,0.02178163042894804
027,fit,fit_edge_extension,16,1835.2014432265,388.9893894197595,True,middle_formal,630.2807862487806,630.3199339183806,630.2969631583167,True,True,-0.03914766959996996,-0.016176909536056883,,,-0.320364366474639,-0.10671009646991114,0.06756242686994118,-0.30386940352928066,-0.08828882333724164,0.07211191380118476
027,fit,fit_edge_extension,17,1835.0750395472867,390.00166491130244,True,middle_formal,630.3202300217421,630.2922554184197,630.2693084822058,True,True,0.027974603322377334,0.05092153953626166,,,-0.2532420935522917,-0.10618586493166982,0.13416046825404715,-0.2367709544569621,-0.08778131009019047,0.13870284962645213
027,fit,fit_edge_extension,18,1835.0423970266659,391.0013210339588,True,middle_formal,630.3596872078355,630.2879238785545,630.2650019664931,True,True,0.07176332928099782,0.09468524134240397,,,-0.20945336759367122,-0.10566816864121265,0.17743149792221047,-0.1930072526508198,-0.08728012367504706,0.18196536501745103
027,fit,fit_edge_extension,19,1844.0387028799316,436.9996138251578,True,middle_formal,632.2378024975033,632.7158902836236,632.6943047296666,True,True,-0.47808778612034075,-0.4565022321633023,,,-0.7593044829950097,-0.08184683147769883,-0.3962409546426419,-0.744194726156526,-0.06421847382942142,-0.3922837583338809
027,fit,fit_edge_extension,20,1843.983122870473,438.00276557691285,True,middle_formal,632.2775077433869,632.7057172861082,632.6841560394028,True,True,-0.4282095427213335,-0.4066482960158737,,,-0.7094262395960025,-0.08132732489050437,-0.3468822178308291,-0.6943407900090974,-0.06371553484979414,-0.34293276116607957
027,fit,fit_edge_extension,21,1844.1085724313941,438.97353702929536,True,middle_formal,632.3169148303069,632.7409308455124,632.719396719879,True,True,-0.42401601520543863,-0.40248188957207276,,,-0.7052327120801076,-0.08082458723063318,-0.34319142797480545,-0.6901743835652965,-0.06322883001888663,-0.33925305955318613
027,fit,fit_edge_extension,22,1844.3581822933195,439.943069676397,True,middle_formal,632.3569554291524,632.8073627583217,632.7858582395324,True,True,-0.4504073291692521,-0.4289028103800092,,,-0.7316240260439211,-0.08032249111627343,-0.37008483805297865,-0.7165953043732329,-0.06274274627393428,-0.36616006410607493
027,fit,fit_edge_extension,23,1844.456813587379,440.9705521766198,True,middle_formal,632.3984884333383,632.8360552905546,632.8145787912449,True,True,-0.43756685721621125,-0.4160903579065689,,,-0.7187835540908802,-0.07979038425790547,-0.3577764729583058,-0.7037828518997926,-0.06222760885893919,-0.3538627490476297
027,fit,fit_edge_extension,24,1844.394521683445,441.98183866024874,True,middle_formal,632.4385012598834,632.8242169912183,632.802764813598,True,True,-0.3857157313349262,-0.36426355371452246,,,-0.6669324282095952,-0.07926666490152012,-0.3064490664334061,-0.6519560477077462,-0.0617205914597298,-0.30254296225479266
027,fit,fit_edge_extension,25,1844.3344248453573,442.98595092275093,True,middle_formal,632.4782446787727,632.8129030119853,632.7914749962729,True,True,-0.3346583332125874,-0.3132303175001425,,,-0.6158750300872564,-0.07874666089042215,-0.2559116723221653,-0.6009228114933662,-0.061217170919566744,-0.2520131465805758
