model,split,total_points,valid_intersections,valid_rate,surface_count,surface_mean_signed_mm,surface_mae_mm,surface_rmse_mm,surface_median_abs_mm,surface_p95_abs_mm,surface_max_abs_mm,board_count,board_mean_signed_mm,board_mae_mm,board_rmse_mm,board_median_abs_mm,board_p95_abs_mm,board_max_abs_mm,ray_count,ray_mean_signed_mm,ray_mae_mm,ray_rmse_mm,ray_median_abs_mm,ray_p95_abs_mm,ray_max_abs_mm
global_plane,train,12328,12328,1.0,12328,0.010462809929098224,0.1020858343815315,0.12922529857642398,0.09022819868719978,0.2623982217955017,0.5069728459275495,12328,0.033635181199874034,0.32703171480970034,0.41540375571506627,0.28728162480325636,0.8521475908446915,1.7319999764762315,12328,-0.036388150874057265,0.3319430516999381,0.42374756560202587,0.2895724376299915,0.8706782209243681,1.7758207690123538
quadratic_graph,train,12328,12328,1.0,12328,0.00012473831794738478,0.025256848073065323,0.032879285818107194,0.020186396835994748,0.06706437796112776,0.23816831780434086,12328,0.0002786298684324682,0.08136420339002365,0.10694278113088432,0.06450238548984544,0.2189667664585329,0.8177247395793756,12328,-0.0002407864531528306,0.08239352337392915,0.10835646165862461,0.0651854244112468,0.22105908524817766,0.8317885578983676
circular_cone,train,12328,12328,1.0,12328,0.0001361744544306797,0.024352838073302865,0.03147029078689521,0.0194155721203332,0.06306014352717675,0.20929051123521675,12328,0.0007340288996893737,0.07851393692131671,0.10194292833768226,0.06194660743312852,0.20481353119070034,0.7099085084983017,12328,-0.0006899210356690842,0.07954127484672376,0.1033267435591097,0.06264342961260372,0.20819755717714622,0.7221180257151889
global_plane,validation,4401,4401,1.0,4401,-0.04920951046451513,0.07095195600664939,0.08235537818898205,0.07280742775455451,0.13144175300166694,0.29547651895029503,4401,-0.1617554066526417,0.23319587046978363,0.27191518067166603,0.2371051457116664,0.44198985014213577,1.000497900893265,4401,0.1628032350734266,0.23625463922377618,0.2749510548710431,0.24164984202356468,0.4423795532272593,1.021454486560264
quadratic_graph,validation,4401,4401,1.0,4401,0.011806467810525238,0.02521989689870832,0.033708905218725896,0.01830219504902513,0.07097059767800767,0.1791866292899323,4401,0.037887097867091137,0.08237260678411253,0.10991187067757825,0.059516700887456864,0.23105414818292047,0.6132689872798665,4401,-0.03908787053996667,0.08390143056401281,0.11224579974421997,0.060392949127708755,0.23567247721685805,0.6134472863926442
circular_cone,validation,4401,4401,1.0,4401,0.008622368250677293,0.025231408788687022,0.033488583520586576,0.018843688624139012,0.06948616578542043,0.17008115625809894,4401,0.02756387634863717,0.0827025595141952,0.10982525152216395,0.0616198156496921,0.22693253994464158,0.5869930759580484,4401,-0.028635396302138762,0.08414744077933724,0.11196876825169812,0.062455735294049394,0.2323090997787633,0.5871637357285987
