roi_id,height_mm,trim_px,x_start,x_end,width_px,valid_column_count,available,unavailable_reason,delta_y_median_px,sensitivity_median_px_per_mm,relative_change_vs_trim0,roi_stable,roi_sensitive
h001,1.0,0,1786,1813,28,28,true,,-0.971537056726163,0.971537056726163,0.0,true,false
h001,1.0,2,1788,1811,24,24,true,,-0.971537056726163,0.971537056726163,0.0,true,false
h001,1.0,3,1789,1810,22,22,true,,-0.971537056726163,0.971537056726163,0.0,true,false
h001,1.0,4,1790,1809,20,20,true,,-0.971537056726163,0.971537056726163,0.0,true,false
h010,10.0,0,1839,1861,23,23,true,,-9.282546847929893,0.9282546847929893,0.0,true,false
h010,10.0,2,1841,1859,19,19,true,,-9.340623388772087,0.9340623388772087,0.006256530863094451,true,false
h010,10.0,3,1842,1858,17,17,true,,-9.340623388772087,0.9340623388772087,0.006256530863094451,true,false
h010,10.0,4,1843,1857,15,15,true,,-9.287809848790971,0.9287809848790971,0.000566978109273036,true,false
h030,30.0,0,1910,1935,26,26,true,,-28.1482164662429,0.9382738822080967,0.0,true,false
h030,30.0,2,1912,1933,22,22,true,,-28.176314712074316,0.9392104904024772,0.0009982247317555989,true,false
h030,30.0,3,1913,1932,20,20,true,,-28.185815746715605,0.9395271915571868,0.001335760669518565,true,false
h030,30.0,4,1914,1931,18,18,true,,-28.189687214941955,0.9396562404980652,0.0014732993384780984,true,false
