record_type,edge,frame_id,frame_ids,pose_count,point_count,v_min_px,v_max_px,v_p01_px,v_median_px,v_p99_px,s_min,s_max,s_p01,s_median,s_p99,legacy_v_min_px,legacy_v_max_px,legacy_s_min,legacy_s_max,legacy_v_extrapolated_count,legacy_s_extrapolated_count,legacy_v_extrapolated_fraction,legacy_s_extrapolated_fraction,observed_v_covered,observed_s_covered,observed_vs_covered,safe_v_covered,safe_s_covered,safe_vs_covered,safe_v_lower_gap_px,safe_v_upper_gap_px,safe_s_lower_gap,safe_s_upper_gap
new_fit_union_summary,All,,049|050|051|052|053|054,6,4937,181.01239933018587,2759.9663691846813,253.37614157103877,1379.0342023125118,2627.6462980099427,-0.17183533824352987,0.1794935057139687,-0.16197252612445473,-0.008610820462716112,0.16145285891878414,238.98377882459297,2874.0060377373225,-0.1641225636200761,0.19495848459253196,,,,,,,,,,,,,,
frame_summary,Top,049,049,1,741,1279.9908262205201,2751.88839618404,1391.7978819835841,1971.0149835451869,2611.001799198739,-0.022081390368269782,0.17847513526522138,-0.0068650599913077075,0.07197822155619332,0.15923555528156624,238.98377882459297,2874.0060377373225,-0.1641225636200761,0.19495848459253196,0,0,0.0,0.0,False,False,False,False,False,False,0.0,2231.88839618404,0.0,0.3054751352652214
frame_summary,Top,050,050,1,900,1226.9998648413573,2759.9663691846813,1239.9659009030968,1916.0017382408887,2743.0368137328524,-0.029389583997989882,0.1794935057139687,-0.02762478716826966,0.06439509600314126,0.1771805845933802,238.98377882459297,2874.0060377373225,-0.1641225636200761,0.19495848459253196,0,0,0.0,0.0,False,False,False,False,False,False,0.0,2239.9663691846813,0.0,0.3064935057139687
frame_summary,Top,051,051,1,632,674.0385587552912,2114.915301827867,742.242902355754,1369.4839931431054,2107.30636022638,-0.10475034928971051,0.09170117149246164,-0.09544349106810888,-0.009923915023139574,0.09066304375774024,238.98377882459297,2874.0060377373225,-0.1641225636200761,0.19495848459253196,0,0,0.0,0.0,False,False,False,False,False,False,0.0,1594.915301827867,0.0,0.21870117149246165
frame_summary,Bottom,052,052,1,900,181.01239933018587,1749.0024381681565,193.9832687449106,947.0311724756743,1729.0072385587255,-0.17183533824352987,0.041741700384300764,-0.17006512658932393,-0.06740789089001487,0.039020346217201844,238.98377882459297,2874.0060377373225,-0.1641225636200761,0.19495848459253196,31,31,0.034444444444444444,0.034444444444444444,False,False,False,False,False,False,2578.987600669814,0.0,0.35283533824352986,0.0
frame_summary,Bottom,053,053,1,864,247.0397861757348,1761.997211824059,305.76882721058365,997.4988331365684,1710.3700330483166,-0.16291150458230144,0.04344126296617001,-0.15489706996132563,-0.06061484433373374,0.036413397857793586,238.98377882459297,2874.0060377373225,-0.1641225636200761,0.19495848459253196,0,0,0.0,0.0,False,False,False,False,False,False,2512.9602138242653,0.0,0.34391150458230146,0.0
frame_summary,Bottom,054,054,1,900,241.99430535602625,1742.076744890574,256.9799904087304,985.9887628347444,1729.0408565146586,-0.16354334016357192,0.040614749712885666,-0.16149961741849056,-0.06221002016162928,0.03884187640793076,238.98377882459297,2874.0060377373225,-0.1641225636200761,0.19495848459253196,0,0,0.0,0.0,False,False,False,False,False,False,2518.0056946439736,0.0,0.3445433401635719,0.0
edge_union_summary,Top,,049|050|051,3,2273,674.0385587552912,2759.9663691846813,813.0826693330386,1794.9642329057178,2715.280480793657,-0.10475034928971051,0.1794935057139687,-0.08577891622864932,0.04792014099423229,0.17338941918987127,238.98377882459297,2874.0060377373225,-0.1641225636200761,0.19495848459253196,0,0,0.0,0.0,False,False,False,False,False,False,0.0,2239.9663691846813,0.0,0.3064935057139687
edge_union_summary,Bottom,,052|053|054,3,2664,181.01239933018587,1761.997211824059,229.8903522453177,978.4769012135848,1729.006000518433,-0.17183533824352987,0.04344126296617001,-0.1651643738170387,-0.06316568048076113,0.03893540529952696,238.98377882459297,2874.0060377373225,-0.1641225636200761,0.19495848459253196,31,31,0.011636636636636636,0.011636636636636636,False,False,False,False,False,False,2578.987600669814,0.0,0.35283533824352986,0.0
