record_type,frame_id,pnp_rmse_px,full_final_count,current_final_count,full_v_min_px,full_v_max_px,current_v_min_px,current_v_max_px,full_max_dv_px,full_p95_dv_px,full_max_abs_du_px,full_p95_abs_du_px,full_max_abs_du_dv,full_p95_abs_du_dv,current_max_abs_du_px,current_p95_abs_du_px,boundary_transition_count,boundary_u_jump_max_px,boundary_slope_delta_max_abs,boundary_u_jump_outlier_count,boundary_continuity_ok,top_dual_region_y_min_px,top_dual_region_y_max_px,dual_row_count,branch_a_label,branch_b_label,branch_a_fit_rmse_px,branch_b_fit_rmse_px,branch_a_fit_p95_px,branch_b_fit_p95_px,branch_separation_min_px,branch_separation_median_px,selected_branch,selected_branch_a_count,selected_branch_b_count,selected_branch_ambiguous_count,selected_branch_switch_count,selected_branch_longest_run,selected_branch_a_fraction,selected_branch_b_fraction,selected_branch_ambiguous_fraction,event_index,transition_index,transition_direction,v_before_px,v_after_px,u_before_px,u_after_px,v_jump_px,u_jump_px,slope_before_du_dv,slope_after_du_dv,slope_delta_abs,local_median_abs_du_px,global_p95_abs_du_px,u_jump_limit_px,u_jump_is_outlier,current_u_at_v_before_px,current_u_at_v_after_px
frame_summary,049,0.15800283305465448,900,741,952.9944963661034,2977.0046438180725,1279.9908262205201,2751.88839618404,108.00028164608989,2.0419902378056576,1.96291891414171,0.14728111949252695,0.8088155692515778,0.08593841977855503,1.4019718186189039,0.13913986635681105,2,0.10759231196198016,0.016700172716861573,0,True,1586,1603,4,A_left,B_right,0.018333376539450285,0.012527714688052308,0.027905818885506046,0.019068835268092242,31.691337132078615,32.24485132967993,A_left,13,0,0,0,13,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
frame_summary,050,0.13335964130362912,900,900,1008.0392211707755,2981.999466912801,1226.9998648413573,2759.9663691846813,18.01569727579772,4.978209576847121,0.4704660408760901,0.19504135623396904,0.1344526875631293,0.07489541140868816,0.49455269708050764,0.15314566535364513,2,0.08823085393191832,0.03082286812677372,0,True,,,0,A_left,B_right,,,,,,,NO_DUAL_REGION,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
frame_summary,051,0.1655861907961247,900,900,485.9279681221355,2999.0274420803694,674.0385587552912,2770.9906087553222,62.90645153791593,8.907417639332934,10.108861012739453,1.4552643317090053,1.1572695044242478,0.3012418451620984,13.971542195634356,1.3099489485104396,2,0.18643980983802066,0.11975613567549803,0,True,1251,1261,2,A_left,B_right,1.6077746776921858e-13,3.2155493553843715e-13,2.1600499167107045e-13,4.320099833421409e-13,20.097832873444077,20.148251738859244,B_right,0,6,0,0,6,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
frame_summary,052,0.14807126014918545,900,900,0.027328475540391712,1974.999109503259,181.01239933018587,1749.0024381681565,14.001400909820632,4.976534322472002,0.6008610169578787,0.2676644282060806,0.2611427264459236,0.10691441266839875,0.7142418952219032,0.24558979354544586,2,0.14465389683073226,0.013155923964376313,0,True,0,179,33,A_left,B_right,0.12425245495006565,0.1612595785197684,0.24375155891916614,0.3123755386379343,19.682095409636304,19.770950182580577,B_right,0,101,0,0,101,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
frame_summary,053,0.1321776815873983,900,864,27.994859114441017,2000.9917218006306,247.0397861757348,1761.997211824059,39.025531587661135,6.993116839612764,1.7011582988491227,0.2216393511885142,0.4921010329955182,0.07236251675364698,0.555259239974248,0.18192409392431727,2,0.16375972629066382,0.014849557169796867,0,True,33,243,63,A_left,B_right,3.970011061617467,0.08252229600186001,10.867575150996936,0.10966412324814882,16.415898649429664,22.929288259198984,B_right,0,165,0,0,165,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
frame_summary,054,0.09877320331145344,900,900,13.982304552604315,1946.983633916023,241.99430535602625,1742.076744890574,13.02054249414141,4.039432848250248,0.9650239433935894,0.31879600633712907,0.27094293367983574,0.11728197802029161,0.7059408194236312,0.2822003767090336,2,0.12307419531452979,0.011286947224086609,0,True,18,237,121,A_left,B_right,2.796308933117631,0.1389019332949378,1.348027903227603,0.25982865950140877,20.85410570246495,21.193918765096782,B_right,0,123,0,0,123,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
boundary_event,049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,168,outside_to_inside,1176.0241474889665,1177.0074527530387,1915.1585000251896,1915.0509077132276,0.9833052640722144,0.10759231196198016,-0.033050536955206246,-0.016350364238344673,0.016700172716861573,0.07478344955961802,0.14728111949252695,3.0,False,,
boundary_event,049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,730,inside_to_outside,2753.0039639786723,2754.0072426977317,1894.1042000651466,1894.0758473119836,1.0032787190593808,0.028352753163062516,-0.007218664392894824,0.008453879219212982,0.015672543612107806,0.07563017696281804,0.14728111949252695,3.0,False,,
boundary_event,050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,71,outside_to_inside,1223.9999577509157,1225.9999677130254,1984.022190471097,1984.0039809690873,2.0000099621097434,0.018209502009767675,-0.024825955791893176,-0.025641059889646732,0.0008151040977535558,0.05367119482684757,0.19504135623396904,3.0,False,,
boundary_event,050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,776,inside_to_outside,2761.9550589158457,2763.9807360015843,1954.296037845101,1954.3842686990329,2.0256770857386073,0.08823085393191832,-0.03515161866256402,-0.004328750535790301,0.03082286812677372,0.045289899240970044,0.19504135623396904,3.0,False,,
