split,bin_width_px,v_start,v_end,v_center,unique_frame_count,bootstrap_reps,bootstrap_seed,slope_p05,slope_p50,slope_p95,slope_interval_width,slope_relative_interval,resampling_unit
fit,30,1620,1650,1635,18,500,20260814,0.288535664224,0.294975360042,0.303808382866,0.0152727186416,0.0517762522248,frame
fit,30,1650,1680,1665,18,500,20260814,0.288421858708,0.294725015236,0.30293754726,0.0145156885522,0.0492516339022,frame
fit,30,1680,1710,1695,18,500,20260814,0.287980041738,0.294740861664,0.300900581465,0.0129205397274,0.0438369476646,frame
fit,30,1710,1740,1725,18,500,20260814,0.288171161348,0.294697442812,0.303923978199,0.015752816851,0.0534542027261,frame
fit,30,1740,1770,1755,15,500,20260814,0.286739256625,0.292232656405,0.304551617522,0.0178123608964,0.0609526707777,frame
fit,30,1770,1800,1785,16,500,20260814,0.287404139506,0.293297378873,0.30286468667,0.0154605471635,0.0527128719079,frame
fit,30,1800,1830,1815,15,500,20260814,0.284705715563,0.290742338138,0.301919546173,0.0172138306101,0.0592064806261,frame
fit,30,1830,1860,1845,14,500,20260814,0.284068741116,0.290377627123,0.302245449312,0.0181767081962,0.062596792929,frame
fit,30,1860,1890,1875,12,500,20260814,0.286361974542,0.29370031434,0.304984098534,0.0186221239923,0.0634051891779,frame
fit,30,1890,1920,1905,11,500,20260814,0.283394925553,0.292431791765,0.302242631292,0.018847705739,0.0644516303281,frame
fit,30,1920,1950,1935,10,500,20260814,0.286707849998,0.292572568954,0.302156680411,0.0154488304129,0.0528034137586,frame
fit,30,1950,1980,1965,10,500,20260814,0.282261775038,0.29227217717,0.303446510275,0.0211847352373,0.0724829008441,frame
fit,30,1980,2010,1995,10,500,20260814,0.2810701786,0.291155768336,0.301831728946,0.020761550346,0.0713073639743,frame
fit,30,2010,2040,2025,10,500,20260814,0.281473748176,0.290892573606,0.301778793228,0.0203050450526,0.0698025556337,frame
fit,30,2040,2070,2055,10,500,20260814,0.28808916219,0.291824974664,0.302857323601,0.0147681614105,0.050606228708,frame
fit,30,2070,2100,2085,10,500,20260814,0.287195340691,0.290457918002,0.303975852198,0.0167805115071,0.0577726082404,frame
fit,30,2100,2130,2115,10,500,20260814,0.286939010758,0.291161517975,0.303744003566,0.0168049928077,0.0577170806246,frame
fit,30,2130,2160,2145,10,500,20260814,0.282940704539,0.290075195328,0.302434344445,0.0194936399066,0.0672020228568,frame
fit,30,2160,2190,2175,10,500,20260814,0.286273825419,0.289850521424,0.306750611291,0.0204767858723,0.070646020479,frame
fit,30,2190,2220,2205,9,500,20260814,0.286694730769,0.28982101756,0.310507445457,0.0238127146875,0.0821635190156,frame
fit,30,2220,2250,2235,9,500,20260814,0.285315590679,0.288595359137,0.308299047749,0.0229834570702,0.0796390390301,frame
fit,30,2250,2280,2265,9,500,20260814,0.285128919306,0.288286798325,0.309222772872,0.0240938535658,0.0835759865031,frame
fit,30,2280,2310,2295,9,500,20260814,0.284994007968,0.288246955865,0.311838699752,0.0268446917844,0.0931308769726,frame
fit,30,2310,2340,2325,9,500,20260814,0.280307071117,0.287095421354,0.304258049618,0.0239509785013,0.0834251496882,frame
fit,30,2340,2370,2355,8,500,20260814,0.27675471591,0.287452963908,0.303271891743,0.0265171758331,0.0922487473171,frame
fit,30,2370,2400,2385,8,500,20260814,0.278218486571,0.286684844417,0.304087668158,0.0258691815861,0.0902356092061,frame
fit,30,2400,2430,2415,6,500,20260814,0.266628360695,0.284282206107,0.300803731169,0.0341753704735,0.120216354522,frame
fit,30,2430,2460,2445,7,500,20260814,0.275114684858,0.284707406088,0.301392738041,0.026278053183,0.0922984531524,frame
fit,30,2460,2490,2475,7,500,20260814,0.274548291333,0.285070361242,0.301196876316,0.0266485849838,0.0934807282933,frame
fit,30,2490,2520,2505,7,500,20260814,0.274262931774,0.284880980663,0.300380176074,0.0261172443001,0.0916777393819,frame
fit,30,2520,2550,2535,5,500,20260814,0.273824880038,0.285841082717,0.302403668025,0.0285787879873,0.0999813872646,frame
