subset_id,subset_size,selection_rank,frame_ids,score,min_span_ratio,status,board_center_u_norm_mean,board_center_u_norm_std,board_center_u_norm_min,board_center_u_norm_max,board_center_u_norm_range,board_center_v_norm_mean,board_center_v_norm_std,board_center_v_norm_min,board_center_v_norm_max,board_center_v_norm_range,board_tilt_deg_mean,board_tilt_deg_std,board_tilt_deg_min,board_tilt_deg_max,board_tilt_deg_range,board_center_z_mm_mean,board_center_z_mm_std,board_center_z_mm_min,board_center_z_mm_max,board_center_z_mm_range,apparent_bbox_area_fraction_mean,apparent_bbox_area_fraction_std,apparent_bbox_area_fraction_min,apparent_bbox_area_fraction_max,apparent_bbox_area_fraction_range,corner_u_span_norm_mean,corner_u_span_norm_std,corner_u_span_norm_min,corner_u_span_norm_max,corner_u_span_norm_range,corner_v_span_norm_mean,corner_v_span_norm_std,corner_v_span_norm_min,corner_v_span_norm_max,corner_v_span_norm_range,candidate_type,calibration_status,candidate_id,fit_rms_px,unique_frame_count,error,noise_std_u_px,noise_std_v_px,noise_cov_uv_px2,fx,delta_fx,delta_fx_pct,fy,delta_fy,delta_fy_pct,cx,delta_cx,delta_cx_pct,cy,delta_cy,delta_cy_pct,k1,delta_k1,delta_k1_pct,k2,delta_k2,delta_k2_pct,p1,delta_p1,delta_p1_pct,p2,delta_p2,delta_p2_pct,k3,delta_k3,delta_k3_pct
matched_16_01,16,1,001;002;004;005;007;008;009;010;011;012;013;014;015;016;017;018,0.04832887762013157,0.9975542751921842,ok,0.4819852607959712,0.11153722534689278,0.34233722293918784,0.6770237934860316,0.33468657054684375,0.4541451611807852,0.10697107091731416,0.3388376345778956,0.6402894092906606,0.30145177471276496,9.050259291227956,7.645651891913483,2.5878392327443622,24.765800458073528,22.177961225329167,684.7043679051769,22.291279402628692,648.6771903892012,712.278195371598,63.60100498239683,0.2911576835009824,0.06176943756728789,0.24641252297657018,0.5051748660672994,0.25876234309072926,0.5029011848382652,0.07783431250583525,0.3565029501914978,0.5989184603095055,0.24241551011800766,0.5866772336959838,0.11605119624118453,0.4796610921223958,0.8434785359700521,0.36381744384765624,coverage_matched,ok,matched_16_01,0.11743806306741285,16,,nan,nan,nan,7345.711393522534,-2.153720917480314,-0.029310839052391208,7346.716365791571,-2.1247808523039566,-0.028913141676416804,2069.853690902251,-0.3628392455862013,-0.017526632615588785,1514.7094272000643,2.272973095050702,0.15028552696422123,-0.048905332248995376,0.00023183290241819005,-0.47180764641958745,0.22449086826951142,-0.0027851037533097867,-1.2254281561405573,-0.0004460711599144334,6.708306638785822e-05,-13.072691005830393,-0.0004904412374323871,-1.2063337887770263e-05,2.5217172238211125,0.0,0.0,nan
matched_16_02,16,2,001;002;003;004;005;006;007;008;010;011;012;013;014;015;017;018,0.05243946708722804,1.0,ok,0.4897862309695814,0.1075245338654659,0.34233722293918784,0.6770237934860316,0.33468657054684375,0.4630303530982046,0.1047803176814926,0.3388376345778956,0.6402894092906606,0.30145177471276496,9.032738610773725,7.792569896842382,2.5334650585219993,24.765800458073528,22.23233539955153,684.3702805293963,22.47587618440235,648.6771903892012,712.278195371598,63.60100498239683,0.29601605290333255,0.06094050610209247,0.24641252297657018,0.5051748660672994,0.25876234309072926,0.5062039387412369,0.07722844527650977,0.3565029501914978,0.5989184603095055,0.24241551011800766,0.5924670991897583,0.11498055501711055,0.4796610921223958,0.8434785359700521,0.36381744384765624,coverage_matched,ok,matched_16_02,0.11838239639106189,16,,nan,nan,nan,7347.051509105569,-0.8136053344460379,-0.011072676509087541,7347.979376308636,-0.8617703352383614,-0.011726615367538886,2069.6077849575163,-0.6087451903208603,-0.02940490434000104,1511.5135901883616,-0.922863916651977,-0.06101835975634976,-0.04907046967882531,6.669547258825875e-05,-0.1357332527888823,0.2275029920935224,0.00022702007070118935,0.09988740502598921,-0.0005405346118336413,-2.738038553134971e-05,5.33570301635211,-0.0005023999114561403,-2.402201191152348e-05,5.021555538914067,0.0,0.0,nan
matched_16_03,16,3,001;002;003;004;005;006;007;008;009;010;011;012;014;015;016;018,0.05509681282988572,0.9622410399533571,ok,0.47472271716899495,0.11035692754140984,0.34233722293918784,0.6770237934860316,0.33468657054684375,0.4609994382424788,0.10367567944448935,0.3388376345778956,0.6402894092906606,0.30145177471276496,9.159905956409052,7.794858232855473,2.5334650585219993,24.765800458073528,22.23233539955153,683.6835053260769,21.9878786537994,648.6771903892012,709.8766875655414,61.199497176340174,0.2947254713911638,0.060711872508313794,0.24641252297657018,0.5051748660672994,0.25876234309072926,0.504953186493367,0.0711044991898898,0.36779749393463135,0.5989184603095055,0.23112096637487411,0.5908039751052856,0.11788206881885087,0.4796610921223958,0.8434785359700521,0.36381744384765624,coverage_matched,ok,matched_16_03,0.11904217929804457,16,,nan,nan,nan,7346.867008738626,-0.9981057013883401,-0.01358361491185874,7347.7477300045175,-1.0934166393572013,-0.01487876275372412,2070.8358935344722,0.6193633866350865,0.029917807032043015,1510.7418042865145,-1.6946498184991015,-0.11204767075664762,-0.04897445724435276,0.00016270790706080646,-0.3311300246146286,0.22534614051983265,-0.0019298315029885604,-0.849113738602681,-0.0005814831678729584,-6.83289415706668e-05,13.315478674517477,-0.0004475535466409682,3.082435290364862e-05,-6.443515248716821,0.0,0.0,nan
matched_16_04,16,4,001;002;003;004;005;006;007;008;009;010;011;012;013;014;016;017,0.055154030798199694,0.9990295927603401,ok,0.4771900307863358,0.10030624357689906,0.34233722293918784,0.6770237934860316,0.33468657054684375,0.46899798513181284,0.1035573420134587,0.3391301655624852,0.6402894092906606,0.3011592437281754,9.312656854410303,7.970890895897712,2.5334650585219993,24.765800458073528,22.23233539955153,683.7792940565773,22.29797927654939,648.6771903892012,712.278195371598,63.60100498239683,0.293384224019685,0.061155398986537775,0.24641252297657018,0.5051748660672994,0.25876234309072926,0.5043603889644146,0.07270342173815722,0.3565029501914978,0.5989184603095055,0.24241551011800766,0.5888752346038819,0.11740061823900039,0.4796610921223958,0.8434785359700521,0.36381744384765624,coverage_matched,ok,matched_16_04,0.11883906997674888,16,,nan,nan,nan,7348.390679924607,0.5255654845923345,0.007152628367653265,7349.35907687133,0.5179302274555084,0.0070477809646496544,2070.462549828238,0.2460196804008774,0.011883765626357392,1513.0020142734961,0.5655601684825342,0.037393978897262516,-0.04897908363246436,0.0001580815189492074,-0.32171477223418893,0.2239444979880908,-0.003331474034730414,-1.4658276478060313,-0.0005062617045421677,6.892521760123917e-06,-1.343167688550544,-0.00046332997714842967,1.5047922396187175e-05,-3.145614044986562,0.0,0.0,nan
matched_16_05,16,5,001;002;003;004;006;007;008;009;010;011;012;013;015;016;017;018,0.06143173873279684,0.9383377551963688,ok,0.4792585960504684,0.09860108065814406,0.36297474818473513,0.6770237934860316,0.31404904530129646,0.4636714481440457,0.10267341402594352,0.3388376345778956,0.6402894092906606,0.30145177471276496,10.04694965252732,7.841862102708968,2.5334650585219993,24.765800458073528,22.23233539955153,684.9673325870347,20.928568712297416,648.6771903892012,712.278195371598,63.60100498239683,0.293356296383414,0.06139099091713733,0.24641252297657018,0.5051748660672994,0.25876234309072926,0.5050605023279786,0.07811173109278587,0.3565029501914978,0.5989184603095055,0.24241551011800766,0.5878734210332235,0.1105019519332244,0.4796610921223958,0.8434785359700521,0.36381744384765624,coverage_matched,ok,matched_16_05,0.12070113873934023,16,,nan,nan,nan,7348.210337949884,0.34522350986935635,0.004698283167867678,7349.207200522286,0.3660538784115488,0.004981110233668897,2068.565880549223,-1.650649598614109,-0.07973318609798917,1513.2898540096705,0.8533999046569534,0.056425504842909514,-0.048707546191451165,0.0004296189599624009,-0.8743258969835823,0.2260587484514009,-0.0012172235714203172,-0.5355707251350326,-0.00047268661574759115,4.046761055470047e-05,-7.886052278338169,-0.0005423054250200415,-6.392752547542465e-05,13.363394407701378,0.0,0.0,nan
matched_16_06,16,6,001;003;004;005;006;007;008;009;011;012;013;014;015;016;017;018,0.06890141323830318,1.0,ok,0.4779139810495756,0.10197783573259708,0.34233722293918784,0.6770237934860316,0.33468657054684375,0.45560586221290356,0.0998999777560636,0.3388376345778956,0.6402894092906606,0.30145177471276496,8.618775163167246,7.609108504823269,2.5334650585219993,24.765800458073528,22.23233539955153,686.0678268760482,22.756705409735105,648.6771903892012,712.278195371598,63.60100498239683,0.29358988034597044,0.06175705698047122,0.24641252297657018,0.5051748660672994,0.25876234309072926,0.49571048794314265,0.08106150774791386,0.3565029501914978,0.5989184603095055,0.24241551011800766,0.6011998745600382,0.11886366172065246,0.4796610921223958,0.8434785359700521,0.36381744384765624,coverage_matched,ok,matched_16_06,0.11568181612741371,16,,nan,nan,nan,7355.231359520059,7.366245080044791,0.10025014021513073,7356.452520910619,7.611374266743951,0.10357244244175794,2071.4859705420445,1.2694403942073222,0.06131920867797677,1511.0121381906758,-1.4243159143377397,-0.09417360382129779,-0.05009833945019875,-0.0009611742987851862,1.956104500174926,0.23196826617509572,0.004692294152274512,2.064579951198427,-0.0005104307068676524,2.7235194346392298e-06,-0.5307409147274263,-0.0004886660559716102,-1.0288156426993328e-05,2.1506337221654577,0.0,0.0,nan
matched_16_07,16,7,001;002;003;004;005;006;007;008;009;010;013;014;015;016;017;018,0.0802588366181072,0.891098939610518,ok,0.4771902281367643,0.11121325726955228,0.34233722293918784,0.6770237934860316,0.33468657054684375,0.45384740769501886,0.09589151186354011,0.3388376345778956,0.6074609913681492,0.2686233567902536,9.326964914260232,8.095965260241211,2.5334650585219993,24.765800458073528,22.23233539955153,683.6347935582908,22.723499812846587,648.6771903892012,712.278195371598,63.60100498239683,0.29641448385426516,0.060745909442861755,0.24641252297657018,0.5051748660672994,0.25876234309072926,0.49718549055978656,0.08157967360547187,0.3565029501914978,0.5989184603095055,0.24241551011800766,0.6050977233250936,0.11593174787326202,0.4796610921223958,0.8434785359700521,0.36381744384765624,coverage_matched,ok,matched_16_07,0.12024822070648229,16,,nan,nan,nan,7347.654925867097,-0.21018857291801396,-0.0028605393491090586,7348.653258432289,-0.18788821158614155,-0.002556705306821713,2070.87482622328,0.6582960754426495,0.03179841653547417,1513.5915906182245,1.1551365132108913,0.07637587087217128,-0.04911477952472789,2.238562668567534e-05,-0.04555742403269546,0.2264004948889488,-0.0008754771338723988,-0.3852044393784357,-0.00047570275541544997,3.745147088684165e-05,-7.298287525898606,-0.0004587771697731599,1.9600729771456957e-05,-4.09733179357063,0.0,0.0,nan
matched_16_08,16,8,002;003;004;005;006;008;009;010;011;012;013;014;015;016;017;018,0.10408010672108527,0.8310499558958033,ok,0.4713450943606652,0.0979795183665261,0.34233722293918784,0.6356352012265812,0.2932979782873934,0.4587156058586005,0.09931378704451445,0.3388376345778956,0.6402894092906606,0.30145177471276496,8.683287833913349,6.958881483857249,2.5334650585219993,21.009646411780004,18.476181353258006,684.4074325829743,22.09078334240946,648.6771903892012,712.278195371598,63.60100498239683,0.2969378884148959,0.06040351172187936,0.24657875567775772,0.5051748660672994,0.2585961103895417,0.49596793157979846,0.0805062316963353,0.3565029501914978,0.5989184603095055,0.24241551011800766,0.6071594069798787,0.11377989229991833,0.4912513427734375,0.8434785359700521,0.35222719319661455,coverage_matched,ok,matched_16_08,0.1153632354309599,16,,nan,nan,nan,7345.0211168989,-2.8439975411147316,-0.03870508640020775,7345.955404493472,-2.8857421504026206,-0.03926798923556136,2069.4531233849953,-0.7634067628418961,-0.036875696417484415,1511.2003792647997,-1.2360748402138597,-0.08172739005721127,-0.04960087205947955,-0.00046370690806598475,0.9436989428207682,0.23464459918032396,0.0073686271575027495,3.242149661453368,-0.0005591125052325925,-4.595827893030086e-05,8.956036328779549,-0.000470618977138179,7.758922406437868e-06,-1.6219232564514026,0.0,0.0,nan
matched_14_01,14,1,001;003;004;005;007;008;009;010;011;012;013;014;016;017,0.050607375886316884,0.9975542751921842,ok,0.48480392942301836,0.10350361917964836,0.34233722293918784,0.6770237934860316,0.33468657054684375,0.45536256529242447,0.10240856737121269,0.3391301655624852,0.6402894092906606,0.3011592437281754,8.96138558573306,7.688763219265785,2.5878392327443622,24.765800458073528,22.177961225329167,683.7695727119442,22.745965337513766,648.6771903892012,712.278195371598,63.60100498239683,0.2917675228498938,0.06546485182307084,0.24641252297657018,0.5051748660672994,0.25876234309072926,0.49855404666491915,0.07619802054618133,0.3565029501914978,0.5989184603095055,0.24241551011800766,0.5931405269077846,0.1254411361754321,0.4796610921223958,0.8434785359700521,0.36381744384765624,coverage_matched,ok,matched_14_01,0.11735021855049256,14,,nan,nan,nan,7353.430030275713,5.56491583569823,0.07573513869711714,7354.447827479791,5.60668083591645,0.07629340087827251,2071.836365656914,1.6198355090768928,0.07824473843618754,1513.1522297991157,0.7157756941021489,0.04732600117905186,-0.04902706802204071,0.00011009712937285615,-0.22406080821634233,0.22290881041079963,-0.004367161612021581,-1.921523675887333,-0.00047345792363173744,3.969630267055418e-05,-7.7357450520478945,-0.00037142504921238595,0.0001069528503322309,-22.35739787185878,0.0,0.0,nan
matched_14_02,14,2,001;003;004;006;007;008;010;012;013;014;015;016;017;018,0.05280061974897551,1.0,ok,0.48039835634605066,0.10513703369083068,0.34233722293918784,0.6770237934860316,0.33468657054684375,0.45764809084145025,0.10203242752939025,0.3388376345778956,0.6402894092906606,0.30145177471276496,9.002091296877293,7.82765778899246,2.5334650585219993,24.765800458073528,22.23233539955153,687.2671730486392,22.031505525772364,648.6771903892012,712.278195371598,63.60100498239683,0.2951889394558342,0.06523951501489039,0.24641252297657018,0.5051748660672994,0.25876234309072926,0.5006276757589408,0.08272867294716725,0.3565029501914978,0.5989184603095055,0.24241551011800766,0.5971731396629697,0.11499460891254049,0.4796610921223958,0.8434785359700521,0.36381744384765624,coverage_matched,ok,matched_14_02,0.11741151717622049,14,,nan,nan,nan,7353.070180892491,5.205066452476785,0.07083780623909107,7354.121276656826,5.280130012951304,0.07184983193387809,2070.895392053903,0.6788619060657766,0.032791831008000795,1513.5018987352623,1.0654446302487486,0.07044557986928628,-0.04930024236442762,-0.00016307721301405537,0.3318816063391968,0.23158549907760637,0.004309527054785156,1.8961648327489842,-0.000415947173855686,9.720705244660563e-05,-18.9430482034737,-0.00043931181917612776,3.906608036848908e-05,-8.166363957381252,0.0,0.0,nan
