candidate_type,candidate_id,frame_id,is_frame027,region,candidate_pnp_rmse_px,baseline_pnp_rmse_px,point_count,bias_delta_lambda_mm,rmse_delta_lambda_mm,p95_abs_delta_lambda_mm,max_abs_delta_lambda_mm,subset_id,subset_size,selection_score,min_span_ratio,row_type,candidate_global_p95_abs_mm,candidate_frame_p95_median_mm,candidate_frame_p95_p95_mm,candidate_frame_p95_max_mm,board_center_u_norm_loss,board_center_v_norm_loss,board_tilt_deg_loss,board_center_z_mm_loss,apparent_bbox_area_fraction_loss,predictor,rho,p_value,n,metric
coverage_matched,matched_16_01,001,False,all,0.16012851100792383,0.16329053695098955,822,-0.18564655967497123,0.18593638071942348,0.20099979261121348,0.20686808191180717,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,001,False,top,0.16012851100792383,0.16329053695098955,0,nan,nan,nan,nan,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,001,False,middle,0.16012851100792383,0.16329053695098955,505,-0.19247124869224028,0.19258391367523334,0.20143164991659432,0.20686808191180717,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,001,False,bottom,0.16012851100792383,0.16329053695098955,317,-0.17477442101970037,0.17482516590254626,0.181926700200097,0.18233766047683275,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,002,False,all,0.14486307611313765,0.14798432041035417,890,-0.1809654236272214,0.1813649553398611,0.19874471145050734,0.20064964765128934,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,002,False,top,0.14486307611313765,0.14798432041035417,0,nan,nan,nan,nan,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,002,False,middle,0.14486307611313765,0.14798432041035417,497,-0.19018663541305775,0.19030141709404655,0.1992496669632601,0.20064964765128934,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,002,False,bottom,0.14486307611313765,0.14798432041035417,393,-0.16930399294640547,0.16938985752925018,0.17685377337518277,0.1773594424238354,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,003,False,all,0.1547119883238151,0.15082336512204414,900,-0.1850374038002369,0.18549069613427097,0.20364796421771986,0.20921870101915374,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,003,False,top,0.1547119883238151,0.15082336512204414,216,-0.20198221460978938,0.20199641738103088,0.20630104292189344,0.20921870101915374,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
