candidate_type,candidate_id,status,fit_rms_px,unique_frame_count,subset_size,frame_ids,error,noise_std_u_px,noise_std_v_px,noise_cov_uv_px2,fx,delta_fx,delta_fx_pct,fy,delta_fy,delta_fy_pct,cx,delta_cx,delta_cx_pct,cy,delta_cy,delta_cy_pct,k1,delta_k1,delta_k1_pct,k2,delta_k2,delta_k2_pct,p1,delta_p1,delta_p1_pct,p2,delta_p2,delta_p2_pct,k3,delta_k3,delta_k3_pct
full18_corner_noise_mc,full18_mc_0001,ok,0.16556913071426427,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7348.21071949605,0.34560505603531055,0.004703475780415837,7349.221485107239,0.3803384633638416,0.00517548897539495,2069.1220942793207,-1.0944358685164843,-0.05286576802854188,1511.8689761347418,-0.5674779702717387,-0.037520781037213534,-0.048870989808959035,0.00026617534245453045,-0.541698613736314,0.22608235637594695,-0.0011936156468742576,-0.5251833866337636,-0.0005113885743589936,1.7656519432979927e-06,-0.34407822303657165,-0.0004792178354717568,-8.399359271399711e-07,0.17558000232442444,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0002,ok,0.17076902231702362,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7349.040468013334,1.1753535733196259,0.015995851244054855,7349.906760118079,1.0656134742039285,0.014500428747062808,2069.619208735248,-0.597321412589281,-0.028853088741718498,1512.1677241365771,-0.26872996843644614,-0.017768017142608974,-0.04834589736569496,0.0007912677857186065,-1.6103244525408758,0.22386569608025006,-0.0034102759425711504,-1.5004999922423468,-0.0005286289620529992,-1.547473575070756e-05,3.0156110887395515,-0.0004792657124275341,-8.878128829172623e-07,0.18558818953852166,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0003,ok,0.1675981420459367,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7350.030631067617,2.165516627602301,0.029471371532754878,7351.116297639943,2.275150996068078,0.030959316587039185,2070.725800220444,0.509270072606796,0.0245998457258202,1514.0274539064098,1.590999801396265,0.10519448913559422,-0.04898664181756349,0.00015052333385007916,-0.3063329628118543,0.22472878005915084,-0.00254719196367037,-1.1207484632007654,-0.00046247629104932914,5.067793525296248e-05,-9.875770802501169,-0.000428192927451835,5.018497209278186e-05,-10.490654384442621,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0004,ok,0.16566744289989854,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7346.605795085742,-1.2593193542725203,-0.017138574737820208,7347.60445484955,-1.2366917943245426,-0.016828391982446435,2069.8430744482143,-0.37345569962280933,-0.018039451148433267,1513.1910462912222,0.7545921862085834,0.04989248865038197,-0.04880438185659121,0.0003327832948223572,-0.6772537524232486,0.22418446516468998,-0.0030915068581312266,-1.3602435975153602,-0.0004900434349019688,2.3110791400322785e-05,-4.503673596699281,-0.00046439205377083603,1.3985845773780814e-05,-2.9235978056457843,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0005,ok,0.16494958038383858,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7347.571482667525,-0.293631772489789,-0.003996150826350149,7348.534538509732,-0.30660813414306176,-0.004172197058349614,2070.67212857264,0.45559842480270163,0.022007283690762856,1512.1331871760806,-0.3032669289329988,-0.020051548487202885,-0.049736964518391845,-0.0005997993669782792,1.2206633515182028,0.23541254538513381,0.008136573362312605,3.5800411675263217,-0.0005204465611229762,-7.29233482068463e-06,1.4210805342542034,-0.0004529397286587022,2.5438170885914654e-05,-5.317589067164277,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0006,ok,0.16126839590180064,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7348.456228564032,0.5911141240176221,0.008044705704463265,7349.418310337566,0.5771636936915456,0.007853805548037043,2069.546694162898,-0.6698359849392546,-0.03235584177716041,1513.6405812047353,1.2041270997217453,0.07961505400465166,-0.048829777378724154,0.0003073877726894117,-0.6255708316550468,0.22313257333382164,-0.004143398688999572,-1.8230693953796073,-0.0004501184152154124,6.303581108687921e-05,-12.283989462798607,-0.0004729840634129862,5.393836131630642e-06,-1.1275261956635552,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0007,ok,0.16281898995587124,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7348.092389116219,0.2272746762046154,0.0030930708806558723,7349.089845998253,0.2486993543780045,0.0033841982622196485,2069.237305166214,-0.979224981623247,-0.047300606838132,1512.9341104141001,0.4976563090865511,0.032904278902814464,-0.04898219060177551,0.00015497454963805252,-0.31539171859122656,0.22734295048540393,6.697846258271745e-05,0.029470102794672905,-0.0005305084541081025,-1.7354227805810914e-05,3.3818736972825385,-0.0005120848349503192,-3.3706935405702324e-05,7.046089595231934,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0008,ok,0.16523895212447198,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7345.28042010987,-2.5846943301448846,-0.03517612653320822,7346.285197033672,-2.555949610202333,-0.034780308339765975,2069.6424997463714,-0.574030401465734,-0.027728036807084216,1512.4130969407672,-0.023357164246363027,-0.0015443402056970824,-0.04921223066461872,-7.506551320515115e-05,0.15276728515745822,0.22347696579002735,-0.003799006232793861,-1.6715388780352003,-0.0005096276958099572,3.5265304923344206e-06,-0.6872262395159527,-0.0004983411017291253,-1.9963202184508405e-05,4.17310293880884,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0009,ok,0.16720682533460965,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7344.887280142415,-2.9778342975996566,-0.04052652370751364,7345.861551218185,-2.979595425689695,-0.04054510590490093,2069.6271419276113,-0.5893882202258283,-0.02846988281867014,1513.1712396801918,0.7347855751781935,0.048582905627794055,-0.04873694344554657,0.000400221705866996,-0.8144989737070384,0.2205285610467554,-0.006747410976065821,-2.9688184439436918,-0.0005285151315458302,-1.536090524353862e-05,2.9934285749192555,-0.0004986752743745585,-2.0297374829941674e-05,4.242958307493593,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0010,ok,0.166908844498429,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7348.976952468362,1.1118380283469378,0.015131443093068695,7349.984189340569,1.1430426966944651,0.015554053678469818,2072.5822200396815,2.3656898918443403,0.11427258247596946,1512.8354509933695,0.39899688835589586,0.026381067930024395,-0.04930706415265565,-0.00016989900124208396,0.34576476017399294,0.2276039990206443,0.0003280269978230832,0.1443298184597118,-0.0004957043157395966,1.7449910562695016e-05,-3.400519701150338,-0.0003797564530238976,9.862144652071923e-05,-20.615803241454117,0.0,0.0,nan
