method,candidate_count,unique_frame_count_min,unique_frame_count_median,unique_frame_count_max,frame_candidate_p95_median_mm,frame_candidate_p95_p95_mm,frame_candidate_p95_max_mm,candidate_global_p95_median_mm,candidate_frame_p95_median_distribution_mm,candidate_to_cone_p95_ratio_median,candidate_to_cone_p95_ratio_p95,valid_candidate_count,min_span_ratio
naive_frame_bootstrap,500,8,12.0,15,0.352331281125349,1.0943945047407677,1.1765189085033358,nan,0.352331281125349,15.2762120237736,22.848200804191237,,
loo,18,17,17.0,17,0.039147127090370756,0.33880096503910967,0.36015233271478897,nan,0.039147127090370756,nan,nan,,
full18_corner_noise_mc,1000,18,18.0,18,0.11762435874182983,0.31552985035309944,0.632905129374484,0.12238697207987739,0.1171757517376136,1.5991280363086666,4.9212105495854495,1000,
coverage_matched_16,8,16,16.0,16,0.09273496108060897,0.7046892025032013,0.727756340224721,0.10124122219511092,0.09668765112947852,1.3113554192853676,10.339349128855696,,0.8310499558958033
coverage_matched_14,8,14,14.0,14,0.4387591862410204,0.5358922917249498,0.5539961869430442,0.4589422497606648,0.4395531328355091,5.888657324366779,10.239523204514805,,0.9383377551963688
coverage_matched_12,8,12,12.0,12,0.39965106551579765,0.8018865038930585,0.833152692771273,0.41806558031275926,0.3967767563442379,5.896992607242655,12.51637414154677,,0.8286042310879875
